	chao1
FP1A1bio1BFObak1bkk1tech3endophytesbacteria	59.5
FP1A1bio1BFOefrfls2cerk1tech2endophytesbacteria	45.5
FP1A1bio1BFOsoiltech1soilbacteria	48.4285714286
FP1A1bio1BFOWTtech4endophytesbacteria	46.5
FP1A1bio1BFOrar1tech4endophytesbacteria	82.0
FP1A1bio2BFOpad4tech1endophytesbacteria	41.5
FP1A1bio2BFOWTtech1endophytesbacteria	49.0
FP1A1bio2BFOpad4tech4endophytesbacteria	50.75
FP1A1bio2BFOpad4tech3endophytesbacteria	43.0
FP1A1bio1BFOpad4tech2endophytesbacteria	44.6666666667
FP1A1bio2BFOdepstech1endophytesbacteria	60.3333333333
FP1A1bio1BFOefrfls2cerk1tech3endophytesbacteria	44.1428571429
FP1A1bio1BFOcyp79b2b3tech2endophytesbacteria	48.2727272727
FP1A1bio2nowrky3340tech1endophytesbacteria	18.5
FP1A1bio1BFOpad4tech4endophytesbacteria	53.25
FP1A1bio2BFOefrfls2cerk1tech1endophytesbacteria	46.625
FP1A1bio2BFObak1bkk1tech2endophytesbacteria	59.0
FP1A1bio2BFOefrfls2cerk1tech4endophytesbacteria	60.375
FP1A1bio1BFOcyp79b2b3tech4endophytesbacteria	58.3333333333
FP1A1bio1BFOWTtech3endophytesbacteria	43.5
FP1A1bio1BFOpad4tech3endophytesbacteria	47.6666666667
FP1A1bio1BFOdepstech4endophytesbacteria	52.8125
FP1A1bio2BFObak1bkk1tech3endophytesbacteria	49.0
FP1A1bio1BFObak1bkk1tech2endophytesbacteria	55.625
FP1A1bio2BFOWTtech4endophytesbacteria	43.6666666667
FP1A1bio1BFOsoiltech4soilbacteria	43.3636363636
FP1A1bio2BFOdepstech4endophytesbacteria	50.5
FP1A1bio2BFOcyp79b2b3tech2endophytesbacteria	49.0
FP1A1bio1noWTtech1endophytesbacteria	12.0
FP1A1bio1BFOpad4tech1endophytesbacteria	58.1111111111
FP1A1bio2BFOdepstech3endophytesbacteria	46.5
FP1A1bio2BFOrar1tech2endophytesbacteria	50.4285714286
FP1A1bio2BFObak1bkk1tech1endophytesbacteria	41.6666666667
FP1A1bio2BFOcyp79b2b3tech1endophytesbacteria	61.5
FP1A1bio1nobak1bkk1tech3endophytesbacteria	5.0
FP1A1bio1BFOWTtech1endophytesbacteria	53.3333333333
FP1A1bio2noWTtech1endophytesbacteria	46.1111111111
FP1A1bio1BFOrar1tech1endophytesbacteria	51.0
FP1A1bio2BFOefrfls2cerk1tech3endophytesbacteria	50.0714285714
FP1A1bio1BFOdepstech2endophytesbacteria	53.3333333333
FP1A1bio1BFOrar1tech3endophytesbacteria	48.1111111111
FP1A1bio2BFObak1bkk1tech4endophytesbacteria	55.2
FP1A1bio1BFObak1bkk1tech1endophytesbacteria	54.4285714286
FP1A1bio1BFOsoiltech2soilbacteria	49.625
FP1A1bio1nowrky3340tech2endophytesbacteria	48.5
FP1A1bio1BFOcyp79b2b3tech3endophytesbacteria	48.1111111111
FP1A1bio1BFOwrky3340tech2endophytesbacteria	49.1428571429
FP1A1bio1BFOWTtech2endophytesbacteria	56.6666666667
FP1A1bio2BFOrar1tech3endophytesbacteria	55.0
FP1A1bio2BFOWTtech3endophytesbacteria	42.5
FP1A1bio1BFOcyp79b2b3tech1endophytesbacteria	52.3333333333
FP1A1bio1BFObak1bkk1tech4endophytesbacteria	60.0
FP1A1bio2BFOwrky3340tech2endophytesbacteria	44.75
FP1A1bio1BFOefrfls2cerk1tech1endophytesbacteria	54.2
FP1A1bio2BFOefrfls2cerk1tech2endophytesbacteria	50.1428571429
FP1A1bio2BFOdepstech2endophytesbacteria	59.0
FP1A1bio2BFOcyp79b2b3tech3endophytesbacteria	46.3333333333
FP1A1bio1BFOdepstech1endophytesbacteria	55.1
FP1A1bio2BFOcyp79b2b3tech4endophytesbacteria	47.6
FP1A1bio2BFOwrky3340tech1endophytesbacteria	50.1111111111
FP1A1bio1BFOwrky3340tech4endophytesbacteria	45.0
FP1A1bio2BFOpad4tech2endophytesbacteria	60.2
FP1A1bio1BFOwrky3340tech3endophytesbacteria	54.25
FP1A1bio1BFOdepstech3endophytesbacteria	54.0
FP1A1bio1BFOsoiltech3soilbacteria	45.5
FP1A1bio1BFOrar1tech2endophytesbacteria	42.3333333333
FP1A1bio2BFOWTtech2endophytesbacteria	44.625
FP1A1bio2BFOwrky3340tech4endophytesbacteria	51.2
FP1A1bio2BFOwrky3340tech3endophytesbacteria	52.0
FP1A1bio1BFOwrky3340tech1endophytesbacteria	49.0
FP1A1bio1BFOefrfls2cerk1tech4endophytesbacteria	59.0
FP2A14BFOWT3endophytesbacteria	44.0
FP2A14BFOefrfls2cerk14endophytesbacteria	44.2
FP2A12BFOsoil4soilbacteria	42.25
FP2A14BFOefrfls2cerk13endophytesbacteria	37.8571428571
FP2A14BFOWT1endophytesbacteria	51.0
FP2A14BFOWT2endophytesbacteria	41.6
FP2A14BFOcyp79b2b33endophytesbacteria	46.5
FP2A12BFOrar11endophytesbacteria	38.4285714286
FP2A14BFOsoil3soilbacteria	46.4285714286
FP2A14BFObak1bkk11endophytesbacteria	36.0
FP2A14BFOrar11endophytesbacteria	40.3333333333
FP2A14BFOwrky33403endophytesbacteria	37.75
FP2A14BFOsoil4soilbacteria	59.5
FP2A14BFOwrky33404endophytesbacteria	46.2
FP2A14initialinitial2initialbacteria	51.2
FP2A12BFOsoil1soilbacteria	59.1428571429
FP2A14BFOwrky33401endophytesbacteria	40.5
FP2A14BFOwrky33402endophytesbacteria	38.5
FP2A14BFOrar12endophytesbacteria	51.25
FP2A14BFOefrfls2cerk12endophytesbacteria	39.0
FP2A14BFOdeps4endophytesbacteria	36.0
FP2A14BFOpad44endophytesbacteria	37.3
FP2A14BFOdeps1endophytesbacteria	39.2
FP2A14initialinitial1initialbacteria	54.0
FP2A14BFOsoil1soilbacteria	35.875
FP2A14BFOrar14endophytesbacteria	40.625
FP2A12initialinitial1initialbacteria	60.3333333333
FP2A14BFOsoil2soilbacteria	30.6
FP2A14BFOdeps2endophytesbacteria	35.0
FP2A14BFOcyp79b2b32endophytesbacteria	40.25
FP2A14BFOdeps3endophytesbacteria	39.0
FP2A14BFOcyp79b2b31endophytesbacteria	55.5
FP2A12BFOsoil2soilbacteria	44.1111111111
FP2A14BFObak1bkk12endophytesbacteria	39.4285714286
FP2A14BFOpad42endophytesbacteria	43.25
FP2A14BFObak1bkk13endophytesbacteria	36.2
FP2A11initialinitial3initialbacteria	58.0
FP2A12BFOsoil3soilbacteria	45.1538461538
FP2A14BFOpad43endophytesbacteria	42.3333333333
FP2A14BFOefrfls2cerk11endophytesbacteria	35.2
