barcode_name	library	experiment	biological	microbes	genotype	technical	compartment	library_type	genotype_compartment	genotype_microbes	compartment_microbes	genotype_compartment_microbes	growth_promotion	experiment_biological	genotype_biological	genotype_experiment_biological	growth_promotion_three	Description
FP3A41BFO35SBRI1endophytesbacteria	B5_37	FP3	A4	bio1	BFO	35SBRI	tech1	endophytes	bacteria	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio1	35SBRI_bio1	35SBRI_A4_bio1	medium	FP3A41BFO35SBRI1endophytesbacteria
FP3A41BFO35SBRI2endophytesbacteria	B5_38	FP3	A4	bio1	BFO	35SBRI	tech2	endophytes	bacteria	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio1	35SBRI_bio1	35SBRI_A4_bio1	medium	FP3A41BFO35SBRI2endophytesbacteria
FP3A41BFO35SBRI3endophytesbacteria	B5_39	FP3	A4	bio1	BFO	35SBRI	tech3	endophytes	bacteria	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio1	35SBRI_bio1	35SBRI_A4_bio1	medium	FP3A41BFO35SBRI3endophytesbacteria
FP3A41BFO35SBRI4endophytesbacteria	B5_40	FP3	A4	bio1	BFO	35SBRI	tech4	endophytes	bacteria	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio1	35SBRI_bio1	35SBRI_A4_bio1	medium	FP3A41BFO35SBRI4endophytesbacteria
FP3A42BFO35SBRI1endophytesbacteria	B5_83	FP3	A4	bio2	BFO	35SBRI	tech1	endophytes	bacteria	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio2	35SBRI_bio2	35SBRI_A4_bio2	medium	FP3A42BFO35SBRI1endophytesbacteria
FP3A42BFO35SBRI2endophytesbacteria	B5_84	FP3	A4	bio2	BFO	35SBRI	tech2	endophytes	bacteria	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio2	35SBRI_bio2	35SBRI_A4_bio2	medium	FP3A42BFO35SBRI2endophytesbacteria
FP3A42BFO35SBRI3endophytesbacteria	B5_85	FP3	A4	bio2	BFO	35SBRI	tech3	endophytes	bacteria	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio2	35SBRI_bio2	35SBRI_A4_bio2	medium	FP3A42BFO35SBRI3endophytesbacteria
FP3A42BFO35SBRI4endophytesbacteria	B5_86	FP3	A4	bio2	BFO	35SBRI	tech4	endophytes	bacteria	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio2	35SBRI_bio2	35SBRI_A4_bio2	medium	FP3A42BFO35SBRI4endophytesbacteria
FP4A44BFO35SBRI1endophytesbacteria	B5_33	FP4	A4	bio4	BFO	35SBRI	tech1	endophytes	bacteria	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio4	35SBRI_bio4	35SBRI_A4_bio4	medium	FP4A44BFO35SBRI1endophytesbacteria
FP4A44BFO35SBRI2endophytesbacteria	B5_34	FP4	A4	bio4	BFO	35SBRI	tech2	endophytes	bacteria	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio4	35SBRI_bio4	35SBRI_A4_bio4	medium	FP4A44BFO35SBRI2endophytesbacteria
FP4A44BFO35SBRI3endophytesbacteria	B5_35	FP4	A4	bio4	BFO	35SBRI	tech3	endophytes	bacteria	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio4	35SBRI_bio4	35SBRI_A4_bio4	medium	FP4A44BFO35SBRI3endophytesbacteria
FP4A44BFO35SBRI4endophytesbacteria	B5_36	FP4	A4	bio4	BFO	35SBRI	tech4	endophytes	bacteria	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio4	35SBRI_bio4	35SBRI_A4_bio4	medium	FP4A44BFO35SBRI4endophytesbacteria
FP3A41BFOapex11endophytesbacteria	B5_21	FP3	A4	bio1	BFO	apex1	tech1	endophytes	bacteria	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio1	apex1_bio1	apex1_A4_bio1	medium	FP3A41BFOapex11endophytesbacteria
FP3A41BFOapex12endophytesbacteria	B5_22	FP3	A4	bio1	BFO	apex1	tech2	endophytes	bacteria	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio1	apex1_bio1	apex1_A4_bio1	medium	FP3A41BFOapex12endophytesbacteria
FP3A41BFOapex13endophytesbacteria	B5_23	FP3	A4	bio1	BFO	apex1	tech3	endophytes	bacteria	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio1	apex1_bio1	apex1_A4_bio1	medium	FP3A41BFOapex13endophytesbacteria
FP3A41BFOapex14endophytesbacteria	B5_24	FP3	A4	bio1	BFO	apex1	tech4	endophytes	bacteria	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio1	apex1_bio1	apex1_A4_bio1	medium	FP3A41BFOapex14endophytesbacteria
FP3A42BFOapex11endophytesbacteria	B5_67	FP3	A4	bio2	BFO	apex1	tech1	endophytes	bacteria	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio2	apex1_bio2	apex1_A4_bio2	medium	FP3A42BFOapex11endophytesbacteria
FP3A42BFOapex12endophytesbacteria	B5_68	FP3	A4	bio2	BFO	apex1	tech2	endophytes	bacteria	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio2	apex1_bio2	apex1_A4_bio2	medium	FP3A42BFOapex12endophytesbacteria
FP3A42BFOapex13endophytesbacteria	B5_69	FP3	A4	bio2	BFO	apex1	tech3	endophytes	bacteria	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio2	apex1_bio2	apex1_A4_bio2	medium	FP3A42BFOapex13endophytesbacteria
