	observed_species
FP1A1bio1BFObak1bkk1tech3endophytesbacteria	43
FP1A1bio1BFOefrfls2cerk1tech2endophytesbacteria	42
FP1A1bio1BFOsoiltech1soilbacteria	47
FP1A1bio1BFOWTtech4endophytesbacteria	43
FP1A1bio1BFOrar1tech4endophytesbacteria	48
FP1A1bio2BFOpad4tech1endophytesbacteria	38
FP1A1bio2BFOWTtech1endophytesbacteria	42
FP1A1bio2BFOpad4tech4endophytesbacteria	41
FP1A1bio2BFOpad4tech3endophytesbacteria	40
FP1A1bio1BFOpad4tech2endophytesbacteria	43
FP1A1bio2BFOdepstech1endophytesbacteria	42
FP1A1bio1BFOefrfls2cerk1tech3endophytesbacteria	42
FP1A1bio1BFOcyp79b2b3tech2endophytesbacteria	45
FP1A1bio2nowrky3340tech1endophytesbacteria	18
FP1A1bio1BFOpad4tech4endophytesbacteria	45
FP1A1bio2BFOefrfls2cerk1tech1endophytesbacteria	44
FP1A1bio2BFObak1bkk1tech2endophytesbacteria	44
FP1A1bio2BFOefrfls2cerk1tech4endophytesbacteria	49
FP1A1bio1BFOcyp79b2b3tech4endophytesbacteria	51
FP1A1bio1BFOWTtech3endophytesbacteria	41
FP1A1bio1BFOpad4tech3endophytesbacteria	43
FP1A1bio1BFOdepstech4endophytesbacteria	50
FP1A1bio2BFObak1bkk1tech3endophytesbacteria	45
FP1A1bio1BFObak1bkk1tech2endophytesbacteria	50
FP1A1bio2BFOWTtech4endophytesbacteria	39
FP1A1bio1BFOsoiltech4soilbacteria	42
FP1A1bio2BFOdepstech4endophytesbacteria	47
FP1A1bio2BFOcyp79b2b3tech2endophytesbacteria	43
FP1A1bio1noWTtech1endophytesbacteria	7
FP1A1bio1BFOpad4tech1endophytesbacteria	48
FP1A1bio2BFOdepstech3endophytesbacteria	44
FP1A1bio2BFOrar1tech2endophytesbacteria	44
FP1A1bio2BFObak1bkk1tech1endophytesbacteria	40
FP1A1bio2BFOcyp79b2b3tech1endophytesbacteria	45
FP1A1bio1nobak1bkk1tech3endophytesbacteria	5
FP1A1bio1BFOWTtech1endophytesbacteria	44
FP1A1bio2noWTtech1endophytesbacteria	40
FP1A1bio1BFOrar1tech1endophytesbacteria	45
FP1A1bio2BFOefrfls2cerk1tech3endophytesbacteria	49
FP1A1bio1BFOdepstech2endophytesbacteria	51
FP1A1bio1BFOrar1tech3endophytesbacteria	45
FP1A1bio2BFObak1bkk1tech4endophytesbacteria	48
FP1A1bio1BFObak1bkk1tech1endophytesbacteria	45
FP1A1bio1BFOsoiltech2soilbacteria	44
FP1A1bio1nowrky3340tech2endophytesbacteria	41
FP1A1bio1BFOcyp79b2b3tech3endophytesbacteria	47
FP1A1bio1BFOwrky3340tech2endophytesbacteria	44
FP1A1bio1BFOWTtech2endophytesbacteria	48
FP1A1bio2BFOrar1tech3endophytesbacteria	44
FP1A1bio2BFOWTtech3endophytesbacteria	40
FP1A1bio1BFOcyp79b2b3tech1endophytesbacteria	45
FP1A1bio1BFObak1bkk1tech4endophytesbacteria	47
FP1A1bio2BFOwrky3340tech2endophytesbacteria	41
FP1A1bio1BFOefrfls2cerk1tech1endophytesbacteria	47
FP1A1bio2BFOefrfls2cerk1tech2endophytesbacteria	45
FP1A1bio2BFOdepstech2endophytesbacteria	48
FP1A1bio2BFOcyp79b2b3tech3endophytesbacteria	37
FP1A1bio1BFOdepstech1endophytesbacteria	46
FP1A1bio2BFOcyp79b2b3tech4endophytesbacteria	42
FP1A1bio2BFOwrky3340tech1endophytesbacteria	47
FP1A1bio1BFOwrky3340tech4endophytesbacteria	42
FP1A1bio2BFOpad4tech2endophytesbacteria	47
FP1A1bio1BFOwrky3340tech3endophytesbacteria	43
FP1A1bio1BFOdepstech3endophytesbacteria	43
FP1A1bio1BFOsoiltech3soilbacteria	43
FP1A1bio1BFOrar1tech2endophytesbacteria	42
FP1A1bio2BFOWTtech2endophytesbacteria	42
FP1A1bio2BFOwrky3340tech4endophytesbacteria	44
FP1A1bio2BFOwrky3340tech3endophytesbacteria	46
FP1A1bio1BFOwrky3340tech1endophytesbacteria	44
FP1A1bio1BFOefrfls2cerk1tech4endophytesbacteria	46
FP2A14BFOWT3endophytesbacteria	38
FP2A14BFOefrfls2cerk14endophytesbacteria	37
FP2A12BFOsoil4soilbacteria	41
FP2A14BFOefrfls2cerk13endophytesbacteria	37
FP2A14BFOWT1endophytesbacteria	42
FP2A14BFOWT2endophytesbacteria	36
FP2A14BFOcyp79b2b33endophytesbacteria	36
FP2A12BFOrar11endophytesbacteria	38
FP2A14BFOsoil3soilbacteria	40
FP2A14BFObak1bkk11endophytesbacteria	33
FP2A14BFOrar11endophytesbacteria	38
FP2A14BFOwrky33403endophytesbacteria	37
FP2A14BFOsoil4soilbacteria	37
FP2A14BFOwrky33404endophytesbacteria	39
FP2A14initialinitial2initialbacteria	47
FP2A12BFOsoil1soilbacteria	48
FP2A14BFOwrky33401endophytesbacteria	37
FP2A14BFOwrky33402endophytesbacteria	35
FP2A14BFOrar12endophytesbacteria	40
FP2A14BFOefrfls2cerk12endophytesbacteria	36
FP2A14BFOdeps4endophytesbacteria	34
FP2A14BFOpad44endophytesbacteria	37
FP2A14BFOdeps1endophytesbacteria	32
FP2A14initialinitial1initialbacteria	50
FP2A14BFOsoil1soilbacteria	34
FP2A14BFOrar14endophytesbacteria	38
FP2A12initialinitial1initialbacteria	58
FP2A14BFOsoil2soilbacteria	30
FP2A14BFOdeps2endophytesbacteria	33
FP2A14BFOcyp79b2b32endophytesbacteria	35
FP2A14BFOdeps3endophytesbacteria	33
FP2A14BFOcyp79b2b31endophytesbacteria	33
FP2A12BFOsoil2soilbacteria	41
FP2A14BFObak1bkk12endophytesbacteria	38
FP2A14BFOpad42endophytesbacteria	38
FP2A14BFObak1bkk13endophytesbacteria	35
FP2A11initialinitial3initialbacteria	55
FP2A12BFOsoil3soilbacteria	44
FP2A14BFOpad43endophytesbacteria	40
FP2A14BFOefrfls2cerk11endophytesbacteria	31
FP2A12initialinitial3initialbacteria	54
FP2A14BFObak1bkk14endophytesbacteria	39
FP2A14initialinitial3initialbacteria	43
FP2A14BFOrar13endophytesbacteria	43
FP2A11initialinitial1initialbacteria	61
FP2A14BFOpad41endophytesbacteria	35
FP2A11initialinitial2initialbacteria	60
FP2A12initialinitial2initialbacteria	58
FP3A41BFOsoil1soilbacteria	49
FP3A41BFOcyp79b2b3new2endophytesbacteria	46
