	chao1
FP1A1bio2BFOrar1tech3endophytesfungi	17.0
FP1A1bio2nowrky3340tech1endophytesfungi	16.2
FP1A1bio1BFOsoiltech3soilfungi	16.5
FP1A1bio2BFOdepstech3endophytesfungi	13.0
FP1A1bio2BFOwrky3340tech3endophytesfungi	11.5
FP1A1bio2BFOpad4tech2endophytesfungi	16.0
FP1A1bio2BFOWTtech2endophytesfungi	9.0
FP1A1bio2BFOdepstech1endophytesfungi	14.333333333333334
FP1A1bio1BFObak1bkk1tech2endophytesfungi	17.0
FP1A1bio2noWTtech1endophytesfungi	16.5
FP1A1bio1BFOpad4tech3endophytesfungi	20.0
FP1A1bio2BFObak1bkk1tech3endophytesfungi	13.0
FP1A1bio1BFObak1bkk1tech3endophytesfungi	15.333333333333334
FP1A1bio2BFOcyp79b2b3tech3endophytesfungi	5.0
FP1A1bio1BFOrar1tech4endophytesfungi	20.0
FP1A1bio2BFOpad4tech3endophytesfungi	14.5
FP1A1bio2BFOefrfls2cerk1tech3endophytesfungi	13.0
FP1A1bio1BFOwrky3340tech2endophytesfungi	20.0
FP1A1bio2BFOcyp79b2b3tech1endophytesfungi	12.0
FP1A1bio1BFOefrfls2cerk1tech3endophytesfungi	13.5
FP1A1bio2BFOcyp79b2b3tech4endophytesfungi	9.333333333333334
FP1A1bio1BFOwrky3340tech1endophytesfungi	12.5
FP1A1bio2BFOefrfls2cerk1tech4endophytesfungi	12.0
FP1A1bio1BFOWTtech2endophytesfungi	15.25
FP1A1bio2BFOefrfls2cerk1tech1endophytesfungi	14.0
FP1A1bio1BFOefrfls2cerk1tech2endophytesfungi	16.5
FP1A1bio2BFObak1bkk1tech4endophytesfungi	22.0
FP1A1bio1BFOdepstech3endophytesfungi	12.5
FP1A1bio2BFOrar1tech2endophytesfungi	12.0
FP1A1bio2BFOcyp79b2b3tech2endophytesfungi	14.0
FP1A1bio2BFOwrky3340tech4endophytesfungi	14.0
FP1A1bio2BFOwrky3340tech1endophytesfungi	16.333333333333332
FP1A1bio1BFOWTtech3endophytesfungi	12.0
FP1A1bio2BFOwrky3340tech2endophytesfungi	15.2
FP1A1bio1BFOrar1tech1endophytesfungi	14.0
FP1A1bio1BFOrar1tech2endophytesfungi	15.0
FP1A1bio1BFOsoiltech1soilfungi	25.0
FP1A1bio1BFOcyp79b2b3tech4endophytesfungi	12.0
