	shannon
FP1A1bio2BFOrar1tech3endophytesfungi	1.6296319410256257
FP1A1bio2nowrky3340tech1endophytesfungi	2.2941222295578116
FP1A1bio1BFOsoiltech3soilfungi	2.1834349345140054
FP1A1bio2BFOdepstech3endophytesfungi	1.6116251447308778
FP1A1bio2BFOwrky3340tech3endophytesfungi	1.1823357879425065
FP1A1bio2BFOpad4tech2endophytesfungi	1.7274827557809709
FP1A1bio2BFOWTtech2endophytesfungi	1.3056527908630156
FP1A1bio2BFOdepstech1endophytesfungi	1.40934185812612
FP1A1bio1BFObak1bkk1tech2endophytesfungi	2.0541247992440654
FP1A1bio2noWTtech1endophytesfungi	2.3220240704818558
FP1A1bio1BFOpad4tech3endophytesfungi	2.18562601617219
FP1A1bio2BFObak1bkk1tech3endophytesfungi	1.8041232783155863
FP1A1bio1BFObak1bkk1tech3endophytesfungi	1.6728891579388139
FP1A1bio2BFOcyp79b2b3tech3endophytesfungi	1.3469169659803977
FP1A1bio1BFOrar1tech4endophytesfungi	1.8520973595125385
FP1A1bio2BFOpad4tech3endophytesfungi	1.666517238277992
FP1A1bio2BFOefrfls2cerk1tech3endophytesfungi	1.657505637892349
FP1A1bio1BFOwrky3340tech2endophytesfungi	2.389090929495489
FP1A1bio2BFOcyp79b2b3tech1endophytesfungi	1.6956218401576453
FP1A1bio1BFOefrfls2cerk1tech3endophytesfungi	2.380157847534247
FP1A1bio2BFOcyp79b2b3tech4endophytesfungi	1.5422369897031674
FP1A1bio1BFOwrky3340tech1endophytesfungi	1.4135014503551808
FP1A1bio2BFOefrfls2cerk1tech4endophytesfungi	1.166849804325105
FP1A1bio1BFOWTtech2endophytesfungi	2.127911961189229
FP1A1bio2BFOefrfls2cerk1tech1endophytesfungi	1.8225583335037523
FP1A1bio1BFOefrfls2cerk1tech2endophytesfungi	2.1803250259853306
FP1A1bio2BFObak1bkk1tech4endophytesfungi	1.711631562285937
FP1A1bio1BFOdepstech3endophytesfungi	1.9449355756835827
FP1A1bio2BFOrar1tech2endophytesfungi	1.5236039810884194
FP1A1bio2BFOcyp79b2b3tech2endophytesfungi	1.5767342370627055
FP1A1bio2BFOwrky3340tech4endophytesfungi	1.4336518950859964
FP1A1bio2BFOwrky3340tech1endophytesfungi	1.6998250046626102
FP1A1bio1BFOWTtech3endophytesfungi	1.9289759088550669
FP1A1bio2BFOwrky3340tech2endophytesfungi	1.4760016978060915
FP1A1bio1BFOrar1tech1endophytesfungi	1.904272480622652
FP1A1bio1BFOrar1tech2endophytesfungi	1.6002877887578084
FP1A1bio1BFOsoiltech1soilfungi	2.106463915987015
FP1A1bio1BFOcyp79b2b3tech4endophytesfungi	1.692729595602182
FP1A1bio2BFOefrfls2cerk1tech2endophytesfungi	1.702536728544146
FP1A1bio2BFOWTtech3endophytesfungi	1.786038304929642
FP1A1bio1BFOWTtech4endophytesfungi	1.6270515791961448
FP1A1bio1BFObak1bkk1tech4endophytesfungi	1.9718612443659072
FP1A1bio1BFOdepstech4endophytesfungi	1.276615493945945
FP1A1bio2BFOWTtech4endophytesfungi	1.5848405663100342
FP1A1bio1BFOsoiltech4soilfungi	2.142411791084427
FP1A1bio1BFOcyp79b2b3tech2endophytesfungi	1.6465056378560095
FP1A1bio1BFOrar1tech3endophytesfungi	1.8192745371897845
FP1A1bio1BFObak1bkk1tech1endophytesfungi	1.9947972372824871
FP1A1bio1BFOpad4tech1endophytesfungi	1.5913803237414659
FP1A1bio1BFOpad4tech2endophytesfungi	1.9336325326361707
FP1A1bio1BFOwrky3340tech3endophytesfungi	2.2975615811771726
FP1A1bio2BFOdepstech2endophytesfungi	1.315832527616432
FP1A1bio2BFOdepstech4endophytesfungi	2.0420266498360062
FP1A1bio1BFOWTtech1endophytesfungi	1.9799161700801697
FP1A1bio1BFOwrky3340tech4endophytesfungi	1.8631725596532374
FP1A1bio2BFObak1bkk1tech1endophytesfungi	1.694089669217519
FP1A1bio1BFOpad4tech4endophytesfungi	1.7906882519080818
FP1A1bio1BFOsoiltech2soilfungi	1.850341749093229
FP1A1bio2BFOpad4tech1endophytesfungi	1.6796597447215416
FP1A1bio2BFOWTtech1endophytesfungi	1.895860459700944
FP1A1bio2noefrfls2cerk1tech1endophytesfungi	2.2317048223828597
FP1A1bio2BFOpad4tech4endophytesfungi	1.3994440743247716
FP1A1bio1BFOcyp79b2b3tech3endophytesfungi	1.7918774320479862
FP1A1bio2BFObak1bkk1tech2endophytesfungi	1.7545920588658677
FP1A1bio1BFOefrfls2cerk1tech4endophytesfungi	2.1162112921806218
FP1A1bio1nowrky3340tech2endophytesfungi	1.69824023685212
FP1A1bio1BFOcyp79b2b3tech1endophytesfungi	1.5674130932280879
FP1A1bio1BFOdepstech1endophytesfungi	2.067935701822797
FP1A1bio1BFOdepstech2endophytesfungi	1.5737586660177494
FP1A1bio1noWTtech1endophytesfungi	1.18512762262864
FP1A1bio1norar1tech2endophytesfungi	1.0428899510225416
FP1A1bio1nocyp79b2b3tech2endophytesfungi	1.281635910939854
FP2A1bio4BFOwrky3340tech1endophytesfungi	1.3525688704833907
FP2A1bio4BFOwrky3340tech3endophytesfungi	1.451176880067094
FP2A1bio4BFOcyp79b2b3tech3endophytesfungi	1.867595788850256
FP2A1bio4BFObak1bkk1tech2endophytesfungi	1.7389888656647892
FP2A1bio4BFOdepstech3endophytesfungi	1.9500458584679674
FP2A1bio4BFOWTtech1endophytesfungi	2.272804805619711
FP2A1bio4BFOefrfls2cerk1tech3endophytesfungi	1.8381860157831726
FP2A1bio4BFObak1bkk1tech1endophytesfungi	1.503143955568097
FP2A1bio4initialinitialtech2initialfungi	2.9858361741125874
FP2A1bio4BFObak1bkk1tech3endophytesfungi	1.948125626030521
FP2A1bio4BFOwrky3340tech2endophytesfungi	1.7744323696998583
FP2A1bio4BFOrar1tech1endophytesfungi	2.243569039768419
FP2A1bio4BFOWTtech3endophytesfungi	1.4150946940315297
FP2A1bio4BFOwrky3340tech4endophytesfungi	1.9827030504848866
FP2A1bio4BFOsoiltech2soilfungi	1.8390290156031632
FP2A1bio4BFOdepstech4endophytesfungi	1.6017475241537105
FP2A1bio4BFOsoiltech1soilfungi	1.6166426352884915
FP2A1bio4BFObak1bkk1tech4endophytesfungi	1.4296051493551527
FP2A1bio2BFOsoiltech3soilfungi	2.1710481932446566
FP2A1bio4BFOpad4tech4endophytesfungi	0.8941906942809944
FP2A1bio4BFOrar1tech2endophytesfungi	1.4318771041090521
FP2A1bio4BFOefrfls2cerk1tech1endophytesfungi	1.767338412011967
FP2A1bio1initialinitialtech1initialfungi	3.4992169482698556
FP2A1bio4BFOpad4tech3endophytesfungi	1.7289710508215461
FP2A1bio4BFOcyp79b2b3tech2endophytesfungi	1.7759180981859375
FP2A1bio2BFOsoiltech2soilfungi	1.8318392454365393
FP2A1bio4BFOefrfls2cerk1tech2endophytesfungi	1.5785093525330849
FP2A1bio4BFOpad4tech2endophytesfungi	1.9430041306481978
FP2A1bio4initialinitialtech1initialfungi	2.424883907285626
FP2A1bio4BFOsoiltech3soilfungi	1.8239768410365234
FP2A1bio4BFOcyp79b2b3tech1endophytesfungi	1.6927510171531397
FP2A1bio2BFOsoiltech4soilfungi	1.7792080700091566
FP2A1bio4BFOrar1tech3endophytesfungi	2.0734262672856474
FP2A1bio4BFOsoiltech4soilfungi	2.297447856433437
FP2A1bio2BFOsoiltech1soilfungi	2.114646019724968
FP2A1bio2BFOrar1tech1endophytesfungi	1.5634839557455922
FP2A1bio4BFOrar1tech4endophytesfungi	2.096672581376037
FP2A1bio1initialinitialtech2initialfungi	3.420829901041604
FP2A1bio4BFOpad4tech1endophytesfungi	2.5182893115054306
FP2A1bio4BFOdepstech2endophytesfungi	1.7732797549365473
FP2A1bio4initialinitialtech3initialfungi	2.4925505261606786
FP2A1bio4BFOefrfls2cerk1tech4endophytesfungi	1.505566155676094
FP2A1bio4BFOdepstech1endophytesfungi	1.296994012857823
FP2A1bio4BFOWTtech2endophytesfungi	1.9228515178043486
FP2A1bio2initialinitialtech1initialfungi	3.175330417561225
FP2A1bio1initialinitialtech3initialfungi	3.4607945831955784
FP2A1bio2initialinitialtech2initialfungi	2.9933601445209677
FP3A41BFObak1bkk1cerk13endophytesfungi	1.7390113983864068
FP3A41BFOsoil3soilfungi	2.201170637932139
FP3A41BFOlyk51endophytesfungi	1.3355513825519802
FP3A42BFOapex14endophytesfungi	1.0355883013593206
FP3A41BFOlyk53endophytesfungi	1.7551705207856503
FP3A43BFOWTnew1endophytesfungi	1.225803311693154
FP3A41BFOwrky331endophytesfungi	1.3923976584336395
FP3A42BFOcyp79b2b3new3endophytesfungi	1.691149038916641
FP3A42BFOlyk52endophytesfungi	1.8190278529409145
FP3A41BFOapex32endophytesfungi	1.6021628670650994
FP3A42BFOapex11endophytesfungi	1.54467234738424
FP3A42BFOsoil3soilfungi	1.9491494783205803
FP3A41BFObri3014endophytesfungi	2.3547041409099454
FP3A41BFOwrky333endophytesfungi	1.3545992999001044
FP3A42BFOapex24endophytesfungi	1.3949608089160872
FP3A43BFOWTnew3endophytesfungi	1.9002388198969045
FP3A41BFO35SBRI4endophytesfungi	1.5665739755989931
FP3A41BFOapex24endophytesfungi	1.6244841441347957
FP3A42BFOcyp79b2b3new2endophytesfungi	1.23259753096414
FP3A41BFOcyp79b2b3new4endophytesfungi	1.48785042757773
FP3A42BFOapex23endophytesfungi	1.6202463332627972
FP3A41BFOapex14endophytesfungi	2.5644141745482045
FP3A41BFOwrky334endophytesfungi	1.2698040387316627
FP3A42BFOsoil5soilfungi	2.088800549868707
FP3A42BFOwrky331endophytesfungi	0.8081526547620596
FP3A42BFOlyk53endophytesfungi	1.7378878649648162
FP3A42BFO35SBRI3endophytesfungi	0.8315398330315644
FP3A41BFObri3012endophytesfungi	1.9514080352284466
FP3A42BFObri3014endophytesfungi	1.5174074533576725
FP3A42BFObri3013endophytesfungi	1.6116629959525064
FP3A42BFOcyp79b2b3new1endophytesfungi	1.5241417100133656
FP3A41BFOcyp79b2b3new3endophytesfungi	1.7967026866570244
FP3A41BFOlyk52endophytesfungi	1.4289882834017762
FP3A41BFObak1bkk1cerk14endophytesfungi	2.3512807903391337
FP3A42BFOwrky332endophytesfungi	1.13128316646282
FP3A41BFOcyp79b2b3new1endophytesfungi	1.668391269004412
FP3A41BFO35SBRI3endophytesfungi	1.392542912046504
FP3A42BFOapex31endophytesfungi	1.7715085202791796
FP3A42BFOWTnew3endophytesfungi	0.9420708385874536
FP3A42BFOlyk54endophytesfungi	1.8403863377108831
FP3A41BFOapex12endophytesfungi	1.8606539852904134
FP3A42BFOapex34endophytesfungi	1.2826292979498906
FP3A42BFObri3011endophytesfungi	1.6732436192304825
FP3A42BFOapex21endophytesfungi	1.3597230268011942
FP3A41BFOapex23endophytesfungi	1.7360195361335131
FP3A42BFOWTnew2endophytesfungi	1.2781820573059086
FP3A42BFOapex22endophytesfungi	1.668011906328502
FP3A42BFOsoil4soilfungi	2.200550563672808
