barcode_name	library	experiment	biological	microbes	genotype	technical	compartment	library_type	genotype_compartment	genotype_microbes	compartment_microbes	genotype_compartment_microbes	growth_promotion	experiment_biological	genotype_experiment_biological	genotype_biological	growth_promotion_three	Description
FP3A41BFO35SBRI1endophytesoomycete	ITS1_37	FP3	A4	bio1	BFO	35SBRI	tech1	endophytes	oomycetes	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio1	35SBRI_A4_bio1	35SBRI_bio1	medium	FP3A41BFO35SBRI1endophytesoomycete
FP3A41BFO35SBRI2endophytesoomycete	ITS1_38	FP3	A4	bio1	BFO	35SBRI	tech2	endophytes	oomycetes	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio1	35SBRI_A4_bio1	35SBRI_bio1	medium	FP3A41BFO35SBRI2endophytesoomycete
FP3A41BFO35SBRI3endophytesoomycete	ITS1_39	FP3	A4	bio1	BFO	35SBRI	tech3	endophytes	oomycetes	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio1	35SBRI_A4_bio1	35SBRI_bio1	medium	FP3A41BFO35SBRI3endophytesoomycete
FP3A41BFO35SBRI4endophytesoomycete	ITS1_40	FP3	A4	bio1	BFO	35SBRI	tech4	endophytes	oomycetes	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio1	35SBRI_A4_bio1	35SBRI_bio1	medium	FP3A41BFO35SBRI4endophytesoomycete
FP3A42BFO35SBRI1endophytesoomycete	ITS1_83	FP3	A4	bio2	BFO	35SBRI	tech1	endophytes	oomycetes	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio2	35SBRI_A4_bio2	35SBRI_bio2	medium	FP3A42BFO35SBRI1endophytesoomycete
FP3A42BFO35SBRI2endophytesoomycete	ITS1_84	FP3	A4	bio2	BFO	35SBRI	tech2	endophytes	oomycetes	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio2	35SBRI_A4_bio2	35SBRI_bio2	medium	FP3A42BFO35SBRI2endophytesoomycete
FP3A42BFO35SBRI3endophytesoomycete	ITS1_85	FP3	A4	bio2	BFO	35SBRI	tech3	endophytes	oomycetes	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio2	35SBRI_A4_bio2	35SBRI_bio2	medium	FP3A42BFO35SBRI3endophytesoomycete
FP3A42BFO35SBRI4endophytesoomycete	ITS1_86	FP3	A4	bio2	BFO	35SBRI	tech4	endophytes	oomycetes	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio2	35SBRI_A4_bio2	35SBRI_bio2	medium	FP3A42BFO35SBRI4endophytesoomycete
FP4A44BFO35SBRI1endophytesoomycete	ITS1_33	FP4	A4	bio4	BFO	35SBRI	tech1	endophytes	oomycetes	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio4	35SBRI_A4_bio4	35SBRI_bio4	medium	FP4A44BFO35SBRI1endophytesoomycete
FP4A44BFO35SBRI2endophytesoomycete	ITS1_34	FP4	A4	bio4	BFO	35SBRI	tech2	endophytes	oomycetes	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio4	35SBRI_A4_bio4	35SBRI_bio4	medium	FP4A44BFO35SBRI2endophytesoomycete
