	observed_species
FP1A1bio2noWTtech1endophytesoomycete	4
FP1A1bio2BFOpad4tech2endophytesoomycete	4
FP1A1bio2BFObak1bkk1tech2endophytesoomycete	3
FP1A1bio2noefrfls2cerk1tech1endophytesoomycete	4
FP1A1bio1BFOefrfls2cerk1tech2endophytesoomycete	4
FP1A1bio2nowrky3340tech1endophytesoomycete	4
FP1A1bio1BFOpad4tech2endophytesoomycete	4
FP1A1bio1BFOpad4tech1endophytesoomycete	3
FP1A1bio1BFOWTtech3endophytesoomycete	4
FP1A1bio1BFOdepstech1endophytesoomycete	4
FP1A1bio1nodepstech1endophytesoomycete	2
FP1A1bio1BFOrar1tech3endophytesoomycete	4
FP1A1bio1BFOefrfls2cerk1tech3endophytesoomycete	4
FP1A1bio1BFOWTtech4endophytesoomycete	4
FP1A1bio2BFOwrky3340tech2endophytesoomycete	2
FP1A1bio1BFOsoiltech4soiloomycete	4
FP1A1bio2BFOefrfls2cerk1tech2endophytesoomycete	4
FP1A1bio2BFOdepstech3endophytesoomycete	4
FP2A1bio4initialinitialtech1initialoomycete	4
FP2A1bio1initialinitialtech3initialoomycete	4
FP2A1bio4BFObak1bkk1tech2endophytesoomycete	2
FP2A1bio2initialinitialtech1initialoomycete	4
FP2A1bio2initialinitialtech3initialoomycete	4
FP2A1bio2BFOsoiltech3soiloomycete	4
FP2A1bio4initialinitialtech3initialoomycete	4
FP2A1bio4initialinitialtech2initialoomycete	4
FP2A1bio2BFOsoiltech4soiloomycete	4
FP2A1bio4BFOsoiltech4soiloomycete	4
FP2A1bio1initialinitialtech2initialoomycete	4
FP2A1bio1initialinitialtech1initialoomycete	4
FP2A1bio2initialinitialtech2initialoomycete	4
FP2A1bio4BFOrar1tech2endophytesoomycete	2
FP2A1bio4BFOefrfls2cerk1tech2endophytesoomycete	2
FP2A1bio2BFOsoiltech1soiloomycete	4
FP2A1bio2BFOsoiltech2soiloomycete	4
FP2A1bio4BFOwrky3340tech2endophytesoomycete	3
FP3A42BFOwrky333endophytesoomycete	1
FP3A42BFOwrky332endophytesoomycete	1
FP3A42BFOsoil4soiloomycete	4
FP3A42BFOwrky334endophytesoomycete	1
FP3A42BFOsoil1soiloomycete	4
FP3A42BFOapex12endophytesoomycete	3
FP3A41BFOwrky331endophytesoomycete	4
FP3A42BFOsoil2soiloomycete	4
FP3A42BFOsoil6soiloomycete	4
FP3A41BFOsoil2soiloomycete	4
FP3A42BFOsoil5soiloomycete	4
FP3A42BFOlyk51endophytesoomycete	5
FP3A42BFOsoil3soiloomycete	5
FP3A42BFO35SBRI2endophytesoomycete	4
FP4A44initialinitial3initialoomycetye	3
FP4A42initialinitial1initialoomycetye	4
FP4A44initialinitial1initialoomycetye	4
FP4A41initialinitial2initialoomycetye	4
FP4A44BFOcyp79b2b3new1endophytesoomycetye	4
FP4A44BFOcyp79b2b3new4endophytesoomycetye	5
FP4A44BFOapex13endophytesoomycetye	2
FP4A44initialinitial2initialoomycetye	3
FP4A42initialinitial3initialoomycetye	4
FP4A41initialinitial1initialoomycetye	4
FP4A41initialinitial3initialoomycetye	4
FP4A44BFOcyp79b2b3new2endophytesoomycetye	3
FP4A42initialinitial2initialoomycetye	4
FP4A44BFOapex23endophytesoomycetye	3
FP4A44BFOapex31endophytesoomycetye	5
FP4A44BFOsoil1soiloomycetye	5
FP4A44BFOapex22endophytesoomycetye	4
FP4A44BFOwrky331endophytesoomycetye	5
FP4A44BFOapex24endophytesoomycetye	5
FP4A44BFO35SBRI4endophytesoomycetye	4
