genotype	FW_ratio_mean	FW_ratio_median	16S_load_mean	16S_load_median	ITS1_load_mean	ITS1_load_median	oITS1_load_mean	oITS1_load_median
WT	1.000000014	0.66199175	1.149303925	0.846375005	1.094089582	1.065006034	6.638854853	0.351839032
35SBRI	0.760655051	-0.145473932	1.087297546	1.009818975	0.767534657	0.561549936	0.240019989	0.098793938
apex1	0.797582068	0.530641378	1.485024479	1.009031237	0.973002012	0.948574159	2.210407496	0.329741171
apex2	0.917604832	0.446464285	1.567783427	0.749952676	0.641210501	0.517375202	1.388995939	0.08546006
apex3	0.8678735	0.531363536	0.827179818	0.729113339	0.915202364	0.946693732	0.416314713	0.122313799
bak1bkk1	0.289728242	-0.095347293	4.053042917	2.437627622	1.689972353	1.655294176	7.090056863	1.367486809
bak1bkk1cerk1	0.223355081	-0.223473102	2.463159674	1.345366266	1.199032875	0.781958125	13.21799407	0.317062458
bri301	0.064665552	0.064665552	1.032597187	0.924527667	0.893776875	0.741840096	0.373579732	0.305978865
cyp79b2b3	-0.187969675	-0.560339239	1.794002204	1.326400117	1.935936884	1.832393021	3.470917966	0.391831417
deps	1.134789365	0.453794601	3.776941291	1.048213696	0.965361631	0.795428275	21.89221712	0.684904566
efrfls2cerk1	0.522966935	0.278237904	2.070079745	1.420598953	2.56400802	1.911469386	4.887178345	1.634149302
lyk5	0.703939972	-0.08981031	1.162392814	0.851096594	0.631251056	0.661555007	2.670575937	0.209051886
pad4	0.251190877	0.098417187	1.573282526	1.133372366	1.835265394	1.506843937	13.19614342	1.542457635
rar1	0.516985402	0.25613114	1.507753212	1.20809518	1.076234616	1.155479741	7.951149083	0.887127883
wrky33	0.283957169	-0.322886276	1.236183241	1.056625068	1.24438014	1.038830548	12.36037452	0.305105102
wrky3340	0.211851301	-0.028160323	2.337265919	1.743011092	2.000388126	2.173699634	3.239494335	0.958836147
