SampleID	barcode_name	library	qPCR_name	experiment	biological	microbes	genotype	genotype2	technical	compartment	qPCR_plate	Cq_16S	Cq_UBQ10	X16S_UBQ	X16S_UBQ_ref
FP1A1bio1BFOWTtech1endophytesbacteria	ITS_01	FP1	FP1_ITS_01	A1	bio1	BFO	2aWT	2aWT	tech1	endophytes	plate25	13.03212975	20.09311622	133.5268872	0.84036515
FP1A1bio1BFOWTtech2endophytesbacteria	ITS_02	FP1	FP1_ITS_02	A1	bio1	BFO	2aWT	2aWT	tech2	endophytes	plate25	12.29854335	19.05855452	108.3842394	0.682127319
FP1A1bio1BFOWTtech3endophytesbacteria	ITS_03	FP1	FP1_ITS_03	A1	bio1	BFO	2aWT	2aWT	tech3	endophytes	plate25	10.29352023	18.52363579	300.2697965	1.889778741
FP1A1bio1BFOWTtech4endophytesbacteria	ITS_04	FP1	FP1_ITS_04	A1	bio1	BFO	2aWT	2aWT	tech4	endophytes	plate25	12.31282073	19.10116909	110.5341503	0.695658004
FP1A1bio1BFOwrky3340tech1endophytesbacteria	ITS_09	FP1	FP1_ITS_09	A1	bio1	BFO	wrky3340	wrky3340	tech1	endophytes	plate25	11.45555066	21.16205379	835.5041173	5.258330798
FP1A1bio1BFOwrky3340tech2endophytesbacteria	ITS_10	FP1	FP1_ITS_10	A1	bio1	BFO	wrky3340	wrky3340	tech2	endophytes	plate25	10.357616	19.90814289	749.8856971	4.719482495
FP1A1bio1BFOwrky3340tech3endophytesbacteria	ITS_11	FP1	FP1_ITS_11	A1	bio1	BFO	wrky3340	wrky3340	tech3	endophytes	plate25	10.08714991	19.6755325	769.8227957	4.844958668
FP1A1bio1BFOwrky3340tech4endophytesbacteria	ITS_12	FP1	FP1_ITS_12	A1	bio1	BFO	wrky3340	wrky3340	tech4	endophytes	plate25	12.3339391	20.10376201	218.2477409	1.373564527
FP1A1bio1BFOefrfls2cerk1tech2endophytesbacteria	ITS_14	FP1	FP1_ITS_14	A1	bio1	BFO	efrfls2cerk1	efrfls2cerk1	tech2	endophytes	plate25	9.757621268	19.40436252	801.6014191	5.044960692
FP1A1bio1BFOefrfls2cerk1tech3endophytesbacteria	ITS_15	FP1	FP1_ITS_15	A1	bio1	BFO	efrfls2cerk1	efrfls2cerk1	tech3	endophytes	plate25	10.40611344	20.5249343	1111.907347	6.997902852
