SampleID	barcode_name	library	qPCR_name	experiment	biological	microbes	genotype	genotype2	technical	compartment	qPCR_plate	Cq_oITS	Cq_UBQ10	oITS_UBQ10	X16S_UBQ_ref
FP1A1bio1BFOWTtech1endophytesbacteria	ITS_01	FP1	FP1_ITS_01	A1	bio1	BFO	2aWT	2aWT	tech1	endophytes	plate25	21.48831358	20.09311622	0.380192675	93.3290622
FP1A1bio1BFOWTtech2endophytesbacteria	ITS_02	FP1	FP1_ITS_02	A1	bio1	BFO	2aWT	2aWT	tech2	endophytes	plate25	22.01053751	19.05855452	0.129230366	31.72325413
FP1A1bio1BFOWTtech3endophytesbacteria	ITS_03	FP1	FP1_ITS_03	A1	bio1	BFO	2aWT	2aWT	tech3	endophytes	plate25	24.6458496	18.52363579	0.014355886	3.524058912
FP1A1bio1BFOWTtech4endophytesbacteria	ITS_04	FP1	FP1_ITS_04	A1	bio1	BFO	2aWT	2aWT	tech4	endophytes	plate25	24.86652268	19.10116909	0.018384661	4.513035925
FP1A1bio1BFOwrky3340tech1endophytesbacteria	ITS_09	FP1	FP1_ITS_09	A1	bio1	BFO	wrky3340	wrky3340	tech1	endophytes	plate25	26.58708139	21.16205379	0.023275765	5.713695886
FP1A1bio1BFOwrky3340tech2endophytesbacteria	ITS_10	FP1	FP1_ITS_10	A1	bio1	BFO	wrky3340	wrky3340	tech2	endophytes	plate25	25.00122001	19.90814289	0.029297531	7.191908848
FP1A1bio1BFOwrky3340tech3endophytesbacteria	ITS_11	FP1	FP1_ITS_11	A1	bio1	BFO	wrky3340	wrky3340	tech3	endophytes	plate25	27.67562815	19.6755325	0.003905991	0.958836147
FP1A1bio1BFOwrky3340tech4endophytesbacteria	ITS_12	FP1	FP1_ITS_12	A1	bio1	BFO	wrky3340	wrky3340	tech4	endophytes	plate25	25.34503441	20.10376201	0.026437464	6.489824428
FP1A1bio1BFOefrfls2cerk1tech2endophytesbacteria	ITS_14	FP1	FP1_ITS_14	A1	bio1	BFO	efrfls2cerk1	efrfls2cerk1	tech2	endophytes	plate25	25.3159049	19.40436252	0.016613014	4.078134819
FP1A1bio1BFOefrfls2cerk1tech3endophytesbacteria	ITS_15	FP1	FP1_ITS_15	A1	bio1	BFO	efrfls2cerk1	efrfls2cerk1	tech3	endophytes	plate25	25.15051246	20.5249343	0.040509998	9.944326698
FP1A1bio1BFOefrfls2cerk1tech4endophytesbacteria	ITS_16	FP1	FP1_ITS_16	A1	bio1	BFO	efrfls2cerk1	efrfls2cerk1	tech4	endophytes	plate25	23.19343697	20.10107882	0.117248539	28.7819753
FP1A1bio1BFObak1bkk1tech1endophytesbacteria	ITS_17	FP1	FP1_ITS_17	A1	bio1	BFO	bak1bkk1	bak1bkk1	tech1	endophytes	plate25	25.81576861	19.4296986	0.011956426	2.935043415
FP1A1bio1BFObak1bkk1tech2endophytesbacteria	ITS_18	FP1	FP1_ITS_18	A1	bio1	BFO	bak1bkk1	bak1bkk1	tech2	endophytes	plate25	23.64228532	19.59848618	0.060631061	14.88361137
FP1A1bio1BFObak1bkk1tech3endophytesbacteria	ITS_19	FP1	FP1_ITS_19	A1	bio1	BFO	bak1bkk1	bak1bkk1	tech3	endophytes	plate25	24.90974384	21.29212728	0.081468347	19.99871354
FP1A1bio1BFObak1bkk1tech4endophytesbacteria	ITS_20	FP1	FP1_ITS_20	A1	bio1	BFO	bak1bkk1	bak1bkk1	tech4	endophytes	plate25	23.47690258	20.2102251	0.103903959	25.50617004
FP1A1bio1BFOcyp79b2b3tech1endophytesbacteria	ITS_21	FP1	FP1_ITS_21	A1	bio1	BFO	cyp79b2b3	cyp79b2b3	tech1	endophytes	plate25	25.68827869	20.13530219	0.021300388	5.228783557
FP1A1bio1BFOcyp79b2b3tech2endophytesbacteria	ITS_22	FP1	FP1_ITS_22	A1	bio1	BFO	cyp79b2b3	cyp79b2b3	tech2	endophytes	plate25	26.61070803	22.37238088	0.052982982	13.00617376
FP1A1bio1BFOcyp79b2b3tech3endophytesbacteria	ITS_23	FP1	FP1_ITS_23	A1	bio1	BFO	cyp79b2b3	cyp79b2b3	tech3	endophytes	plate25	28.18289237	20.25263832	0.004099734	1.006395803
FP1A1bio1BFOcyp79b2b3tech4endophytesbacteria	ITS_24	FP1	FP1_ITS_24	A1	bio1	BFO	cyp79b2b3	cyp79b2b3	tech4	endophytes	plate25	31.32794502	20.20989163	0.000449917	0.110444882
FP1A1bio1BFOdepstech1endophytesbacteria	ITS_25	FP1	FP1_ITS_25	A1	bio1	BFO	deps	deps	tech1	endophytes	plate25	20.00369262	19.26393317	0.598839194	147.0020442
FP1A1bio1BFOdepstech2endophytesbacteria	ITS_26	FP1	FP1_ITS_26	A1	bio1	BFO	deps	deps	tech2	endophytes	plate25	33.57855488	29.88052517	0.077051683	18.91451837
FP1A1bio1BFOdepstech4endophytesbacteria	ITS_28	FP1	FP1_ITS_28	A1	bio1	BFO	deps	deps	tech4	endophytes	plate25	22.33391818	19.20488225	0.11430529	28.05947138
FP1A1bio1BFOpad4tech1endophytesbacteria	ITS_33	FP1	FP1_ITS_33	A1	bio1	BFO	pad4	pad4	tech1	endophytes	plate26	24.50626658	19.15597144	0.024513238	6.017468612
FP1A1bio1BFOpad4tech2endophytesbacteria	ITS_34	FP1	FP1_ITS_34	A1	bio1	BFO	pad4	pad4	tech2	endophytes	plate26	20.26598962	19.2528147	0.495454706	121.623393
FP1A1bio1BFOpad4tech3endophytesbacteria	ITS_35	FP1	FP1_ITS_35	A1	bio1	BFO	pad4	pad4	tech3	endophytes	plate26	25.195525	18.92393091	0.012943808	3.177424325
FP1A1bio1BFOpad4tech4endophytesbacteria	ITS_36	FP1	FP1_ITS_36	A1	bio1	BFO	pad4	pad4	tech4	endophytes	plate26	22.41089234	18.81238992	0.082554896	20.26543779
FP1A1bio1BFOrar1tech1endophytesbacteria	ITS_37	FP1	FP1_ITS_37	A1	bio1	BFO	rar1	rar1	tech1	endophytes	plate26	21.54357365	19.09990184	0.183815228	45.12265475
FP1A1bio1BFOrar1tech3endophytesbacteria	ITS_39	FP1	FP1_ITS_39	A1	bio1	BFO	rar1	rar1	tech3	endophytes	plate26	23.17536564	19.36286979	0.071174494	17.47179588
FP1A1bio1BFOrar1tech4endophytesbacteria	ITS_40	FP1	FP1_ITS_40	A1	bio1	BFO	rar1	rar1	tech4	endophytes	plate26	25.31747637	19.59244776	0.018905783	4.640959936
FP1A1bio1noWTtech1endophytesbacteria	ITS_45	FP1	FP1_ITS_45	A1	bio1	no	2aWT	2aWT	tech1	endophytes	plate26	24.30090718	18.43009828	0.017088755	4.194919021
