SampleID	barcode_name	library	qPCR_name	experiment	biological	microbes	genotype	genotype2	technical	compartment	qPCR_plate	genotype_combined	genotype_combined2	ITS_UBQ	X16S_UBQ_ref
FP1A1bio1BFOWTtech1endophytesbacteria	ITS_01	FP1	FP1_ITS_01	A1	bio1	BFO	2aWT	2aWT	tech1	endophytes	plate1	2aWT	2aWT	1.205906763	0.318619924
FP1A1bio1BFOWTtech2endophytesbacteria	ITS_02	FP1	FP1_ITS_02	A1	bio1	BFO	2aWT	2aWT	tech2	endophytes	plate1	2aWT	2aWT	2.588533159	0.683932012
FP1A1bio1BFOWTtech3endophytesbacteria	ITS_03	FP1	FP1_ITS_03	A1	bio1	BFO	2aWT	2aWT	tech3	endophytes	plate1	2aWT	2aWT	5.145769235	1.359594831
FP1A1bio1BFOWTtech4endophytesbacteria	ITS_04	FP1	FP1_ITS_04	A1	bio1	BFO	2aWT	2aWT	tech4	endophytes	plate1	2aWT	2aWT	3.998477048	1.056461819
FP1A1bio1BFOwrky3340tech1endophytesbacteria	ITS_09	FP1	FP1_ITS_09	A1	bio1	BFO	wrky3340	wrky3340	tech1	endophytes	plate1	wrky3340	wrky3340	12.84428623	3.393666597
FP1A1bio1BFOwrky3340tech2endophytesbacteria	ITS_10	FP1	FP1_ITS_10	A1	bio1	BFO	wrky3340	wrky3340	tech2	endophytes	plate1	wrky3340	wrky3340	5.255351592	1.388548249
FP1A1bio1BFOwrky3340tech3endophytesbacteria	ITS_11	FP1	FP1_ITS_11	A1	bio1	BFO	wrky3340	wrky3340	tech3	endophytes	plate1	wrky3340	wrky3340	4.295351561	1.134900831
FP1A1bio1BFOwrky3340tech4endophytesbacteria	ITS_12	FP1	FP1_ITS_12	A1	bio1	BFO	wrky3340	wrky3340	tech4	endophytes	plate1	wrky3340	wrky3340	2.763266696	0.730099417
FP1A1bio1BFOefrfls2cerk1tech2endophytesbacteria	ITS_14	FP1	FP1_ITS_14	A1	bio1	BFO	efrfls2cerk1	efrfls2cerk1	tech2	endophytes	plate1	efrfls2cerk1	efrfls2cerk1	7.234493786	1.911469386
FP1A1bio1BFOefrfls2cerk1tech3endophytesbacteria	ITS_15	FP1	FP1_ITS_15	A1	bio1	BFO	efrfls2cerk1	efrfls2cerk1	tech3	endophytes	plate1	efrfls2cerk1	efrfls2cerk1	7.194907416	1.901010031
FP1A1bio1BFOefrfls2cerk1tech4endophytesbacteria	ITS_16	FP1	FP1_ITS_16	A1	bio1	BFO	efrfls2cerk1	efrfls2cerk1	tech4	endophytes	plate1	efrfls2cerk1	efrfls2cerk1	4.577859465	1.209543954
FP1A1bio1BFObak1bkk1tech1endophytesbacteria	ITS_17	FP1	FP1_ITS_17	A1	bio1	BFO	bak1bkk1	bak1bkk1	tech1	endophytes	plate1	bak1bkk1	bak1bkk1	6.264926617	1.655294176
FP1A1bio1BFObak1bkk1tech2endophytesbacteria	ITS_18	FP1	FP1_ITS_18	A1	bio1	BFO	bak1bkk1	bak1bkk1	tech2	endophytes	plate1	bak1bkk1	bak1bkk1	5.278718796	1.39472224
FP1A1bio1BFObak1bkk1tech3endophytesbacteria	ITS_19	FP1	FP1_ITS_19	A1	bio1	BFO	bak1bkk1	bak1bkk1	tech3	endophytes	plate1	bak1bkk1	bak1bkk1	3.712583772	0.980924227
FP1A1bio1BFObak1bkk1tech4endophytesbacteria	ITS_20	FP1	FP1_ITS_20	A1	bio1	BFO	bak1bkk1	bak1bkk1	tech4	endophytes	plate1	bak1bkk1	bak1bkk1	6.575485276	1.737348759
FP1A1bio1BFOcyp79b2b3tech1endophytesbacteria	ITS_21	FP1	FP1_ITS_21	A1	bio1	BFO	cyp79b2b3	cyp79b2b3	tech1	endophytes	plate1	cyp79b2b3	cyp79b2b3	9.63995269	2.54703024
FP1A1bio1BFOcyp79b2b3tech2endophytesbacteria	ITS_22	FP1	FP1_ITS_22	A1	bio1	BFO	cyp79b2b3	cyp79b2b3	tech2	endophytes	plate1	cyp79b2b3	cyp79b2b3	10.63199127	2.809142758
FP1A1bio1BFOcyp79b2b3tech3endophytesbacteria	ITS_23	FP1	FP1_ITS_23	A1	bio1	BFO	cyp79b2b3	cyp79b2b3	tech3	endophytes	plate1	cyp79b2b3	cyp79b2b3	6.984115954	1.845315544
FP1A1bio1BFOcyp79b2b3tech4endophytesbacteria	ITS_24	FP1	FP1_ITS_24	A1	bio1	BFO	cyp79b2b3	cyp79b2b3	tech4	endophytes	plate1	cyp79b2b3	cyp79b2b3	7.199674547	1.902269584
FP1A1bio1BFOdepstech1endophytesbacteria	ITS_25	FP1	FP1_ITS_25	A1	bio1	BFO	deps	deps	tech1	endophytes	plate1	deps	deps	4.614528726	1.219232561
