experiment	biological	genotype	treatment	flowpot_number	genotype_treatment	genotype_biological	treatment_biological	genotype_treatment_biological	seedling_number	seeds_planted	germination_percent	sowing_day_MDY	bolting_day_MDY	first_flower_day_MDY	siliques_day_MDY	days_to_bolting	days_to_flower	days_to_siliques	bolt_to_flower_days	bolt_to_silique_days	flower_to_silique_days	FW_rosette	FW_stem	DW_rosette	DW_stem	siliques_number	main_stem_cm	total_number_stems	rosette_water_content_percent	stem_water_content_percent	branching_points	average_stem_length	longest_stem	branching_per_stem
flower_flowpot	bio1	WT	sterile	1	WT_sterile	WT_bio1	sterile_bio1	WT_sterile_bio1	3	5	60	43796	43847	43857		51	61		10			0.7262	0.2622	0.037	0.0183	1	16	3	94.90498485	93.02059497	2	6.6	15.8	0.666666667
flower_flowpot	bio1	WT	sterile	2	WT_sterile	WT_bio1	sterile_bio1	WT_sterile_bio1	4	5	80	43796	43847	43857		51	61		10			0.2462	0.1035	0.0161	0.0096	0	12	2	93.46060114	90.72463768	2	6.75	12	1
flower_flowpot	bio1	WT	sterile	3	WT_sterile	WT_bio1	sterile_bio1	WT_sterile_bio1	3	5	60	43796	43847	43856		51	60		9			0.9625	0.2887	0.064	0.0265	2	15	1	93.35064935	90.82092137	3	14.5	14.5	3
flower_flowpot	bio1	WT	sterile	4	WT_sterile	WT_bio1	sterile_bio1	WT_sterile_bio1	2	5	40	43796	43852	43857		56	61		5			0.9999	0.2059	0.0692	0.0198	0	11	1	93.07930793	90.3836814	0	10.5	10.5	0
flower_flowpot	bio1	WT	sterile	5	WT_sterile	WT_bio1	sterile_bio1	WT_sterile_bio1	3	5	60	43796	43857	43857		61	61		0			0.4337		0.0206				0	95.25017293					
flower_flowpot	bio1	WT	B	1	WT_B	WT_bio1	B_bio1	WT_B_bio1	4	5	80	43796	43847			51						0.5216	0.1995	0.0414	0.0243	0	9	2	92.06288344	87.81954887	2	6.6	9.5	1
flower_flowpot	bio1	WT	B	2	WT_B	WT_bio1	B_bio1	WT_B_bio1	4	5	80	43796	43845	43850	43855	49	54	59	5	10	5	0.5098	0.338	0.0335	0.0274	0	12	2	93.42879561	91.89349112	3	8.45	9.9	1.5
flower_flowpot	bio1	WT	B	3	WT_B	WT_bio1	B_bio1	WT_B_bio1	4	5	80	43796	43847			51						0.7799	0.1203	0.0621	0.0141	0	7	1	92.0374407	88.27930175	3	8	8	3
flower_flowpot	bio1	WT	B	4	WT_B	WT_bio1	B_bio1	WT_B_bio1	3	5	60	43796	43845	43852	43857	49	56	61	7	12	5	0.2833	0.229	0.0298	0.0283	0	12	2	89.48111543	87.6419214	3	9.5	12	1.5
flower_flowpot	bio1	WT	B	5	WT_B	WT_bio1	B_bio1	WT_B_bio1	3	5	60	43796	43850			54						0.1456	0.0849	0.0226	0.0067	0	7	1	84.47802198	92.10836278	1	8	8	1
flower_flowpot	bio1	WT	F	1	WT_F	WT_bio1	F_bio1	WT_F_bio1	0	5	0	43796																0						
flower_flowpot	bio1	WT	F	2	WT_F	WT_bio1	F_bio1	WT_F_bio1	1	5	20	43796																0						
flower_flowpot	bio1	WT	F	3	WT_F	WT_bio1	F_bio1	WT_F_bio1	1	5	20	43796																0						
flower_flowpot	bio1	WT	F	4	WT_F	WT_bio1	F_bio1	WT_F_bio1	1	5	20	43796	43856			60						0.4269	0.0282	0.0285	0.0016	0	1	1	93.32396346	94.32624113				0
flower_flowpot	bio1	WT	F	5	WT_F	WT_bio1	F_bio1	WT_F_bio1	2	5	40	43796	43857			61						0.1284	0.0021	0.01		0	0.3	1	92.21183801	100				0
flower_flowpot	bio1	WT	O	1	WT_O	WT_bio1	O_bio1	WT_O_bio1	2	5	40	43796	43840	43845	43848	44	49	52	5	8	3	0.0546	0.3126	0.0048	0.0338	20	19.5	2	91.20879121	89.18746001	9	10.85	20.7	4.5
flower_flowpot	bio1	WT	O	2	WT_O	WT_bio1	O_bio1	WT_O_bio1	1	5	20	43796																0						
flower_flowpot	bio1	WT	O	3	WT_O	WT_bio1	O_bio1	WT_O_bio1	2	5	40	43796	43850	43856		54	60	-43796	6			0.2343	0.0844	0.0182	0.0078	0	9	1	92.23218096	90.75829384	2	8.5	8.5	2
flower_flowpot	bio1	WT	O	4	WT_O	WT_bio1	O_bio1	WT_O_bio1	2	5	40	43796	43845	43852	43857	49	56	61	7	12	5	0.4483	0.3379	0.0338	0.031	4	18	2	92.46040598	90.82568807	3	12.6	19	1.5
flower_flowpot	bio1	WT	O	5	WT_O	WT_bio1	O_bio1	WT_O_bio1	4	5	80	43796	43840	43845	43848	44	49	52	5	8	3	0.0387	0.1028	0.0035	0.0114	14	16.5	1	90.95607235	88.91050584	3	25	25	3
flower_flowpot	bio1	WT	BF	1	WT_BF	WT_bio1	BF_bio1	WT_BF_bio1	4	5	80	43796	43847			51						0.3605	0.1845	0.0269	0.0203	0	14.5	1	92.53814147	88.99728997	4	14.1	14.1	4
flower_flowpot	bio1	WT	BF	2	WT_BF	WT_bio1	BF_bio1	WT_BF_bio1	2	5	40	43796	43846			50						0.5032	0.1389	0.0418	0.0198	0	7.5	3	91.69316375	85.74514039	2	4.4	5.2	0.666666667
flower_flowpot	bio1	WT	BF	3	WT_BF	WT_bio1	BF_bio1	WT_BF_bio1	3	5	60	43796	43847	43858		51	62		11			0.0876	0.1206	0.006	0.0099	1	11	1	93.15068493	91.79104478	4	11	11	4
flower_flowpot	bio1	WT	BF	4	WT_BF	WT_bio1	BF_bio1	WT_BF_bio1	4	5	80	43796	43842	43850		46	54		8			0.4554	0.3226	0.0374	0.0473	0	15	3	91.78743961	85.33787973	4	8	14.8	1.333333333
flower_flowpot	bio1	WT	BF	5	WT_BF	WT_bio1	BF_bio1	WT_BF_bio1	2	5	40	43796	43842	43846	43852	46	50	56	4	10	6	0.3041	0.567	0.0227	0.0441	0	13.5	4	92.53535021	92.22222222	8	10.25	13.3	2
