project	biological	genotype	treatment	genotype_treatment	genotype_treatment_biological	technical	sample_code	compartment	qPCR_plate	Cq_16S	Cq_UBQ10	16S_UBQ_ref
G1	bio1	WT	BFO	WT_BFO	WT_BFO_bio1	tech1	G1-1-1-BFO	root	plate3	10.76		
G1	bio1	WT	BFO	WT_BFO	WT_BFO_bio1	tech2	G1-1-2-BFO	root	plate3	13.29	19.63	0.351717871
G1	bio1	WT	BFO	WT_BFO	WT_BFO_bio1	tech3	G1-1-3-BFO	root	plate3	13.56	19.93	0.359869004
G1	bio1	WT	BFO	WT_BFO	WT_BFO_bio1	tech4	G1-1-4-BFO	root	plate3	13.2	20.1	0.51893923
G1	bio1	WT	BFO	WT_BFO	WT_BFO_bio1	tech5	G1-1-5-BFO	root	plate3	13.43	20.15	0.458706909
G1	bio1	WT	B	WT_B	WT_B_bio1	tech1	G1-1-6-B	root	plate1	16.64	20.49	0.058211676
G1	bio1	WT	B	WT_B	WT_B_bio1	tech2	G1-1-7-B	root	plate1	14.22	19.46	0.153663596
G1	bio1	WT	B	WT_B	WT_B_bio1	tech3	G1-1-8-B	root	plate1	13.94	19.19	0.154992051
G1	bio1	WT	B	WT_B	WT_B_bio1	tech4	G1-1-9-B	root	plate1	14.24	20.13	0.240490623
G1	bio1	WT	B	WT_B	WT_B_bio1	tech5	G1-1-10-B	root	plate1	14.07	20.54	0.358159882
G1	bio1	WT	BF	WT_BF	WT_BF_bio1	tech1	G1-1-21-BF	root	plate2	14.35	20.57	0.126077967
G1	bio1	WT	BF	WT_BF	WT_BF_bio1	tech2	G1-1-22-BF	root	plate2	13.48	19.51	0.11027882
G1	bio1	WT	BF	WT_BF	WT_BF_bio1	tech3	G1-1-23-BF	root	plate2	14.12	19.99	0.099041425
G1	bio1	WT	BF	WT_BF	WT_BF_bio1	tech4	G1-1-24-BF	root	plate2	12.71	18.63	0.102696833
G1	bio1	WT	BF	WT_BF	WT_BF_bio1	tech5	G1-1-25-BF	root	plate2	13.05	19.38	0.136225022
G1	bio1	WT	BO	WT_BO	WT_BO_bio1	tech1	G1-1-26-BO	root	plate5	14.76	20.4	0.298547722
G1	bio1	WT	BO	WT_BO	WT_BO_bio1	tech2	G1-1-27-BO	root	plate5	13.83	20.16	0.482404686
G1	bio1	WT	BO	WT_BO	WT_BO_bio1	tech3	G1-1-28-BO	root	plate5	14.1	20.68	0.573336914
G1	bio1	WT	BO	WT_BO	WT_BO_bio1	tech4	G1-1-29-BO	root	plate5	14.69	20.16	0.266201017
