project	biological	genotype	treatment	genotype_treatment	genotype_treatment_biological	technical	sample_code	compartment	qPCR_plate	Cq_ITS1	Cq_UBQ10	ITS1_UBQ_ref
G1	bio1	WT	BFO	WT_BFO	WT_BFO_bio1	tech1	G1-1-1-BFO	root	plate3	23.5		
G1	bio1	WT	BFO	WT_BFO	WT_BFO_bio1	tech2	G1-1-2-BFO	root	plate3	21.23	19.63	0.052694928
G1	bio1	WT	BFO	WT_BFO	WT_BFO_bio1	tech3	G1-1-3-BFO	root	plate3	20	19.93	0.151580715
G1	bio1	WT	BFO	WT_BFO	WT_BFO_bio1	tech4	G1-1-4-BFO	root	plate3	19.77	20.1	0.1996619
G1	bio1	WT	BFO	WT_BFO	WT_BFO_bio1	tech5	G1-1-5-BFO	root	plate3	19.78	20.15	0.206345544
G1	bio1	WT	F	WT_F	WT_F_bio1	tech1	G1-1-11-F	root	plate7	13.42		
G1	bio1	WT	F	WT_F	WT_F_bio1	tech2	G1-1-12-F	root	plate7	30.39		
G1	bio1	WT	F	WT_F	WT_F_bio1	tech3	G1-1-13-F	root	plate7	32.42		
G1	bio1	WT	F	WT_F	WT_F_bio1	tech4	G1-1-14-F	root	plate7	15.41	20.02	3.47990284
G1	bio1	WT	F	WT_F	WT_F_bio1	tech5	G1-1-15-F	root	plate7	15.4	19.68	2.793335961
G1	bio1	WT	BF	WT_BF	WT_BF_bio1	tech1	G1-1-21-BF	root	plate2	23.7	20.57	0.021167213
G1	bio1	WT	BF	WT_BF	WT_BF_bio1	tech2	G1-1-22-BF	root	plate2	20.75	19.51	0.078468114
G1	bio1	WT	BF	WT_BF	WT_BF_bio1	tech3	G1-1-23-BF	root	plate2	20.82	19.99	0.104261145
G1	bio1	WT	BF	WT_BF	WT_BF_bio1	tech4	G1-1-24-BF	root	plate2	20.11	18.63	0.066504874
G1	bio1	WT	BF	WT_BF	WT_BF_bio1	tech5	G1-1-25-BF	root	plate2	22.05	19.38	0.029226363
G1	bio1	WT	FO	WT_FO	WT_FO_bio1	tech1	G1-1-31-FO	root	plate9	15.37	21.85	13.70619361
G1	bio1	WT	FO	WT_FO	WT_FO_bio1	tech2	G1-1-32-FO	root	plate9	13.95	19.36	6.506780892
G1	bio1	WT	FO	WT_FO	WT_FO_bio1	tech3	G1-1-33-FO	root	plate9	14.64	19.86	5.715442865
G1	bio1	WT	FO	WT_FO	WT_FO_bio1	tech4	G1-1-34-FO	root	plate9	13.65	29.38	
