project	biological	genotype	treatment	genotype_treatment	genotype_treatment_biological	technical	sample_code	compartment	qPCR_plate	Cq_oITS1	Cq_UBQ10	oITS1_UBQ_ref
G1	bio1	WT	BFO	WT_BFO	WT_BFO_bio1	tech1	G1-1-1-BFO	root	plate3	31.8		1.94E-07
G1	bio1	WT	BFO	WT_BFO	WT_BFO_bio1	tech2	G1-1-2-BFO	root	plate3	27.21	19.63	3.790507569
G1	bio1	WT	BFO	WT_BFO	WT_BFO_bio1	tech3	G1-1-3-BFO	root	plate3	26.46	19.93	7.800530341
G1	bio1	WT	BFO	WT_BFO	WT_BFO_bio1	tech4	G1-1-4-BFO	root	plate3	29.94	20.1	0.789747672
G1	bio1	WT	BFO	WT_BFO	WT_BFO_bio1	tech5	G1-1-5-BFO	root	plate3	24.31	20.15	40.51979774
G1	bio1	WT	O	WT_O	WT_O_bio1	tech1	G1-1-16-O	root	plate8	15.63	19.65	6136.679857
G1	bio1	WT	O	WT_O	WT_O_bio1	tech2	G1-1-17-O	root	plate8			379.058062
G1	bio1	WT	O	WT_O	WT_O_bio1	tech3	G1-1-18-O	root	plate8	14.63	19.73	12975.19985
G1	bio1	WT	O	WT_O	WT_O_bio1	tech4	G1-1-19-O	root	plate8	14.8	19.16	7783.173644
G1	bio1	WT	O	WT_O	WT_O_bio1	tech5	G1-1-20-O	root	plate8	15.58	19.37	5266.189891
G1	bio1	WT	BO	WT_BO	WT_BO_bio1	tech1	G1-1-26-BO	root	plate5	31.84	20.4	0.16615829
G1	bio1	WT	BO	WT_BO	WT_BO_bio1	tech2	G1-1-27-BO	root	plate5	30.32	20.16	0.403690575
G1	bio1	WT	BO	WT_BO	WT_BO_bio1	tech3	G1-1-28-BO	root	plate5	31.15	20.68	0.32550399
G1	bio1	WT	BO	WT_BO	WT_BO_bio1	tech4	G1-1-29-BO	root	plate5	30.59	20.16	0.335757429
G1	bio1	WT	BO	WT_BO	WT_BO_bio1	tech5	G1-1-30-BO	root	plate5	30.74	20.56	0.399729823
G1	bio1	WT	FO	WT_FO	WT_FO_bio1	tech1	G1-1-31-FO	root	plate9	30.24	21.85	0.962384382
G1	bio1	WT	FO	WT_FO	WT_FO_bio1	tech2	G1-1-32-FO	root	plate9	31.46	19.36	0.073233083
G1	bio1	WT	FO	WT_FO	WT_FO_bio1	tech3	G1-1-33-FO	root	plate9	25.93	19.86	4.79240142
G1	bio1	WT	FO	WT_FO	WT_FO_bio1	tech4	G1-1-34-FO	root	plate9	30.58	29.38	
G1	bio1	WT	FO	WT_FO	WT_FO_bio1	tech5	G1-1-35-FO	root	plate9	27.08	20.7	3.855706233
G1	bio1	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio1	tech1	G1-1-36-BFO	root	plate3	31.81	31.48	
G1	bio1	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio1	tech2	G1-1-37-BFO	root	plate3	30.65	19.29	0.275379196
G1	bio1	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio1	tech3	G1-1-38-BFO	root	plate3	29.42	20.2	1.220929438
G1	bio1	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio1	tech4	G1-1-39-BFO	root	plate3	30.45	31.33	
G1	bio1	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio1	tech5	G1-1-40-BFO	root	plate4	37.33	32.07	
G1	bio1	cyp79b2b3	O	cyp79b2b3_O	cyp79b2b3_O_bio1	tech1	G1-1-51-O	root	plate8	17.55		
G1	bio1	cyp79b2b3	O	cyp79b2b3_O	cyp79b2b3_O_bio1	tech2	G1-1-52-O	root	plate8			
G1	bio1	cyp79b2b3	O	cyp79b2b3_O	cyp79b2b3_O_bio1	tech3	G1-1-53-O	root	plate8	14.11		
G1	bio1	cyp79b2b3	O	cyp79b2b3_O	cyp79b2b3_O_bio1	tech4	G1-1-54-O	root	plate8			
G1	bio1	cyp79b2b3	O	cyp79b2b3_O	cyp79b2b3_O_bio1	tech5	G1-1-55-O	root	plate8			
G1	bio1	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio1	tech1	G1-1-61-BO	root	plate5	25.28	18.34	3.76180089
G1	bio1	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio1	tech2	G1-1-62-BO	root	plate6	29.77	20.2	0.306360627
