	chao1
FIT1_bacteria_bio2_cyp79b2b3_B_tech3	84.125
FIT1_bacteria_bio3_WT_B_tech1	63.1
FIT1_bacteria_bio1_WT_BF_tech1	46.0
FIT1_bacteria_bio1_cyp79b2b3_BO_tech5	52.111111111111114
FIT1_bacteria_bio3_cyp79b2b3_B_tech1	86.0
FIT1_bacteria_bio1_cyp79b2b3_BO_tech2	63.0
FIT1_bacteria_bio3_cyp79b2b3_BF_tech4	73.8
FIT1_bacteria_bio3_cyp79b2b3_BF_tech3	78.11111111111111
FIT1_bacteria_bio3_WT_B_tech4	70.0
FIT1_bacteria_bio2_WT_BFO_tech1	80.6
FIT1_bacteria_bio3_soil_BFO_tech1	76.125
FIT1_bacteria_bio1_cyp79b2b3_BFO_tech2	53.54545454545455
FIT1_bacteria_bio3_WT_B_tech5	68.0
FIT1_bacteria_bio3_soil_B_tech2	58.666666666666664
FIT1_bacteria_bio2_soil_BF_tech2	62.6
FIT1_bacteria_bio1_soil_BO_tech1	54.875
FIT1_bacteria_bio3_initial_initial_tech3	87.5
FIT1_bacteria_bio2_initial_initial_tech1	110.6
FIT1_bacteria_bio3_cyp79b2b3_B_tech5	53.111111111111114
FIT1_bacteria_bio1_WT_BF_tech3	45.0
FIT1_bacteria_bio2_cyp79b2b3_BF_tech3	62.5
FIT1_bacteria_bio2_WT_B_tech1	78.5
FIT1_bacteria_bio3_soil_BO_tech2	60.0
FIT1_bacteria_bio2_initial_initial_tech3	84.375
FIT1_bacteria_bio3_WT_BO_tech2	71.85714285714286
FIT1_bacteria_bio1_cyp79b2b3_BO_tech3	44.36363636363637
FIT1_bacteria_bio3_cyp79b2b3_BF_tech2	65.875
FIT1_bacteria_bio3_WT_B_tech3	73.0
FIT1_bacteria_bio3_WT_BF_tech1	64.27272727272727
FIT1_bacteria_bio2_cyp79b2b3_BF_tech2	68.14285714285714
FIT1_bacteria_bio3_cyp79b2b3_BO_tech5	63.0
FIT1_bacteria_bio3_cyp79b2b3_BFO_tech5	70.42857142857143
FIT1_bacteria_bio1_WT_BF_tech2	49.5
FIT1_bacteria_bio2_cyp79b2b3_BFO_tech5	70.0
FIT1_bacteria_bio2_WT_BFO_tech3	82.42857142857143
FIT1_bacteria_bio1_soil_BFO_tech2	53.2
FIT1_bacteria_bio2_soil_BFO_tech1	65.5
FIT1_bacteria_bio3_WT_BO_tech3	59.5
FIT1_bacteria_bio2_WT_BO_tech3	59.5
FIT1_bacteria_bio1_WT_B_tech5	58.333333333333336
FIT1_bacteria_bio1_WT_BFO_tech1	43.333333333333336
FIT1_bacteria_bio3_soil_BF_tech2	82.75
FIT1_bacteria_bio3_cyp79b2b3_BO_tech2	80.0
FIT1_bacteria_bio3_soil_B_tech1	58.0
FIT1_bacteria_bio1_initial_initial_tech3	63.111111111111114
FIT1_bacteria_bio2_cyp79b2b3_BFO_tech3	87.42857142857143
FIT1_bacteria_bio2_cyp79b2b3_BO_tech2	58.5
FIT1_bacteria_bio3_cyp79b2b3_BFO_tech3	76.1
FIT1_bacteria_bio3_WT_B_tech2	66.0
FIT1_bacteria_bio3_cyp79b2b3_BF_tech1	82.14285714285714
FIT1_bacteria_bio3_cyp79b2b3_BO_tech1	52.5
FIT1_bacteria_bio1_cyp79b2b3_BFO_tech5	46.8
FIT1_bacteria_bio3_WT_BF_tech2	67.5
FIT1_bacteria_bio3_soil_BF_tech1	71.11111111111111
FIT1_bacteria_bio3_initial_initial_tech1	95.0
FIT1_bacteria_bio1_initial_initial_tech1	67.11111111111111
FIT1_bacteria_bio2_cyp79b2b3_B_tech5	65.0
FIT1_bacteria_bio2_soil_B_tech2	107.5
FIT1_bacteria_bio2_cyp79b2b3_B_tech4	77.14285714285714
FIT1_bacteria_bio1_WT_B_tech1	48.111111111111114
FIT1_bacteria_bio2_soil_BO_tech1	66.0909090909091
FIT1_bacteria_bio1_WT_BF_tech5	48.5
FIT1_bacteria_bio3_cyp79b2b3_B_tech4	77.1
FIT1_bacteria_bio2_WT_BFO_tech2	77.6
FIT1_bacteria_bio3_cyp79b2b3_BO_tech3	92.6
FIT1_bacteria_bio1_soil_B_tech1	58.111111111111114
FIT1_bacteria_bio2_initial_initial_tech2	93.5
FIT1_bacteria_bio3_cyp79b2b3_BFO_tech2	75.42857142857143
FIT1_bacteria_bio2_cyp79b2b3_BF_tech1	76.0
FIT1_bacteria_bio3_WT_BO_tech4	67.42857142857143
FIT1_bacteria_bio1_WT_BFO_tech4	46.36363636363637
FIT1_bacteria_bio1_cyp79b2b3_BF_tech3	41.0
FIT1_bacteria_bio3_WT_BO_tech1	63.8
FIT1_bacteria_bio2_cyp79b2b3_BFO_tech4	56.5
FIT1_bacteria_bio2_cyp79b2b3_B_tech2	58.8
FIT1_bacteria_bio3_WT_BFO_tech1	60.875
FIT1_bacteria_bio3_soil_BFO_tech2	64.25
FIT1_bacteria_bio2_WT_BFO_tech4	71.2
FIT1_bacteria_bio2_soil_BO_tech2	79.14285714285714
FIT1_bacteria_bio3_WT_BFO_tech3	66.875
FIT1_bacteria_bio1_WT_B_tech3	54.6
FIT1_bacteria_bio1_WT_BO_tech3	57.0
FIT1_bacteria_bio3_cyp79b2b3_BFO_tech1	78.0
FIT1_bacteria_bio1_WT_BFO_tech3	59.0
FIT1_bacteria_bio2_WT_BFO_tech5	78.36363636363636
FIT1_bacteria_bio3_initial_initial_tech2	100.75
FIT1_bacteria_bio1_soil_B_tech2	55.6
FIT1_bacteria_bio1_WT_BFO_tech2	41.0
FIT1_bacteria_bio1_cyp79b2b3_B_tech2	56.0
FIT1_bacteria_bio1_cyp79b2b3_BF_tech5	48.5
FIT1_bacteria_bio1_WT_BFO_tech5	47.5
FIT1_bacteria_bio2_cyp79b2b3_BO_tech3	63.0
FIT1_bacteria_bio2_WT_B_tech4	82.0
FIT1_bacteria_bio2_soil_BF_tech1	73.0
FIT1_bacteria_bio3_cyp79b2b3_B_tech2	61.5
FIT1_bacteria_bio3_cyp79b2b3_B_tech3	73.5
FIT1_bacteria_bio1_initial_initial_tech2	68.11111111111111
FIT1_bacteria_bio1_cyp79b2b3_BO_tech1	59.0
FIT1_bacteria_bio3_WT_BFO_tech5	69.42857142857143
FIT1_bacteria_bio3_WT_BF_tech4	64.5
FIT1_bacteria_bio3_WT_BFO_tech2	63.0
FIT1_bacteria_bio2_cyp79b2b3_BO_tech5	61.0
FIT1_bacteria_bio2_cyp79b2b3_B_tech1	112.0
FIT1_bacteria_bio2_soil_BFO_tech2	77.0
FIT1_bacteria_bio2_cyp79b2b3_BO_tech1	70.6
FIT1_bacteria_bio1_soil_BF_tech2	36.2
FIT1_bacteria_bio3_WT_BFO_tech4	75.0
FIT1_bacteria_bio1_WT_BO_tech2	60.166666666666664
FIT1_bacteria_bio3_WT_BF_tech5	61.375
FIT1_bacteria_bio1_soil_BO_tech2	49.25
FIT1_bacteria_bio3_cyp79b2b3_BFO_tech4	78.5
FIT1_bacteria_bio2_soil_B_tech1	63.5
FIT1_bacteria_bio1_soil_BF_tech1	53.166666666666664
FIT1_bacteria_bio3_WT_BO_tech5	72.0909090909091
FIT1_bacteria_bio2_cyp79b2b3_BO_tech4	59.23529411764706
FIT1_bacteria_bio1_cyp79b2b3_B_tech1	51.625
FIT1_bacteria_bio2_cyp79b2b3_BF_tech4	97.14285714285714
FIT1_bacteria_bio3_WT_BF_tech3	85.0
FIT1_bacteria_bio2_WT_BF_tech5	64.16666666666667
FIT1_bacteria_bio1_WT_B_tech4	51.25
FIT1_bacteria_bio1_soil_BFO_tech1	49.25
FIT1_bacteria_bio3_cyp79b2b3_BO_tech4	65.25
