FIT1_bacteria_bio2_cyp79b2b3_B_tech3	FIT1_bacteria_bio3_WT_B_tech1	FIT1_bacteria_bio1_WT_BF_tech1	FIT1_bacteria_bio1_WT_BF_tech4	FIT1_bacteria_bio1_cyp79b2b3_BO_tech5	FIT1_bacteria_bio3_cyp79b2b3_B_tech1	FIT1_bacteria_bio1_cyp79b2b3_BO_tech2	FIT1_bacteria_bio1_WT_B_tech2	FIT1_bacteria_bio3_cyp79b2b3_BF_tech4	FIT1_bacteria_bio3_cyp79b2b3_BF_tech3	FIT1_bacteria_bio3_WT_B_tech4	FIT1_bacteria_bio2_WT_BFO_tech1	FIT1_bacteria_bio3_soil_BFO_tech1	FIT1_bacteria_bio1_cyp79b2b3_BFO_tech2	FIT1_bacteria_bio3_WT_B_tech5	FIT1_bacteria_bio3_soil_B_tech2	FIT1_bacteria_bio2_soil_BF_tech2	FIT1_bacteria_bio1_soil_BO_tech1	FIT1_bacteria_bio1_cyp79b2b3_BFO_tech1	FIT1_bacteria_bio3_initial_initial_tech3	FIT1_bacteria_bio2_initial_initial_tech1	FIT1_bacteria_bio3_cyp79b2b3_B_tech5	FIT1_bacteria_bio1_WT_BF_tech3	FIT1_bacteria_bio2_cyp79b2b3_BF_tech3	FIT1_bacteria_bio2_WT_B_tech1	FIT1_bacteria_bio3_soil_BO_tech2	FIT1_bacteria_bio2_initial_initial_tech3	FIT1_bacteria_bio3_WT_BO_tech2	FIT1_bacteria_bio1_cyp79b2b3_BO_tech3	FIT1_bacteria_bio3_cyp79b2b3_BF_tech2	FIT1_bacteria_bio1_cyp79b2b3_B_tech4	FIT1_bacteria_bio3_WT_B_tech3	FIT1_bacteria_bio2_WT_B_tech5	FIT1_bacteria_bio3_WT_BF_tech1	FIT1_bacteria_bio2_cyp79b2b3_BF_tech2	FIT1_bacteria_bio3_cyp79b2b3_BO_tech5	FIT1_bacteria_bio3_cyp79b2b3_BFO_tech5	FIT1_bacteria_bio1_WT_BF_tech2	FIT1_bacteria_bio2_cyp79b2b3_BFO_tech5	FIT1_bacteria_bio2_WT_BFO_tech3	FIT1_bacteria_bio1_soil_BFO_tech2	FIT1_bacteria_bio2_soil_BFO_tech1	FIT1_bacteria_bio2_cyp79b2b3_BFO_tech1	FIT1_bacteria_bio3_WT_BO_tech3	FIT1_bacteria_bio2_WT_BO_tech5	FIT1_bacteria_bio2_WT_BO_tech3	FIT1_bacteria_bio1_WT_B_tech5	FIT1_bacteria_bio1_WT_BFO_tech1	FIT1_bacteria_bio3_soil_BF_tech2	FIT1_bacteria_bio3_cyp79b2b3_BO_tech2	FIT1_bacteria_bio3_soil_B_tech1	FIT1_bacteria_bio1_cyp79b2b3_BFO_tech3	FIT1_bacteria_bio1_initial_initial_tech3	FIT1_bacteria_bio2_cyp79b2b3_BFO_tech3	FIT1_bacteria_bio2_cyp79b2b3_BO_tech2	FIT1_bacteria_bio3_cyp79b2b3_BFO_tech3	FIT1_bacteria_bio3_WT_B_tech2	FIT1_bacteria_bio3_cyp79b2b3_BF_tech1	FIT1_bacteria_bio3_cyp79b2b3_BO_tech1	FIT1_bacteria_bio1_cyp79b2b3_BFO_tech5	FIT1_bacteria_bio3_WT_BF_tech2	FIT1_bacteria_bio3_soil_BF_tech1	FIT1_bacteria_bio3_initial_initial_tech1	FIT1_bacteria_bio1_initial_initial_tech1	FIT1_bacteria_bio2_cyp79b2b3_B_tech5	FIT1_bacteria_bio2_soil_B_tech2	FIT1_bacteria_bio2_cyp79b2b3_B_tech4	FIT1_bacteria_bio1_WT_B_tech1	FIT1_bacteria_bio1_cyp79b2b3_BF_tech1	FIT1_bacteria_bio2_soil_BO_tech1	FIT1_bacteria_bio1_WT_BF_tech5	FIT1_bacteria_bio3_cyp79b2b3_B_tech4	FIT1_bacteria_bio2_WT_BFO_tech2	FIT1_bacteria_bio3_cyp79b2b3_BO_tech3	FIT1_bacteria_bio1_soil_B_tech1	FIT1_bacteria_bio2_initial_initial_tech2	FIT1_bacteria_bio3_cyp79b2b3_BFO_tech2	FIT1_bacteria_bio2_cyp79b2b3_BF_tech1	FIT1_bacteria_bio3_WT_BO_tech4	FIT1_bacteria_bio2_cyp79b2b3_BFO_tech2	FIT1_bacteria_bio2_WT_B_tech2	FIT1_bacteria_bio1_WT_BFO_tech4	FIT1_bacteria_bio1_cyp79b2b3_BF_tech3	FIT1_bacteria_bio3_WT_BO_tech1	FIT1_bacteria_bio3_cyp79b2b3_BF_tech5	FIT1_bacteria_bio2_cyp79b2b3_BFO_tech4	FIT1_bacteria_bio2_cyp79b2b3_B_tech2	FIT1_bacteria_bio3_WT_BFO_tech1	FIT1_bacteria_bio3_soil_BFO_tech2	FIT1_bacteria_bio2_WT_BO_tech2	FIT1_bacteria_bio2_WT_BFO_tech4	FIT1_bacteria_bio2_soil_BO_tech2	FIT1_bacteria_bio2_WT_BF_tech2	FIT1_bacteria_bio2_WT_BF_tech3	FIT1_bacteria_bio3_WT_BFO_tech3	FIT1_bacteria_bio1_WT_B_tech3	FIT1_bacteria_bio1_WT_BO_tech3	FIT1_bacteria_bio3_cyp79b2b3_BFO_tech1	FIT1_bacteria_bio1_WT_BFO_tech3	FIT1_bacteria_bio2_WT_BFO_tech5	FIT1_bacteria_bio3_initial_initial_tech2	FIT1_bacteria_bio1_soil_B_tech2	FIT1_bacteria_bio1_WT_BFO_tech2	FIT1_bacteria_bio2_WT_BO_tech4	FIT1_bacteria_bio1_cyp79b2b3_B_tech2	FIT1_bacteria_bio2_WT_B_tech3	FIT1_bacteria_bio1_cyp79b2b3_BF_tech5	FIT1_bacteria_bio1_WT_BFO_tech5	FIT1_bacteria_bio2_cyp79b2b3_BO_tech3	FIT1_bacteria_bio2_WT_B_tech4	FIT1_bacteria_bio2_soil_BF_tech1	FIT1_bacteria_bio3_cyp79b2b3_B_tech2	FIT1_bacteria_bio3_cyp79b2b3_B_tech3	FIT1_bacteria_bio1_initial_initial_tech2	FIT1_bacteria_bio1_cyp79b2b3_BO_tech1	FIT1_bacteria_bio3_WT_BFO_tech5	FIT1_bacteria_bio3_WT_BF_tech4	FIT1_bacteria_bio1_cyp79b2b3_B_tech5	FIT1_bacteria_bio3_WT_BFO_tech2	FIT1_bacteria_bio1_WT_BO_tech5	FIT1_bacteria_bio2_cyp79b2b3_BO_tech5	FIT1_bacteria_bio2_cyp79b2b3_B_tech1	FIT1_bacteria_bio1_WT_BO_tech1	FIT1_bacteria_bio1_cyp79b2b3_BF_tech2	FIT1_bacteria_bio2_soil_BFO_tech2	FIT1_bacteria_bio2_cyp79b2b3_BO_tech1	FIT1_bacteria_bio1_cyp79b2b3_B_tech3	FIT1_bacteria_bio1_WT_BO_tech4	FIT1_bacteria_bio1_soil_BF_tech2	FIT1_bacteria_bio3_WT_BFO_tech4	FIT1_bacteria_bio1_WT_BO_tech2	FIT1_bacteria_bio3_WT_BF_tech5	FIT1_bacteria_bio1_soil_BO_tech2	FIT1_bacteria_bio3_cyp79b2b3_BFO_tech4	FIT1_bacteria_bio2_WT_BF_tech4	FIT1_bacteria_bio2_soil_B_tech1	FIT1_bacteria_bio1_soil_BF_tech1	FIT1_bacteria_bio2_cyp79b2b3_BF_tech5	FIT1_bacteria_bio2_WT_BO_tech1	FIT1_bacteria_bio3_WT_BO_tech5	FIT1_bacteria_bio2_cyp79b2b3_BO_tech4	FIT1_bacteria_bio1_cyp79b2b3_BF_tech4	FIT1_bacteria_bio1_cyp79b2b3_BO_tech4	FIT1_bacteria_bio1_cyp79b2b3_B_tech1	FIT1_bacteria_bio3_soil_BO_tech1	FIT1_bacteria_bio2_cyp79b2b3_BF_tech4	FIT1_bacteria_bio3_WT_BF_tech3	FIT1_bacteria_bio2_WT_BF_tech5	FIT1_bacteria_bio1_WT_B_tech4	FIT1_bacteria_bio1_soil_BFO_tech1	FIT1_bacteria_bio2_WT_BF_tech1	FIT1_bacteria_bio3_cyp79b2b3_BO_tech4	FIT1_bacteria_bio1_cyp79b2b3_BFO_tech4
OTU_472D3	25	12	0	0	25	41	25	10	35	26	15	55	3	8	19	273	55	25	0	7	5	34	5	52	21	95	5	27	31	33	29	21	11	29	63	8	8	8	24	11	0	123	3	10	14	4	7	0	182	8	206	8	2	41	27	52	1	17	10	92	62	86	14	6	24	54	39	0	8	67	8	29	52	8	0	5	18	85	22	4	5	30	16	16	3	15	17	15	4	17	13	161	41	12	10	14	24	49	20	19	13	0	4	6	0	20	2	7	6	17	107	2	31	5	17	10	43	1	15	25	11	16	4	6	81	27	15	12	0	11	28	9	0	25	11	51	8	41	11	20	5	23	24	11	176	66	11	18	6	0	0	9	3
OTU_420	120	215	893	254	284	114	482	350	250	444	181	167	69	617	218	76	62	335	239	54	96	161	573	313	121	12	130	175	664	248	493	180	187	321	199	142	144	355	172	27	404	50	198	233	104	194	338	488	90	106	63	477	109	48	202	129	112	191	114	814	227	99	56	63	239	45	122	246	310	57	464	84	78	130	522	89	106	221	216	135	50	300	391	408	120	78	116	199	107	86	203	56	63	124	98	444	309	246	349	122	51	317	648	96	257	107	511	274	149	142	100	179	135	89	461	115	141	395	167	326	164	90	421	495	42	209	373	158	513	408	250	163	558	184	158	37	566	103	72	249	205	368	438	309	16	99	124	179	277	539	3	285	8
OTU_217	166	142	70	137	115	146	328	44	100	117	140	89	55	104	123	48	29	32	6	166	215	430	284	139	96	3	227	130	179	205	54	116	66	187	109	105	190	277	89	404	10	38	68	174	109	137	68	31	58	153	39	83	127	24	54	123	102	146	391	73	136	58	225	112	243	25	170	93	113	40	63	123	370	169	20	174	93	74	249	80	100	67	98	98	65	43	177	85	50	81	132	26	48	54	152	104	141	159	74	143	194	20	84	91	130	166	65	113	79	94	31	102	312	131	81	181	85	90	112	49	98	138	28	89	40	59	100	31	20	110	160	155	33	130	49	34	17	54	62	217	98	128	51	56	11	73	116	64	137	18	1	108	0
OTU_329	65	59	40	138	53	10	193	20	88	33	97	41	182	42	177	378	35	109	54	79	76	29	137	57	43	153	97	78	104	72	32	83	31	90	32	63	47	117	40	124	234	177	15	87	19	13	64	273	201	77	465	38	83	136	12	59	12	68	59	216	98	199	112	49	63	30	73	114	11	107	33	9	87	102	116	76	69	37	66	14	21	203	73	56	34	37	19	21	187	25	51	114	57	34	39	89	103	43	162	44	86	47	57	12	91	36	53	157	10	46	55	60	55	51	49	31	109	19	44	66	14	86	70	29	139	23	51	38	122	34	111	57	138	58	23	33	183	37	30	134	23	94	66	85	57	75	35	30	58	247	2	29	0
OTU_68	12	9	1	14	12	1	16	4	15	7	18	10	49	1	22	40	11	6	2	33	58	7	40	6	3	75	69	8	16	9	6	14	1	7	10	9	5	31	6	11	11	10	5	1	3	1	9	13	29	21	41	13	105	23	3	4	2	3	10	18	13	27	57	79	11	11	6	107	12	13	5	6	10	6	13	53	10	4	1	6	3	113	12	6	5	4	8	2	45	2	6	20	8	2	4	24	23	5	102	9	45	1	7	2	19	8	3	109	4	4	12	5	14	93	8	3	8	8	5	21	1	4	17	7	6	1	3	6	10	4	17	2	13	4	2	7	16	8	0	8	3	12	7	35	11	12	5	2	10	11	0	8	1
OTU_267	27	18	0	1	1	75	0	0	27	66	28	17	5	0	36	4	0	0	0	54	37	16	0	73	35	0	51	15	0	141	0	36	12	77	38	25	35	1	32	11	0	1	41	24	33	32	0	0	2	12	6	0	0	3	21	22	54	96	82	0	20	3	91	1	33	0	22	0	1	1	0	35	13	12	0	43	9	30	18	19	2	0	0	31	40	13	64	8	3	20	13	3	25	20	52	0	0	38	0	15	94	0	1	8	0	18	0	0	76	9	3	12	102	0	0	12	23	0	29	0	39	23	0	0	3	41	0	0	0	22	0	22	0	41	11	0	1	22	11	40	28	0	0	0	1	37	19	29	0	0	0	52	0
OTU_123D2	16	30	25	8	21	13	16	4	47	33	20	30	45	23	23	38	9	16	9	3	2	14	23	10	23	24	2	25	19	25	10	15	12	31	15	20	24	9	12	12	16	38	6	10	6	4	11	7	33	14	28	3	0	10	6	36	12	29	14	36	33	60	1	0	17	13	14	18	2	22	18	11	18	19	31	1	33	20	25	9	11	8	17	27	29	7	7	18	27	3	3	38	17	20	13	18	8	27	24	9	3	25	14	9	15	14	17	11	3	16	18	19	32	0	13	8	34	3	13	10	9	15	14	16	26	9	7	6	11	12	8	10	24	38	20	12	11	12	7	29	6	8	14	22	15	17	34	11	15	20	1	14	0
OTU_186	289	143	1	3	3	152	2	4	354	456	274	146	441	2	215	509	300	11	0	47	79	141	5	309	232	32	81	242	6	450	2	221	135	283	313	350	266	2	265	49	1	316	137	159	148	235	1	4	606	302	418	0	1	284	308	273	386	314	154	4	264	604	68	1	263	320	349	1	1	337	3	109	164	255	2	45	264	313	196	175	82	4	0	191	110	145	301	126	607	137	143	281	127	136	205	6	3	357	6	305	68	1	5	197	6	73	2	2	399	123	387	219	214	1	0	159	205	1	188	0	316	165	1	0	320	449	4	1	2	257	3	429	11	300	104	294	5	152	80	240	451	1	1	5	112	246	251	204	4	1	0	235	0
OTU_241	99	69	0	0	0	44	0	0	123	129	110	74	305	0	76	205	139	0	0	2	6	72	0	95	61	72	9	93	0	73	0	64	45	162	81	69	157	0	83	54	0	159	47	102	43	21	0	0	278	70	136	0	0	118	109	140	20	68	125	0	143	339	0	0	88	123	116	0	0	129	1	51	94	65	0	3	110	139	127	51	40	0	0	174	52	47	45	88	218	47	155	183	72	37	63	0	0	145	0	102	10	0	0	50	0	75	0	1	6	67	167	47	58	0	0	111	92	0	132	0	56	102	0	0	147	12	0	0	0	144	0	48	0	104	72	99	0	74	45	114	18	0	0	0	68	106	98	77	0	0	1	38	0
OTU_773	2	13	28	21	57	0	42	14	1	9	6	6	1	27	0	2	0	117	11	14	4	13	57	3	2	4	5	6	45	1	14	1	5	7	1	3	5	30	0	47	13	0	5	4	2	0	23	20	5	7	1	18	11	0	13	1	2	2	4	66	3	1	16	8	2	1	0	32	20	0	25	1	29	5	43	7	6	0	7	11	45	20	25	33	5	0	2	8	1	1	19	0	2	4	0	29	20	6	33	14	15	22	37	0	54	22	20	28	0	1	0	0	2	6	36	4	0	8	0	41	0	2	26	47	4	0	31	23	33	8	35	17	149	2	1	0	30	1	1	1	1	28	23	34	0	0	2	0	39	19	0	2	0
OTU_569	51	2	0	5	1	57	1	1	3	4	6	12	32	1	9	14	29	4	57	15	151	4	5	16	40	6	182	6	2	7	2	1	13	5	26	0	2	2	24	8	1	52	14	1	13	21	13	38	18	3	10	4	19	49	13	14	4	10	0	19	9	26	19	15	41	99	39	12	0	24	0	7	8	2	156	149	6	25	3	21	4	4	0	9	1	17	28	3	52	28	2	13	6	3	7	4	1	13	1	16	11	193	10	41	12	13	2	2	2	23	64	4	10	10	1	1	9	4	1	2	9	32	3	0	44	7	1	1	5	2	0	0	5	4	6	82	5	10	13	4	10	1	0	13	13	9	7	4	13	0	0	0	0
OTU_9	41	3	1	25	2	13	2	4	26	9	10	3	189	3	8	24	60	0	35	63	122	1	5	20	30	2	120	13	6	4	7	6	3	9	16	6	12	15	26	1	1	74	5	4	16	30	72	16	83	2	12	15	78	41	6	52	8	7	2	23	10	147	72	86	34	97	45	36	0	7	14	3	2	9	82	121	23	12	7	11	3	6	1	9	0	12	22	6	272	18	3	1	2	1	8	1	1	32	2	17	53	39	5	42	55	4	0	7	4	9	105	16	19	90	12	2	15	36	5	4	5	40	4	1	103	5	16	1	1	7	5	1	5	19	5	73	0	17	13	13	10	0	2	122	11	11	13	6	45	0	0	3	0
