	observed_species
FIT1_bacteria_bio2_cyp79b2b3_B_tech3	65
FIT1_bacteria_bio3_WT_B_tech1	61
FIT1_bacteria_bio1_WT_BF_tech1	35
FIT1_bacteria_bio1_cyp79b2b3_BO_tech5	49
FIT1_bacteria_bio3_cyp79b2b3_B_tech1	66
FIT1_bacteria_bio1_cyp79b2b3_BO_tech2	43
FIT1_bacteria_bio3_cyp79b2b3_BF_tech4	66
FIT1_bacteria_bio3_cyp79b2b3_BF_tech3	63
FIT1_bacteria_bio3_WT_B_tech4	66
FIT1_bacteria_bio2_WT_BFO_tech1	65
FIT1_bacteria_bio3_soil_BFO_tech1	63
FIT1_bacteria_bio1_cyp79b2b3_BFO_tech2	44
FIT1_bacteria_bio3_WT_B_tech5	57
FIT1_bacteria_bio3_soil_B_tech2	54
FIT1_bacteria_bio2_soil_BF_tech2	59
FIT1_bacteria_bio1_soil_BO_tech1	48
FIT1_bacteria_bio3_initial_initial_tech3	83
FIT1_bacteria_bio2_initial_initial_tech1	80
FIT1_bacteria_bio3_cyp79b2b3_B_tech5	47
FIT1_bacteria_bio1_WT_BF_tech3	44
FIT1_bacteria_bio2_cyp79b2b3_BF_tech3	61
FIT1_bacteria_bio2_WT_B_tech1	68
FIT1_bacteria_bio3_soil_BO_tech2	56
FIT1_bacteria_bio2_initial_initial_tech3	73
FIT1_bacteria_bio3_WT_BO_tech2	64
FIT1_bacteria_bio1_cyp79b2b3_BO_tech3	43
FIT1_bacteria_bio3_cyp79b2b3_BF_tech2	59
FIT1_bacteria_bio3_WT_B_tech3	62
FIT1_bacteria_bio3_WT_BF_tech1	61
FIT1_bacteria_bio2_cyp79b2b3_BF_tech2	57
FIT1_bacteria_bio3_cyp79b2b3_BO_tech5	60
FIT1_bacteria_bio3_cyp79b2b3_BFO_tech5	61
FIT1_bacteria_bio1_WT_BF_tech2	45
FIT1_bacteria_bio2_cyp79b2b3_BFO_tech5	59
FIT1_bacteria_bio2_WT_BFO_tech3	63
FIT1_bacteria_bio1_soil_BFO_tech2	40
FIT1_bacteria_bio2_soil_BFO_tech1	60
FIT1_bacteria_bio3_WT_BO_tech3	54
FIT1_bacteria_bio2_WT_BO_tech3	54
FIT1_bacteria_bio1_WT_B_tech5	51
FIT1_bacteria_bio1_WT_BFO_tech1	34
FIT1_bacteria_bio3_soil_BF_tech2	60
FIT1_bacteria_bio3_cyp79b2b3_BO_tech2	67
FIT1_bacteria_bio3_soil_B_tech1	54
FIT1_bacteria_bio1_initial_initial_tech3	60
FIT1_bacteria_bio2_cyp79b2b3_BFO_tech3	63
FIT1_bacteria_bio2_cyp79b2b3_BO_tech2	55
FIT1_bacteria_bio3_cyp79b2b3_BFO_tech3	67
FIT1_bacteria_bio3_WT_B_tech2	60
FIT1_bacteria_bio3_cyp79b2b3_BF_tech1	65
FIT1_bacteria_bio3_cyp79b2b3_BO_tech1	49
FIT1_bacteria_bio1_cyp79b2b3_BFO_tech5	44
FIT1_bacteria_bio3_WT_BF_tech2	63
FIT1_bacteria_bio3_soil_BF_tech1	61
FIT1_bacteria_bio3_initial_initial_tech1	80
FIT1_bacteria_bio1_initial_initial_tech1	64
FIT1_bacteria_bio2_cyp79b2b3_B_tech5	61
FIT1_bacteria_bio2_soil_B_tech2	70
FIT1_bacteria_bio2_cyp79b2b3_B_tech4	66
FIT1_bacteria_bio1_WT_B_tech1	45
FIT1_bacteria_bio2_soil_BO_tech1	59
FIT1_bacteria_bio1_WT_BF_tech5	44
FIT1_bacteria_bio3_cyp79b2b3_B_tech4	68
FIT1_bacteria_bio2_WT_BFO_tech2	64
FIT1_bacteria_bio3_cyp79b2b3_BO_tech3	62
FIT1_bacteria_bio1_soil_B_tech1	48
FIT1_bacteria_bio2_initial_initial_tech2	76
FIT1_bacteria_bio3_cyp79b2b3_BFO_tech2	66
FIT1_bacteria_bio2_cyp79b2b3_BF_tech1	61
FIT1_bacteria_bio3_WT_BO_tech4	58
FIT1_bacteria_bio1_WT_BFO_tech4	45
FIT1_bacteria_bio1_cyp79b2b3_BF_tech3	38
FIT1_bacteria_bio3_WT_BO_tech1	61
FIT1_bacteria_bio2_cyp79b2b3_BFO_tech4	52
FIT1_bacteria_bio2_cyp79b2b3_B_tech2	56
FIT1_bacteria_bio3_WT_BFO_tech1	59
FIT1_bacteria_bio3_soil_BFO_tech2	56
FIT1_bacteria_bio2_WT_BFO_tech4	58
FIT1_bacteria_bio2_soil_BO_tech2	62
FIT1_bacteria_bio3_WT_BFO_tech3	60
FIT1_bacteria_bio1_WT_B_tech3	49
FIT1_bacteria_bio1_WT_BO_tech3	51
FIT1_bacteria_bio3_cyp79b2b3_BFO_tech1	66
FIT1_bacteria_bio1_WT_BFO_tech3	44
FIT1_bacteria_bio2_WT_BFO_tech5	66
FIT1_bacteria_bio3_initial_initial_tech2	88
FIT1_bacteria_bio1_soil_B_tech2	40
FIT1_bacteria_bio1_WT_BFO_tech2	39
FIT1_bacteria_bio1_cyp79b2b3_B_tech2	50
FIT1_bacteria_bio1_cyp79b2b3_BF_tech5	44
FIT1_bacteria_bio1_WT_BFO_tech5	44
FIT1_bacteria_bio2_cyp79b2b3_BO_tech3	52
FIT1_bacteria_bio2_WT_B_tech4	67
FIT1_bacteria_bio2_soil_BF_tech1	60
FIT1_bacteria_bio3_cyp79b2b3_B_tech2	58
FIT1_bacteria_bio3_cyp79b2b3_B_tech3	66
FIT1_bacteria_bio1_initial_initial_tech2	65
FIT1_bacteria_bio1_cyp79b2b3_BO_tech1	48
FIT1_bacteria_bio3_WT_BFO_tech5	63
FIT1_bacteria_bio3_WT_BF_tech4	59
FIT1_bacteria_bio3_WT_BFO_tech2	58
FIT1_bacteria_bio2_cyp79b2b3_BO_tech5	52
FIT1_bacteria_bio2_cyp79b2b3_B_tech1	70
FIT1_bacteria_bio2_soil_BFO_tech2	60
FIT1_bacteria_bio2_cyp79b2b3_BO_tech1	57
FIT1_bacteria_bio1_soil_BF_tech2	32
FIT1_bacteria_bio3_WT_BFO_tech4	62
FIT1_bacteria_bio1_WT_BO_tech2	51
FIT1_bacteria_bio3_WT_BF_tech5	50
FIT1_bacteria_bio1_soil_BO_tech2	44
FIT1_bacteria_bio3_cyp79b2b3_BFO_tech4	59
FIT1_bacteria_bio2_soil_B_tech1	59
FIT1_bacteria_bio1_soil_BF_tech1	44
FIT1_bacteria_bio3_WT_BO_tech5	65
FIT1_bacteria_bio2_cyp79b2b3_BO_tech4	56
FIT1_bacteria_bio1_cyp79b2b3_B_tech1	49
