	shannon
FIT1_bacteria_bio2_cyp79b2b3_B_tech3	4.5914664556903935
FIT1_bacteria_bio3_WT_B_tech1	4.629976101239545
FIT1_bacteria_bio1_WT_BF_tech1	2.6605895015995453
FIT1_bacteria_bio1_cyp79b2b3_BO_tech5	3.9848091285586222
FIT1_bacteria_bio3_cyp79b2b3_B_tech1	4.758662931871666
FIT1_bacteria_bio1_cyp79b2b3_BO_tech2	3.382107707471715
FIT1_bacteria_bio3_cyp79b2b3_BF_tech4	4.55144052660948
FIT1_bacteria_bio3_cyp79b2b3_BF_tech3	4.153585999710599
FIT1_bacteria_bio3_WT_B_tech4	4.811078423739949
FIT1_bacteria_bio2_WT_BFO_tech1	4.710160316040657
FIT1_bacteria_bio3_soil_BFO_tech1	4.7137464203803
FIT1_bacteria_bio1_cyp79b2b3_BFO_tech2	2.933220614354854
FIT1_bacteria_bio3_WT_B_tech5	4.579995656349507
FIT1_bacteria_bio3_soil_B_tech2	4.278091100701498
FIT1_bacteria_bio2_soil_BF_tech2	4.567441078456307
FIT1_bacteria_bio1_soil_BO_tech1	3.6360439276267194
FIT1_bacteria_bio3_initial_initial_tech3	5.604742671450591
FIT1_bacteria_bio2_initial_initial_tech1	5.404056488513871
FIT1_bacteria_bio3_cyp79b2b3_B_tech5	3.8495492221535224
FIT1_bacteria_bio1_WT_BF_tech3	3.7771749985897016
FIT1_bacteria_bio2_cyp79b2b3_BF_tech3	4.482701448448897
FIT1_bacteria_bio2_WT_B_tech1	4.690600226146242
FIT1_bacteria_bio3_soil_BO_tech2	4.549093039153976
FIT1_bacteria_bio2_initial_initial_tech3	5.231374655852634
FIT1_bacteria_bio3_WT_BO_tech2	4.675919813817103
FIT1_bacteria_bio1_cyp79b2b3_BO_tech3	3.238846428722106
FIT1_bacteria_bio3_cyp79b2b3_BF_tech2	4.378785579777324
FIT1_bacteria_bio3_WT_B_tech3	4.743689843135012
FIT1_bacteria_bio3_WT_BF_tech1	4.486502404238325
FIT1_bacteria_bio2_cyp79b2b3_BF_tech2	4.353656195508915
FIT1_bacteria_bio3_cyp79b2b3_BO_tech5	4.376642159444855
FIT1_bacteria_bio3_cyp79b2b3_BFO_tech5	4.471731433290182
FIT1_bacteria_bio1_WT_BF_tech2	3.580543408218028
FIT1_bacteria_bio2_cyp79b2b3_BFO_tech5	4.532499559259462
FIT1_bacteria_bio2_WT_BFO_tech3	4.119722093741167
FIT1_bacteria_bio1_soil_BFO_tech2	3.4163885538921575
FIT1_bacteria_bio2_soil_BFO_tech1	4.444296417608173
FIT1_bacteria_bio3_WT_BO_tech3	4.284019028917704
FIT1_bacteria_bio2_WT_BO_tech3	3.700626342392517
FIT1_bacteria_bio1_WT_B_tech5	3.8047137702582208
FIT1_bacteria_bio1_WT_BFO_tech1	3.511757951603937
FIT1_bacteria_bio3_soil_BF_tech2	4.520785209679474
FIT1_bacteria_bio3_cyp79b2b3_BO_tech2	4.766674502767581
FIT1_bacteria_bio3_soil_B_tech1	4.120756249253512
FIT1_bacteria_bio1_initial_initial_tech3	4.850516601228876
FIT1_bacteria_bio2_cyp79b2b3_BFO_tech3	4.490681991437405
FIT1_bacteria_bio2_cyp79b2b3_BO_tech2	4.1318051465882055
FIT1_bacteria_bio3_cyp79b2b3_BFO_tech3	4.751306314580676
FIT1_bacteria_bio3_WT_B_tech2	3.9792589128543328
FIT1_bacteria_bio3_cyp79b2b3_BF_tech1	4.504494571065316
FIT1_bacteria_bio3_cyp79b2b3_BO_tech1	4.19438750195632
FIT1_bacteria_bio1_cyp79b2b3_BFO_tech5	3.3873137621542644
FIT1_bacteria_bio3_WT_BF_tech2	4.596188874392529
FIT1_bacteria_bio3_soil_BF_tech1	4.615612924894986
FIT1_bacteria_bio3_initial_initial_tech1	5.398233139638771
FIT1_bacteria_bio1_initial_initial_tech1	4.992311445745986
FIT1_bacteria_bio2_cyp79b2b3_B_tech5	4.544734710632484
FIT1_bacteria_bio2_soil_B_tech2	4.571580548130518
FIT1_bacteria_bio2_cyp79b2b3_B_tech4	4.67515391532932
FIT1_bacteria_bio1_WT_B_tech1	4.075690040457453
FIT1_bacteria_bio2_soil_BO_tech1	4.40576223556869
FIT1_bacteria_bio1_WT_BF_tech5	3.344905683372511
FIT1_bacteria_bio3_cyp79b2b3_B_tech4	5.058197821118188
FIT1_bacteria_bio2_WT_BFO_tech2	4.310979416953403
FIT1_bacteria_bio3_cyp79b2b3_BO_tech3	4.419566066318663
FIT1_bacteria_bio1_soil_B_tech1	3.8219520946779557
FIT1_bacteria_bio2_initial_initial_tech2	5.247969144305963
