	chao1
FIT1_fungi_bio3_cyp79b2b3_BFO_tech4	4.0
FIT1_fungi_bio2_cyp79b2b3_BFO_tech4	4.0
FIT1_fungi_bio3_WT_BF_tech4	5.0
FIT1_fungi_bio2_cyp79b2b3_F_tech5	8.0
FIT1_fungi_bio2_WT_FO_tech2	10.0
FIT1_fungi_bio3_WT_BF_tech2	9.0
FIT1_fungi_bio2_cyp79b2b3_BFO_tech5	5.0
FIT1_fungi_bio1_WT_F_tech3	10.0
FIT1_fungi_bio1_soil_BFO_tech1	3.0
FIT1_fungi_bio2_cyp79b2b3_F_tech3	6.0
FIT1_fungi_bio1_cyp79b2b3_BFO_tech4	7.0
FIT1_fungi_bio3_WT_F_tech3	6.0
FIT1_fungi_bio2_WT_FO_tech3	8.0
FIT1_fungi_bio1_cyp79b2b3_F_tech5	5.0
FIT1_fungi_bio1_cyp79b2b3_FO_tech3	4.0
FIT1_fungi_bio2_cyp79b2b3_BF_tech3	7.0
FIT1_fungi_bio3_cyp79b2b3_BFO_tech2	6.0
FIT1_fungi_bio3_soil_BFO_tech1	6.0
FIT1_fungi_bio3_WT_F_tech1	6.0
FIT1_fungi_bio3_WT_BFO_tech4	10.0
FIT1_fungi_bio2_soil_F_tech1	9.333333333333334
FIT1_fungi_bio2_cyp79b2b3_FO_tech2	8.0
FIT1_fungi_bio2_cyp79b2b3_FO_tech4	6.0
FIT1_fungi_bio2_cyp79b2b3_F_tech2	6.0
FIT1_fungi_bio1_soil_FO_tech1	3.0
FIT1_fungi_bio1_cyp79b2b3_BF_tech4	5.0
FIT1_fungi_bio1_soil_FO_tech2	5.0
FIT1_fungi_bio1_WT_FO_tech5	5.0
FIT1_fungi_bio3_cyp79b2b3_BFO_tech5	7.0
FIT1_fungi_bio3_WT_F_tech4	7.0
FIT1_fungi_bio3_cyp79b2b3_F_tech5	6.0
FIT1_fungi_bio1_cyp79b2b3_F_tech1	4.0
FIT1_fungi_bio2_cyp79b2b3_BF_tech4	5.0
FIT1_fungi_bio1_cyp79b2b3_BFO_tech5	6.0
FIT1_fungi_bio2_WT_BFO_tech4	9.0
FIT1_fungi_bio2_cyp79b2b3_BFO_tech1	6.0
FIT1_fungi_bio3_WT_BFO_tech2	8.0
FIT1_fungi_bio1_cyp79b2b3_FO_tech2	6.0
FIT1_fungi_bio2_soil_BFO_tech2	10.0
FIT1_fungi_bio1_WT_BFO_tech3	3.0
FIT1_fungi_bio3_cyp79b2b3_BF_tech2	5.0
FIT1_fungi_bio3_initial_initial_tech3	13.0
FIT1_fungi_bio2_soil_FO_tech1	7.0
FIT1_fungi_bio2_cyp79b2b3_F_tech4	7.0
FIT1_fungi_bio3_WT_BFO_tech1	10.0
FIT1_fungi_bio3_cyp79b2b3_BFO_tech1	7.0
FIT1_fungi_bio1_cyp79b2b3_BF_tech5	9.0
FIT1_fungi_bio1_cyp79b2b3_FO_tech1	10.0
FIT1_fungi_bio1_WT_FO_tech1	5.0
FIT1_fungi_bio2_cyp79b2b3_F_tech1	8.0
FIT1_fungi_bio1_WT_F_tech1	6.0
FIT1_fungi_bio1_soil_F_tech2	4.0
FIT1_fungi_bio2_cyp79b2b3_BFO_tech2	19.0
FIT1_fungi_bio2_cyp79b2b3_FO_tech3	5.0
FIT1_fungi_bio1_soil_BFO_tech2	4.0
FIT1_fungi_bio1_cyp79b2b3_BFO_tech3	6.0
FIT1_fungi_bio1_initial_initial_tech1	11.0
FIT1_fungi_bio3_cyp79b2b3_FO_tech5	6.0
FIT1_fungi_bio3_cyp79b2b3_FO_tech1	7.0
FIT1_fungi_bio2_cyp79b2b3_FO_tech5	5.0
FIT1_fungi_bio2_cyp79b2b3_BFO_tech3	13.0
FIT1_fungi_bio2_cyp79b2b3_FO_tech1	7.0
FIT1_fungi_bio3_WT_FO_tech4	8.0
FIT1_fungi_bio3_WT_BFO_tech3	6.0
FIT1_fungi_bio2_WT_BF_tech1	7.0
FIT1_fungi_bio2_WT_F_tech2	9.0
FIT1_fungi_bio3_WT_BF_tech5	10.0
FIT1_fungi_bio1_WT_BF_tech4	5.0
FIT1_fungi_bio1_cyp79b2b3_BF_tech1	3.0
FIT1_fungi_bio3_cyp79b2b3_BFO_tech3	7.5
FIT1_fungi_bio3_soil_F_tech1	12.0
FIT1_fungi_bio1_WT_F_tech4	6.0
FIT1_fungi_bio3_cyp79b2b3_BF_tech3	6.0
FIT1_fungi_bio2_WT_BFO_tech3	7.0
