FIT1_fungi_bio3_cyp79b2b3_BFO_tech4	FIT1_fungi_bio2_cyp79b2b3_BFO_tech4	FIT1_fungi_bio3_WT_BF_tech4	FIT1_fungi_bio2_cyp79b2b3_F_tech5	FIT1_fungi_bio2_WT_FO_tech2	FIT1_fungi_bio3_WT_BF_tech2	FIT1_fungi_bio2_cyp79b2b3_BFO_tech5	FIT1_fungi_bio1_WT_F_tech3	FIT1_fungi_bio1_soil_BFO_tech1	FIT1_fungi_bio2_cyp79b2b3_F_tech3	FIT1_fungi_bio1_cyp79b2b3_BFO_tech4	FIT1_fungi_bio3_WT_F_tech3	FIT1_fungi_bio2_WT_FO_tech3	FIT1_fungi_bio1_cyp79b2b3_F_tech5	FIT1_fungi_bio1_cyp79b2b3_FO_tech3	FIT1_fungi_bio2_cyp79b2b3_BF_tech3	FIT1_fungi_bio3_cyp79b2b3_BFO_tech2	FIT1_fungi_bio3_soil_BFO_tech1	FIT1_fungi_bio3_WT_F_tech1	FIT1_fungi_bio3_WT_BFO_tech4	FIT1_fungi_bio2_soil_F_tech1	FIT1_fungi_bio2_cyp79b2b3_FO_tech2	FIT1_fungi_bio2_cyp79b2b3_FO_tech4	FIT1_fungi_bio2_cyp79b2b3_F_tech2	FIT1_fungi_bio1_soil_FO_tech1	FIT1_fungi_bio1_cyp79b2b3_BF_tech4	FIT1_fungi_bio1_soil_FO_tech2	FIT1_fungi_bio1_WT_FO_tech5	FIT1_fungi_bio3_cyp79b2b3_BFO_tech5	FIT1_fungi_bio3_WT_F_tech4	FIT1_fungi_bio3_cyp79b2b3_F_tech5	FIT1_fungi_bio1_cyp79b2b3_F_tech1	FIT1_fungi_bio2_cyp79b2b3_BF_tech4	FIT1_fungi_bio1_cyp79b2b3_BFO_tech5	FIT1_fungi_bio2_WT_BFO_tech4	FIT1_fungi_bio2_cyp79b2b3_BFO_tech1	FIT1_fungi_bio3_WT_BFO_tech2	FIT1_fungi_bio1_cyp79b2b3_FO_tech2	FIT1_fungi_bio2_soil_BFO_tech2	FIT1_fungi_bio1_WT_BFO_tech3	FIT1_fungi_bio3_cyp79b2b3_BF_tech2	FIT1_fungi_bio3_initial_initial_tech3	FIT1_fungi_bio2_soil_FO_tech1	FIT1_fungi_bio2_cyp79b2b3_F_tech4	FIT1_fungi_bio3_WT_BFO_tech1	FIT1_fungi_bio3_cyp79b2b3_BFO_tech1	FIT1_fungi_bio1_cyp79b2b3_BF_tech5	FIT1_fungi_bio1_cyp79b2b3_FO_tech1	FIT1_fungi_bio1_WT_FO_tech1	FIT1_fungi_bio2_cyp79b2b3_F_tech1	FIT1_fungi_bio1_WT_F_tech1	FIT1_fungi_bio1_soil_F_tech2	FIT1_fungi_bio2_cyp79b2b3_BFO_tech2	FIT1_fungi_bio2_cyp79b2b3_FO_tech3	FIT1_fungi_bio1_soil_BFO_tech2	FIT1_fungi_bio1_cyp79b2b3_BFO_tech3	FIT1_fungi_bio1_initial_initial_tech1	FIT1_fungi_bio3_cyp79b2b3_FO_tech5	FIT1_fungi_bio3_cyp79b2b3_FO_tech1	FIT1_fungi_bio2_cyp79b2b3_FO_tech5	FIT1_fungi_bio2_cyp79b2b3_BFO_tech3	FIT1_fungi_bio2_cyp79b2b3_FO_tech1	FIT1_fungi_bio3_WT_FO_tech4	FIT1_fungi_bio3_WT_BFO_tech3	FIT1_fungi_bio2_WT_BF_tech1	FIT1_fungi_bio2_WT_F_tech2	FIT1_fungi_bio3_WT_BF_tech5	FIT1_fungi_bio1_WT_BF_tech4	FIT1_fungi_bio1_cyp79b2b3_BF_tech1	FIT1_fungi_bio3_cyp79b2b3_BFO_tech3	FIT1_fungi_bio3_soil_F_tech1	FIT1_fungi_bio1_WT_F_tech4	FIT1_fungi_bio3_cyp79b2b3_BF_tech3	FIT1_fungi_bio2_WT_BFO_tech3	FIT1_fungi_bio3_cyp79b2b3_FO_tech3	FIT1_fungi_bio1_cyp79b2b3_F_tech3	FIT1_fungi_bio2_soil_BF_tech2	FIT1_fungi_bio1_WT_FO_tech2	FIT1_fungi_bio2_soil_F_tech2	FIT1_fungi_bio3_WT_BF_tech1	FIT1_fungi_bio3_soil_BF_tech2	FIT1_fungi_bio2_soil_BF_tech1	FIT1_fungi_bio3_WT_FO_tech5	FIT1_fungi_bio2_cyp79b2b3_BF_tech2	FIT1_fungi_bio2_soil_BFO_tech1	FIT1_fungi_bio3_soil_F_tech2	FIT1_fungi_bio2_WT_BF_tech4	FIT1_fungi_bio1_cyp79b2b3_BF_tech2	FIT1_fungi_bio2_WT_FO_tech4	FIT1_fungi_bio1_WT_BFO_tech5	FIT1_fungi_bio3_WT_FO_tech1	FIT1_fungi_bio2_WT_FO_tech5	FIT1_fungi_bio1_cyp79b2b3_F_tech4	FIT1_fungi_bio3_cyp79b2b3_BF_tech4	FIT1_fungi_bio3_WT_BFO_tech5	FIT1_fungi_bio2_WT_BFO_tech1	FIT1_fungi_bio1_WT_BFO_tech2	FIT1_fungi_bio2_WT_F_tech4	FIT1_fungi_bio1_WT_BF_tech5	FIT1_fungi_bio3_WT_FO_tech2	FIT1_fungi_bio1_WT_FO_tech4	FIT1_fungi_bio3_cyp79b2b3_BF_tech1	FIT1_fungi_bio2_WT_BF_tech3	FIT1_fungi_bio1_cyp79b2b3_BFO_tech2	FIT1_fungi_bio2_WT_FO_tech1	FIT1_fungi_bio2_WT_BF_tech5	FIT1_fungi_bio2_cyp79b2b3_BF_tech5	FIT1_fungi_bio2_soil_FO_tech2	FIT1_fungi_bio1_WT_FO_tech3	FIT1_fungi_bio3_cyp79b2b3_BF_tech5	FIT1_fungi_bio1_WT_BF_tech1	FIT1_fungi_bio1_soil_F_tech1	FIT1_fungi_bio3_soil_FO_tech2	FIT1_fungi_bio1_cyp79b2b3_FO_tech5	FIT1_fungi_bio2_WT_BFO_tech5	FIT1_fungi_bio3_cyp79b2b3_F_tech4	FIT1_fungi_bio3_soil_BF_tech1	FIT1_fungi_bio3_soil_BFO_tech2	FIT1_fungi_bio3_WT_FO_tech3	FIT1_fungi_bio3_WT_F_tech5	FIT1_fungi_bio1_WT_BF_tech2	FIT1_fungi_bio1_WT_BF_tech3	FIT1_fungi_bio2_WT_BFO_tech2	FIT1_fungi_bio3_cyp79b2b3_F_tech3	FIT1_fungi_bio2_initial_initial_tech3	FIT1_fungi_bio3_initial_initial_tech1	FIT1_fungi_bio1_initial_initial_tech3	FIT1_fungi_bio2_WT_F_tech3	FIT1_fungi_bio3_soil_FO_tech1	FIT1_fungi_bio2_WT_BF_tech2	FIT1_fungi_bio1_WT_F_tech2	FIT1_fungi_bio3_cyp79b2b3_F_tech1	FIT1_fungi_bio3_WT_BF_tech3	FIT1_fungi_bio3_initial_initial_tech2	FIT1_fungi_bio1_cyp79b2b3_F_tech2	FIT1_fungi_bio2_WT_F_tech1	FIT1_fungi_bio2_WT_F_tech5	FIT1_fungi_bio1_soil_BF_tech2	FIT1_fungi_bio2_initial_initial_tech2	FIT1_fungi_bio1_WT_BFO_tech4	FIT1_fungi_bio2_initial_initial_tech1	FIT1_fungi_bio2_cyp79b2b3_BF_tech1	FIT1_fungi_bio3_cyp79b2b3_FO_tech4	FIT1_fungi_bio1_cyp79b2b3_FO_tech4	FIT1_fungi_bio1_soil_BF_tech1	FIT1_fungi_bio3_cyp79b2b3_F_tech2	FIT1_fungi_bio3_WT_F_tech2	FIT1_fungi_bio1_cyp79b2b3_BF_tech3	FIT1_fungi_bio1_WT_F_tech5	FIT1_fungi_bio3_cyp79b2b3_FO_tech2	FIT1_fungi_bio1_cyp79b2b3_BFO_tech1	FIT1_fungi_bio1_WT_BFO_tech1	FIT1_fungi_bio1_initial_initial_tech2
010_mine	6221	15022	8363	6023	4777	6294	2672	93271	1688	5131	2421	8047	6878	4308	4728	3610	9126	2505	6962	4272	6628	4315	2868	3612	4368	6051	43150	6059	1372	6611	5117	3821	1360	4805	2310	3781	5299	10838	4288	3581	5658	1874	6098	3924	6155	8748	3757	4651	5907	5593	4754	4724	4535	3889	1367	2440	2619	4628	5223	4533	4500	4138	5665	7894	5706	4800	3516	4530	8570	6241	3946	4832	2418	620	3762	3817	4240	5498	5817	5575	3234	3194	5054	3297	4321	4878	6377	5046	4983	1651	4008	7071	4876	4323	5905	5455	3880	4457	1972	4846	3590	5039	5480	5856	5223	4113	4255	4570	7006	2772	1217	4454	3973	6563	3401	6463	3559	3461	6397	6391	1767	1765	4291	4182	1446	1962	2107	5595	4453	4474	3013	3560	9189	5439	3653	5385	4233	1543	1245	1647	1169	2055	4541	5460	1703	5235	6960	582	2980	4880	650	591	1903
214_mine	1289	39349	1224	3285	2473	1694	3956	43258	6069	2408	4083	1796	950	3205	2594	1274	1229	2443	1489	3287	2781	2289	2063	2053	2377	617	27815	1011	4093	1175	1945	2916	4943	3516	2396	2112	2929	9651	3233	2965	1033	1548	2818	1978	1365	1917	928	2414	2131	2782	3051	2816	1230	2473	5069	1994	1572	1450	1820	2430	3525	2445	432	1611	1105	2164	3188	3666	349	824	1604	1197	3271	2544	1482	3364	4005	1440	2426	4090	1940	1937	1003	2129	4948	1843	614	321	514	1477	811	1078	2527	1544	1397	981	824	518	4167	649	2876	383	953	318	555	1076	1164	2117	1930	2891	1483	2495	1186	2421	3378	2030	3126	2966	886	1348	3400	5972	1827	1504	1253	1317	1161	615	1140	1177	3032	1769	1811	3624	2763	655	777	3968	1259	2983	1081	3229	1394	3207	3701	1628	1699	1473	1145	1843	2412	2138	1130
216	1	1	1	57	26	4	0	134	0	30	4	31	63	11	11	6	0	3	20	3	37	33	20	19	3	0	102	3	2	59	29	2	0	5	40	2	0	87	5	4	0	137	34	24	10	3	5	21	22	30	3	11	11	21	7	32	134	16	20	50	4	41	39	10	5	25	2	8	0	3	15	13	0	0	5	13	4	2	29	20	1	1	33	0	10	17	1	0	44	0	21	48	14	0	0	1	7	96	11	37	46	1	1	0	65	5	2	25	8	0	14	9	28	4	3	41	1	6	35	41	0	0	10	34	105	124	101	45	53	1	27	21	6	257	5	41	49	7	81	6	83	0	20	12	3	24	18	1	30	21	4	1	89
031_mine	390	13479	314	199	214	574	1265	10654	1143	166	603	141	100	208	279	421	374	565	148	651	192	226	201	138	419	100	2450	38	1245	128	147	104	1818	413	673	845	1109	1592	655	356	356	379	317	135	437	632	231	177	122	204	194	537	349	173	1147	226	354	184	162	207	799	255	35	425	341	176	431	709	17	220	236	58	1115	798	137	629	993	79	170	1547	405	371	79	791	882	285	197	68	62	132	90	98	99	564	241	223	192	33	879	63	147	137	339	40	58	221	367	231	132	1022	308	409	87	137	937	208	695	676	122	152	350	592	269	168	272	299	240	37	125	461	220	255	420	968	201	49	77	838	234	359	169	1078	162	96	723	163	154	392	40	171	680	583	263
104	185	1	83	1235	1	58	0	23	0	1791	0	423	158	0	0	2	28	1	1381	1	5	1038	454	1433	0	1	1	1341	2	414	1	0	18	0	173	0	3	1	620	0	3	153	597	111	5	0	0	1	2	116	0	0	1	642	1	1	110	1130	881	12	0	1040	32	1	253	607	0	0	0	7	104	1	8	88	1862	1	161	1	8	0	16	13	144	0	487	11	719	0	502	1	1056	373	0	3	67	3	2	262	0	322	2	0	9	0	1178	206	0	1442	12	0	0	0	0	0	32	217	11	0	187	186	0	0	691	1	148	317	79	38	1	341	0	82	7	453	0	611	210	0	166	1	150	0	3	0	0	1	483	0	0	3	0	1	70
021	17	20	307	8	22	352	3	32	0	12	37	66	84	0	2	42	63	15	60	230	186	43	2	5	0	20	1	5	8	126	120	0	3	0	1231	4	214	1	0	0	24	229	28	27	1005	45	13	2	1	135	1	0	71	0	0	69	137	29	46	0	3	45	146	60	85	80	641	0	0	24	4	24	1	36	10	4	4	1	110	107	3	4	160	13	3	11	48	0	70	0	37	68	0	7	948	10	65	141	36	134	0	27	50	0	158	341	10	43	9	20	0	0	149	0	39	90	10	12	132	137	1	0	4	60	186	200	87	141	190	22	0	44	66	802	0	184	149	2	168	0	158	2	26	0	1	95	6	103	1	23	0	1	88
113	0	3	0	0	1	0	0	33	1	2	0	1	3	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	4	0	0	1	0	0	8	0	0	11	156	0	0	0	0	1	1	5	4	2	0	0	0	0	1	9	0	8	0	0	5	0	0	2	1	6	2	1	0	0	0	0	0	0	0	1	0	0	0	6	0	2	8	1	0	0	0	0	1	0	0	2	3	0	0	0	3	0	0	3	0	2	0	2	0	0	0	2	106	155	103	4	1	0	1	1	0	308	0	2	3	0	89	0	77	0	3	0	0	2	0	2	1	1	2	0	88
243	0	1	0	0	0	0	0	64	0	2	0	3	11	0	0	1	0	0	3	0	5	0	0	0	0	0	0	0	1	48	7	0	0	0	2	0	0	1	0	0	0	270	0	0	0	0	0	1	0	13	0	0	2	0	0	2	660	1	2	0	0	1	23	0	2	6	0	0	0	0	4	1	0	7	0	0	0	0	3	0	0	0	115	0	0	4	0	32	15	0	0	0	0	0	0	0	0	24	0	2	0	0	0	0	7	0	0	5	1	0	1	0	6	0	0	16	0	2	18	12	0	0	0	6	361	259	287	16	18	0	0	2	0	716	0	10	40	2	351	0	620	0	1	0	0	8	1	1	1	1	0	0	256
013	2	89	0	2	1	8	13	91	9	1	3	1	1	2	3	2	4	4	1	6	0	3	1	4	3	0	20	2	9	0	1	1	12	2	7	4	13	12	8	1	3	3	5	0	3	7	2	2	0	4	0	1	3	2	11	4	3	1	3	1	11	7	0	5	3	3	7	6	0	3	3	0	8	4	3	8	12	2	1	14	3	7	1	6	8	1	0	0	1	1	0	0	0	7	1	3	4	0	7	1	1	1	6	0	1	1	9	3	1	10	5	3	0	1	9	1	4	5	1	5	4	8	4	0	4	2	2	0	1	4	2	5	3	12	0	1	1	8	0	3	4	6	1	0	7	0	3	3	0	1	8	6	1
016	10	17	21	12	13	14	2	148	4	11	8	17	16	8	4	9	16	7	12	14	8	15	4	18	8	10	73	10	2	19	4	7	1	10	4	3	9	17	5	3	13	5	22	6	8	20	12	7	4	8	9	5	7	8	6	2	13	13	13	5	5	6	17	15	13	3	4	10	11	11	10	11	6	0	12	1	13	12	10	21	5	8	11	4	8	8	16	9	11	5	10	14	9	8	6	20	3	6	3	9	6	17	7	17	14	5	10	16	6	9	2	3	8	5	5	8	4	12	11	13	3	4	11	3	5	5	6	2	5	6	6	6	17	9	4	7	6	3	4	2	5	3	2	5	3	9	14	1	2	7	1	2	8
238_mine	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	3	0	0	0	1	0	0	100	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	2
