	shannon
FIT1_fungi_bio3_cyp79b2b3_BFO_tech4	1.0498766444201844
FIT1_fungi_bio2_cyp79b2b3_BFO_tech4	1.4033644159587406
FIT1_fungi_bio3_WT_BF_tech4	0.9360936140734262
FIT1_fungi_bio2_cyp79b2b3_F_tech5	1.5585775582422259
FIT1_fungi_bio2_WT_FO_tech2	1.1338422416332092
FIT1_fungi_bio3_WT_BF_tech2	1.3706406070090942
FIT1_fungi_bio2_cyp79b2b3_BFO_tech5	1.464444738113185
FIT1_fungi_bio1_WT_F_tech3	1.3007039662721496
FIT1_fungi_bio1_soil_BFO_tech1	1.232186557072191
FIT1_fungi_bio2_cyp79b2b3_F_tech3	1.5563966288300666
FIT1_fungi_bio1_cyp79b2b3_BFO_tech4	1.3560739382905609
FIT1_fungi_bio3_WT_F_tech3	1.084213840414535
FIT1_fungi_bio2_WT_FO_tech3	0.9784670803444919
FIT1_fungi_bio1_cyp79b2b3_F_tech5	1.1829179102672522
FIT1_fungi_bio1_cyp79b2b3_FO_tech3	1.108697548272065
FIT1_fungi_bio2_cyp79b2b3_BF_tech3	1.2542144983564159
FIT1_fungi_bio3_cyp79b2b3_BFO_tech2	0.7377186745622726
FIT1_fungi_bio3_soil_BFO_tech1	1.447916406567366
FIT1_fungi_bio3_WT_F_tech1	1.3625798025595026
FIT1_fungi_bio3_WT_BFO_tech4	1.5247273023387335
FIT1_fungi_bio2_soil_F_tech1	1.190849321937943
FIT1_fungi_bio2_cyp79b2b3_FO_tech2	1.6448025101638901
FIT1_fungi_bio2_cyp79b2b3_FO_tech4	1.5540682423281493
FIT1_fungi_bio2_cyp79b2b3_F_tech2	1.6253865439085935
FIT1_fungi_bio1_soil_FO_tech1	1.220616654078028
FIT1_fungi_bio1_cyp79b2b3_BF_tech4	0.594211269176069
FIT1_fungi_bio1_soil_FO_tech2	1.1296967816752332
FIT1_fungi_bio1_WT_FO_tech5	1.1566447267555602
FIT1_fungi_bio3_cyp79b2b3_BFO_tech5	1.412264835878491
FIT1_fungi_bio3_WT_F_tech4	1.2470213812149122
FIT1_fungi_bio3_cyp79b2b3_F_tech5	1.1574698107997172
FIT1_fungi_bio1_cyp79b2b3_F_tech1	1.1155616201920502
FIT1_fungi_bio2_cyp79b2b3_BF_tech4	1.3953879766341806
FIT1_fungi_bio1_cyp79b2b3_BFO_tech5	1.239624390497873
FIT1_fungi_bio2_WT_BFO_tech4	2.0491288573588053
FIT1_fungi_bio2_cyp79b2b3_BFO_tech1	1.354407613155836
