qPCR_name	experiment	biological	microbes	genotype	technical	compartment	qPCR_plate	oITS_UBQ	X16S_UBQ_ref
A5-1-3	A5	bio1	BFO	WT	tech3	root	plate1	0.406126198	636.5771825
A5-1-4	A5	bio1	BFO	WT	tech4	root	plate1	0.039159124	61.37945578
A5-1-5	A5	bio1	BFO	WT	tech5	root	plate1	0.071276666	111.7216749
A5-1-6	A5	bio1	BFO	WT	tech6	root	plate1	0.002951731	4.626652542
A5-1-21	A5	bio1	BFO	pen2_pad3	tech3	root	plate1	27089168.95	
A5-1-22	A5	bio1	BFO	pen2_pad3	tech4	root	plate1	49375185.75	
A5-1-23	A5	bio1	BFO	pen2_pad3	tech5	root	plate1		
A5-1-42	A5	bio1	BFO	pad3	tech6	root	plate1		
A5-1-25	A5	bio1	BFO	pyk_bglu	tech3	root	plate1	0.056529129	88.60584137
A5-1-28	A5	bio1	BFO	pyk_bglu	tech4	root	plate1	0.023393096	36.66720171
A5-1-29	A5	bio1	BFO	pyk_bglu	tech5	root	plate1	0.002446321	3.83445442
A5-1-30	A5	bio1	BFO	pyk_bglu	tech6	root	plate1	0.016586839	25.99882302
A5-1-33	A5	bio1	BFO	pen2	tech3	root	plate1	0.020536961	32.19039021
A5-1-34	A5	bio1	BFO	pen2	tech4	root	plate2	0.032221542	10.58482223
A5-1-35	A5	bio1	BFO	pen2	tech5	root	plate2	0.050730328	16.66498482
A5-1-36	A5	bio1	BFO	pen2	tech6	root	plate2	0.065709965	21.58581684
A5-1-39	A5	bio1	BFO	pad3	tech3	root	plate2	0.001285392	0.422253203
A5-1-40	A5	bio1	BFO	pad3	tech4	root	plate2	0.01615077	5.30555073
A5-1-41	A5	bio1	BFO	pad3	tech5	root	plate2	3.87799E-05	0.012739248
A5-1-24	A5	bio1	BFO	pen2_pad3	tech6	root	plate2	101.9641718	
A5-1-45	A5	bio1	BFO	cyp71a27	tech3	root	plate2	0.010932807	3.591442711
A5-1-46	A5	bio1	BFO	cyp71a27	tech4	root	plate2	0.000346018	0.113667493
A5-1-47	A5	bio1	BFO	cyp71a27	tech5	root	plate2	0.056752538	18.64328936
A5-1-48	A5	bio1	BFO	cyp71a27	tech6	root	plate2	0.001518547	0.498844689
A5-1-51	A5	bio1	BFO	cyp71a12_a13	tech3	root	plate2	1	
A5-1-52	A5	bio1	BFO	cyp71a12_a13	tech4	root	plate2	1	
A5-1-54	A5	bio1	BFO	cyp71a12_a13	tech6	root	plate2	0.000437608	0.143754744
A5-1-53	A5	bio1	BFO	cyp71a12_a13	tech5	root	plate2	3.231E-05	0.010613869
A5-1-57	A5	bio1	BFO	cyp79b2_b3	tech3	root	plate2	9.50336E-05	0.031218665
A5-1-58	A5	bio1	BFO	cyp79b2_b3	tech4	root	plate2	0.004238627	1.392395151
A5-1-59	A5	bio1	BFO	cyp79b2_b3	tech5	root	plate2	0.006554154	2.153048887
A5-1-60	A5	bio1	BFO	cyp79b2_b3	tech6	root	plate2	0.006273857	2.060971064
A5-1-63	A5	bio1	BFO	myb_triple	tech3	root	plate2	0.001297663	0.426284228
A5-1-64	A5	bio1	BFO	myb_triple	tech4	root	plate2	0.002999214	0.985246122
A5-1-65	A5	bio1	BFO	myb_triple	tech5	root	plate3	0.001081683	0.29495534
