figure	project	biological	genotype	treatment	technical	plant_no	genotype_treatment	genotype_treatment_biological	FW
R5sup1	D1	bio1	WT	BFO	1	1	WT_BFO	WT_BFO_bio1	0.0515
R5sup1	D1	bio1	WT	BFO	1	2	WT_BFO	WT_BFO_bio1	0.0172
R5sup1	D1	bio1	WT	BFO	1	3	WT_BFO	WT_BFO_bio1	0.0069
R5sup1	D1	bio1	WT	BFO	1	4	WT_BFO	WT_BFO_bio1	0.0195
R5sup1	D1	bio1	WT	BFO	2	1	WT_BFO	WT_BFO_bio1	0.0263
R5sup1	D1	bio1	WT	BFO	2	2	WT_BFO	WT_BFO_bio1	0.0664
R5sup1	D1	bio1	WT	BFO	2	3	WT_BFO	WT_BFO_bio1	0.0826
R5sup1	D1	bio1	WT	BFO	2	4	WT_BFO	WT_BFO_bio1	0.0496
R5sup1	D1	bio1	WT	BFO	3	1	WT_BFO	WT_BFO_bio1	0.0117
R5sup1	D1	bio1	WT	BFO	3	2	WT_BFO	WT_BFO_bio1	0.0275
R5sup1	D1	bio1	WT	BFO	3	3	WT_BFO	WT_BFO_bio1	0.046
R5sup1	D1	bio1	WT	BFO	3	4	WT_BFO	WT_BFO_bio1	0.0107
R5sup1	D1	bio1	WT	BFO	4	1	WT_BFO	WT_BFO_bio1	0.0189
R5sup1	D1	bio1	WT	BFO	4	2	WT_BFO	WT_BFO_bio1	0.0252
R5sup1	D1	bio1	WT	BFO	4	3	WT_BFO	WT_BFO_bio1	0.0364
R5sup1	D1	bio1	WT	BFO	4	4	WT_BFO	WT_BFO_bio1	0.0118
R5sup1	D1	bio1	WT	BFO	5	1	WT_BFO	WT_BFO_bio1	0.0156
R5sup1	D1	bio1	WT	BFO	5	2	WT_BFO	WT_BFO_bio1	0.0326
R5sup1	D1	bio1	WT	BFO	5	3	WT_BFO	WT_BFO_bio1	0.0178
R5sup1	D1	bio1	WT	BFO	5	4	WT_BFO	WT_BFO_bio1	
R5sup1	D1	bio1	WT	BFO	6	1	WT_BFO	WT_BFO_bio1	0.0244
R5sup1	D1	bio1	WT	BFO	6	2	WT_BFO	WT_BFO_bio1	0.0176
R5sup1	D1	bio1	WT	BFO	6	3	WT_BFO	WT_BFO_bio1	0.0121
R5sup1	D1	bio1	WT	BFO	6	4	WT_BFO	WT_BFO_bio1	0.0328
R5sup1	D1	bio1	WT	B	1	1	WT_B	WT_B_bio1	0.018
R5sup1	D1	bio1	WT	B	1	2	WT_B	WT_B_bio1	0.0127
R5sup1	D1	bio1	WT	B	1	3	WT_B	WT_B_bio1	0.0051
R5sup1	D1	bio1	WT	B	1	4	WT_B	WT_B_bio1	0.0042
R5sup1	D1	bio1	WT	B	2	1	WT_B	WT_B_bio1	0.012
R5sup1	D1	bio1	WT	B	2	2	WT_B	WT_B_bio1	0.0327
R5sup1	D1	bio1	WT	B	2	3	WT_B	WT_B_bio1	0.0141
R5sup1	D1	bio1	WT	B	2	4	WT_B	WT_B_bio1	0.0173
R5sup1	D1	bio1	WT	B	3	1	WT_B	WT_B_bio1	0.0153
R5sup1	D1	bio1	WT	B	3	2	WT_B	WT_B_bio1	0.0166
R5sup1	D1	bio1	WT	B	3	3	WT_B	WT_B_bio1	0.0073
R5sup1	D1	bio1	WT	B	3	4	WT_B	WT_B_bio1	0.0143
R5sup1	D1	bio1	WT	B	4	1	WT_B	WT_B_bio1	0.0135
R5sup1	D1	bio1	WT	B	4	2	WT_B	WT_B_bio1	0.0163
R5sup1	D1	bio1	WT	B	4	3	WT_B	WT_B_bio1	0.0468
R5sup1	D1	bio1	WT	B	4	4	WT_B	WT_B_bio1	0.0327
R5sup1	D1	bio1	WT	B	5	1	WT_B	WT_B_bio1	0.1187
R5sup1	D1	bio1	WT	B	5	2	WT_B	WT_B_bio1	0.0501
R5sup1	D1	bio1	WT	B	5	3	WT_B	WT_B_bio1	0.0387
R5sup1	D1	bio1	WT	B	5	4	WT_B	WT_B_bio1	0.0115
R5sup1	D1	bio1	WT	B	6	1	WT_B	WT_B_bio1	0.054
R5sup1	D1	bio1	WT	B	6	2	WT_B	WT_B_bio1	0.0682
R5sup1	D1	bio1	WT	B	6	3	WT_B	WT_B_bio1	0.0433
R5sup1	D1	bio1	WT	B	6	4	WT_B	WT_B_bio1	0.0246
R5sup1	D1	bio1	WT	F	1	1	WT_F	WT_F_bio1	0.0375
R5sup1	D1	bio1	WT	F	1	2	WT_F	WT_F_bio1	0.0117
R5sup1	D1	bio1	WT	F	1	3	WT_F	WT_F_bio1	
R5sup1	D1	bio1	WT	F	1	4	WT_F	WT_F_bio1	
R5sup1	D1	bio1	WT	F	2	1	WT_F	WT_F_bio1	0.0097
R5sup1	D1	bio1	WT	F	2	2	WT_F	WT_F_bio1	0.0039
R5sup1	D1	bio1	WT	F	2	3	WT_F	WT_F_bio1	
R5sup1	D1	bio1	WT	F	2	4	WT_F	WT_F_bio1	
R5sup1	D1	bio1	WT	F	3	1	WT_F	WT_F_bio1	0.0038
R5sup1	D1	bio1	WT	F	3	2	WT_F	WT_F_bio1	
R5sup1	D1	bio1	WT	F	3	3	WT_F	WT_F_bio1	
R5sup1	D1	bio1	WT	F	3	4	WT_F	WT_F_bio1	
R5sup1	D1	bio1	WT	F	4	1	WT_F	WT_F_bio1	
R5sup1	D1	bio1	WT	F	4	2	WT_F	WT_F_bio1	
R5sup1	D1	bio1	WT	F	4	3	WT_F	WT_F_bio1	
R5sup1	D1	bio1	WT	F	4	4	WT_F	WT_F_bio1	
R5sup1	D1	bio1	WT	F	5	1	WT_F	WT_F_bio1	0.0049
