exp	biol1	gen	treat	FW_g	FP	No
NF1	biol1	cyp79	BF-old	0.0067	fp1	p1
NF1	biol1	cyp79	BF-old	0.0081	fp1	p2
NF1	biol1	cyp79	BF-old	0.0011	fp1	p3
NF1	biol1	cyp79	BF-old	0	fp1	p4
NF1	biol1	cyp79	BF-old	0.0307	fp2	p1
NF1	biol1	cyp79	BF-old	0.0119	fp2	p2
NF1	biol1	cyp79	BF-old	0.0233	fp2	p3
NF1	biol1	cyp79	BF-old	0.0043	fp2	p4
NF1	biol1	cyp79	BF-old	0.0281	fp3	p1
NF1	biol1	cyp79	BF-old	0.0264	fp3	p2
NF1	biol1	cyp79	BF-old	0.015	fp3	p3
NF1	biol1	cyp79	BF-old	0.0096	fp3	p4
NF1	biol1	cyp79	BF-old	0.0494	fp4	p1
NF1	biol1	cyp79	BF-old	0.0464	fp4	p2
NF1	biol1	cyp79	BF-old	0.0176	fp4	p3
NF1	biol1	cyp79	BF-old	0.0553	fp4	p4
NF1	biol1	cyp79	BF-old	0.0177	fp5	p1
NF1	biol1	cyp79	BF-old	0.034	fp5	p2
NF1	biol1	cyp79	BF-old	0.0311	fp5	p3
NF1	biol1	cyp79	BF-old	0	fp5	p4
NF1	biol1	cyp79	BF-old	0.013	fp6	p1
NF1	biol1	cyp79	BF-old	0.0194	fp6	p2
NF1	biol1	cyp79	BF-old	0.0603	fp6	p3
NF1	biol1	cyp79	BF-old	0	fp6	p4
NF1	biol2	cyp79	BF-old	0.0259	fp1	pl1
NF1	biol2	cyp79	BF-old	0.0451	fp1	pl2
NF1	biol2	cyp79	BF-old	0.0195	fp1	pl3
NF1	biol2	cyp79	BF-old	0	fp1	pl4
NF1	biol2	cyp79	BF-old	0.0095	fp2	pl1
NF1	biol2	cyp79	BF-old	0.0414	fp2	pl2
NF1	biol2	cyp79	BF-old	0.0246	fp2	pl3
NF1	biol2	cyp79	BF-old	0.0866	fp2	pl4
NF1	biol2	cyp79	BF-old	0.003	fp3	pl1
NF1	biol2	cyp79	BF-old	0.0008	fp3	pl2
NF1	biol2	cyp79	BF-old	0.0044	fp3	pl3
NF1	biol2	cyp79	BF-old	0	fp3	pl4
NF1	biol2	cyp79	BF-old	0.0893	fp4	pl1
NF1	biol2	cyp79	BF-old	0.0574	fp4	pl2
NF1	biol2	cyp79	BF-old	0	fp4	pl3
NF1	biol2	cyp79	BF-old	0	fp4	pl4
NF1	biol2	cyp79	BF-old	0.0092	fp5	pl1
NF1	biol2	cyp79	BF-old	0.0341	fp5	pl2
NF1	biol2	cyp79	BF-old	0.012	fp5	pl3
NF1	biol2	cyp79	BF-old	0	fp5	pl4
NF1	biol2	cyp79	BF-old	0.0109	fp6	pl1
NF1	biol2	cyp79	BF-old	0.0327	fp6	pl2
NF1	biol2	cyp79	BF-old	0	fp6	pl3
NF1	biol2	cyp79	BF-old	0	fp6	pl4
NF1	biol3	cyp79	BF-old	0.0238	fp1	pl1
NF1	biol3	cyp79	BF-old	0.0338	fp1	pl2
NF1	biol3	cyp79	BF-old	0	fp1	pl3
NF1	biol3	cyp79	BF-old	0	fp1	pl4
NF1	biol3	cyp79	BF-old	0.0107	fp2	pl1
NF1	biol3	cyp79	BF-old	0.0142	fp2	pl2
NF1	biol3	cyp79	BF-old	0.0164	fp2	pl3
NF1	biol3	cyp79	BF-old	0.0276	fp2	pl4
NF1	biol3	cyp79	BF-old	0.0357	fp3	pl1
NF1	biol3	cyp79	BF-old	0.0057	fp3	pl2
NF1	biol3	cyp79	BF-old	0.0067	fp3	pl3
NF1	biol3	cyp79	BF-old	0.0133	fp3	pl4
NF1	biol3	cyp79	BF-old	0.0157	fp4	pl1
NF1	biol3	cyp79	BF-old	0.0139	fp4	pl2
NF1	biol3	cyp79	BF-old	0.0131	fp4	pl3
NF1	biol3	cyp79	BF-old	0	fp4	pl4
NF1	biol3	cyp79	BF-old	0.0306	fp5	pl1
NF1	biol3	cyp79	BF-old	0.0081	fp5	pl2
NF1	biol3	cyp79	BF-old	0.0571	fp5	pl3
NF1	biol3	cyp79	BF-old	0.0521	fp5	pl4
NF1	biol3	cyp79	BF-old	0.0097	fp6	pl1
NF1	biol3	cyp79	BF-old	0.0152	fp6	pl2
NF1	biol3	cyp79	BF-old	0.0459	fp6	pl3
NF1	biol3	cyp79	BF-old	0	fp6	pl4
NF1	biol1	cyp79	B-old	0.0151	fp1	p1
NF1	biol1	cyp79	B-old	0.0071	fp1	p2
NF1	biol1	cyp79	B-old	0.0113	fp1	p3
NF1	biol1	cyp79	B-old	0.0462	fp1	p4
NF1	biol1	cyp79	B-old	0.0324	fp2	p1
NF1	biol1	cyp79	B-old	0.0115	fp2	p2
NF1	biol1	cyp79	B-old	0.0667	fp2	p3
NF1	biol1	cyp79	B-old	0.0148	fp2	p4
NF1	biol1	cyp79	B-old	0.0118	fp3	p1
NF1	biol1	cyp79	B-old	0.008	fp3	p2
NF1	biol1	cyp79	B-old	0.0349	fp3	p3
NF1	biol1	cyp79	B-old	0.0537	fp3	p4
NF1	biol1	cyp79	B-old	0.0229	fp4	p1
NF1	biol1	cyp79	B-old	0.0466	fp4	p2
NF1	biol1	cyp79	B-old	0.0227	fp4	p3
NF1	biol1	cyp79	B-old	0.0259	fp4	p4
NF1	biol1	cyp79	B-old	0.0555	fp5	p1
NF1	biol1	cyp79	B-old	0.0325	fp5	p2
NF1	biol1	cyp79	B-old	0.0272	fp5	p3
NF1	biol1	cyp79	B-old	0.0211	fp5	p4
NF1	biol1	cyp79	B-old	0.025	fp6	p1
NF1	biol1	cyp79	B-old	0.0061	fp6	p2
NF1	biol1	cyp79	B-old	0.0203	fp6	p3
NF1	biol1	cyp79	B-old	0.0214	fp6	p4
NF1	biol2	cyp79	B-old	0.0314	fp1	pl1
NF1	biol2	cyp79	B-old	0.0045	fp1	pl2
NF1	biol2	cyp79	B-old	0.0129	fp1	pl3
NF1	biol2	cyp79	B-old	0	fp1	pl4
NF1	biol2	cyp79	B-old	0.0154	fp2	pl1
NF1	biol2	cyp79	B-old	0.0156	fp2	pl2
NF1	biol2	cyp79	B-old	0.0054	fp2	pl3
NF1	biol2	cyp79	B-old	0.0165	fp2	pl4
NF1	biol2	cyp79	B-old	0.0307	fp3	pl1
NF1	biol2	cyp79	B-old	0.0265	fp3	pl2
NF1	biol2	cyp79	B-old	0.0296	fp3	pl3
NF1	biol2	cyp79	B-old	0.018	fp3	pl4
NF1	biol2	cyp79	B-old	0.0352	fp4	pl1
NF1	biol2	cyp79	B-old	0.0248	fp4	pl2
NF1	biol2	cyp79	B-old	0.0465	fp4	pl3
NF1	biol2	cyp79	B-old	0.0219	fp4	pl4
NF1	biol2	cyp79	B-old	0.0362	fp5	pl1
NF1	biol2	cyp79	B-old	0.0343	fp5	pl2
NF1	biol2	cyp79	B-old	0.0164	fp5	pl3
NF1	biol2	cyp79	B-old	0.0133	fp5	pl4
NF1	biol2	cyp79	B-old	0.0172	fp6	pl1
NF1	biol2	cyp79	B-old	0.0092	fp6	pl2
NF1	biol2	cyp79	B-old	0.0247	fp6	pl3
NF1	biol2	cyp79	B-old	0.0529	fp6	pl4
NF1	biol3	cyp79	B-old	0.0302	fp1	pl1
NF1	biol3	cyp79	B-old	0.0159	fp1	pl2
NF1	biol3	cyp79	B-old	0.014	fp1	pl3
NF1	biol3	cyp79	B-old	0.0278	fp1	pl4
NF1	biol3	cyp79	B-old	0.0078	fp2	pl1
NF1	biol3	cyp79	B-old	0.0131	fp2	pl2
NF1	biol3	cyp79	B-old	0.0338	fp2	pl3
NF1	biol3	cyp79	B-old	0.0103	fp2	pl4
NF1	biol3	cyp79	B-old	0.0235	fp3	pl1
NF1	biol3	cyp79	B-old	0.0274	fp3	pl2
NF1	biol3	cyp79	B-old	0.0459	fp3	pl3
NF1	biol3	cyp79	B-old	0.0351	fp3	pl4
NF1	biol3	cyp79	B-old	0.0215	fp4	pl1
NF1	biol3	cyp79	B-old	0.0138	fp4	pl2
NF1	biol3	cyp79	B-old	0.0357	fp4	pl3
NF1	biol3	cyp79	B-old	0.0301	fp4	pl4
NF1	biol3	cyp79	B-old	0.1057	fp5	pl1
NF1	biol3	cyp79	B-old	0.0541	fp5	pl2
NF1	biol3	cyp79	B-old	0.017	fp5	pl3
NF1	biol3	cyp79	B-old	0.034	fp5	pl4
NF1	biol3	cyp79	B-old	0.015	fp6	pl1
NF1	biol3	cyp79	B-old	0.0201	fp6	pl2
NF1	biol3	cyp79	B-old	0.0059	fp6	pl3
NF1	biol3	cyp79	B-old	0.0268	fp6	pl4
NF1	biol1	cyp79	F-old	0	fp1	p1
NF1	biol1	cyp79	F-old	0	fp1	p2
NF1	biol1	cyp79	F-old	0	fp1	p3
NF1	biol1	cyp79	F-old	0	fp1	p4
NF1	biol1	cyp79	F-old	0	fp2	p1
NF1	biol1	cyp79	F-old	0	fp2	p2
NF1	biol1	cyp79	F-old	0	fp2	p3
NF1	biol1	cyp79	F-old	0	fp2	p4
NF1	biol1	cyp79	F-old	0	fp3	p1
NF1	biol1	cyp79	F-old	0	fp3	p2
NF1	biol1	cyp79	F-old	0	fp3	p3
NF1	biol1	cyp79	F-old	0	fp3	p4
NF1	biol1	cyp79	F-old	0	fp4	p1
NF1	biol1	cyp79	F-old	0	fp4	p2
NF1	biol1	cyp79	F-old	0	fp4	p3
NF1	biol1	cyp79	F-old	0	fp4	p4
NF1	biol1	cyp79	F-old	0	fp5	p1
NF1	biol1	cyp79	F-old	0	fp5	p2
NF1	biol1	cyp79	F-old	0	fp5	p3
NF1	biol1	cyp79	F-old	0	fp5	p4
NF1	biol1	cyp79	F-old	0	fp6	p1
NF1	biol1	cyp79	F-old	0	fp6	p2
NF1	biol1	cyp79	F-old	0	fp6	p3
NF1	biol1	cyp79	F-old	0	fp6	p4
NF1	biol2	cyp79	F-old	0	fp1	pl1
NF1	biol2	cyp79	F-old	0	fp1	pl2
NF1	biol2	cyp79	F-old	0	fp1	pl3
NF1	biol2	cyp79	F-old	0	fp1	pl4
NF1	biol2	cyp79	F-old	0	fp2	pl1
NF1	biol2	cyp79	F-old	0	fp2	pl2
NF1	biol2	cyp79	F-old	0	fp2	pl3
NF1	biol2	cyp79	F-old	0	fp2	pl4
NF1	biol2	cyp79	F-old	0	fp3	pl1
NF1	biol2	cyp79	F-old	0	fp3	pl2
NF1	biol2	cyp79	F-old	0	fp3	pl3
NF1	biol2	cyp79	F-old	0	fp3	pl4
NF1	biol2	cyp79	F-old	0	fp4	pl1
NF1	biol2	cyp79	F-old	0	fp4	pl2
NF1	biol2	cyp79	F-old	0	fp4	pl3
NF1	biol2	cyp79	F-old	0	fp4	pl4
NF1	biol2	cyp79	F-old	0	fp5	pl1
NF1	biol2	cyp79	F-old	0	fp5	pl2
NF1	biol2	cyp79	F-old	0	fp5	pl3
NF1	biol2	cyp79	F-old	0	fp5	pl4
NF1	biol2	cyp79	F-old	0	fp6	pl1
NF1	biol2	cyp79	F-old	0	fp6	pl2
NF1	biol2	cyp79	F-old	0	fp6	pl3
NF1	biol2	cyp79	F-old	0	fp6	pl4
NF1	biol3	cyp79	F-old	0	fp1	pl1
NF1	biol3	cyp79	F-old	0	fp1	pl2
NF1	biol3	cyp79	F-old	0	fp1	pl3
NF1	biol3	cyp79	F-old	0	fp1	pl4
NF1	biol3	cyp79	F-old	0	fp2	pl1
NF1	biol3	cyp79	F-old	0	fp2	pl2
NF1	biol3	cyp79	F-old	0	fp2	pl3
NF1	biol3	cyp79	F-old	0	fp2	pl4
NF1	biol3	cyp79	F-old	0	fp3	pl1
NF1	biol3	cyp79	F-old	0	fp3	pl2
NF1	biol3	cyp79	F-old	0	fp3	pl3
NF1	biol3	cyp79	F-old	0	fp3	pl4
NF1	biol3	cyp79	F-old	0	fp4	pl1
NF1	biol3	cyp79	F-old	0	fp4	pl2
NF1	biol3	cyp79	F-old	0	fp4	pl3
NF1	biol3	cyp79	F-old	0	fp4	pl4
NF1	biol3	cyp79	F-old	0	fp5	pl1
NF1	biol3	cyp79	F-old	0	fp5	pl2
NF1	biol3	cyp79	F-old	0	fp5	pl3
NF1	biol3	cyp79	F-old	0	fp5	pl4
NF1	biol3	cyp79	F-old	0	fp6	pl1
NF1	biol3	cyp79	F-old	0	fp6	pl2
NF1	biol3	cyp79	F-old	0	fp6	pl3
NF1	biol3	cyp79	F-old	0	fp6	pl4
NF1	biol1	cyp79	S-old	0.0325	fp1	p1
NF1	biol1	cyp79	S-old	0.0265	fp1	p2
NF1	biol1	cyp79	S-old	0.0147	fp1	p3
NF1	biol1	cyp79	S-old	0.0432	fp1	p4
NF1	biol1	cyp79	S-old	0.0266	fp2	p1
NF1	biol1	cyp79	S-old	0.0239	fp2	p2
NF1	biol1	cyp79	S-old	0.0177	fp2	p3
NF1	biol1	cyp79	S-old	0.0261	fp2	p4
NF1	biol1	cyp79	S-old	0.0251	fp3	p1
NF1	biol1	cyp79	S-old	0.0372	fp3	p2
NF1	biol1	cyp79	S-old	0.0358	fp3	p3
NF1	biol1	cyp79	S-old	0.0365	fp3	p4
NF1	biol1	cyp79	S-old	0.0216	fp4	p1
NF1	biol1	cyp79	S-old	0.0168	fp4	p2
NF1	biol1	cyp79	S-old	0.0319	fp4	p3
NF1	biol1	cyp79	S-old	0.0229	fp4	p4
NF1	biol1	cyp79	S-old	0.0278	fp5	p1
NF1	biol1	cyp79	S-old	0.0222	fp5	p2
