experiment	biological	microbes	genotype	technical	plant_nr	genotype_microbes	genotype_microbes_graph	FW
A1	bio1	BF	1aWT	tech1	1	1aWT_BF	a1aWT_BF	0.0245
A1	bio1	BF	1aWT	tech1	2	1aWT_BF	a1aWT_BF	0.0363
A1	bio1	BF	1aWT	tech1	3	1aWT_BF	a1aWT_BF	0.0954
A1	bio1	BF	1aWT	tech1	4	1aWT_BF	a1aWT_BF	0.055
A1	bio1	BF	1aWT	tech2	1	1aWT_BF	a1aWT_BF	0.0365
A1	bio1	BF	1aWT	tech2	2	1aWT_BF	a1aWT_BF	0.0674
A1	bio1	BF	1aWT	tech2	3	1aWT_BF	a1aWT_BF	0.0725
A1	bio1	BF	1aWT	tech2	4	1aWT_BF	a1aWT_BF	0.0288
A1	bio1	BF	1aWT	tech3	1	1aWT_BF	a1aWT_BF	0.046
A1	bio1	BF	1aWT	tech3	2	1aWT_BF	a1aWT_BF	0.0239
A1	bio1	BF	1aWT	tech3	3	1aWT_BF	a1aWT_BF	0.027
A1	bio1	BF	1aWT	tech3	4	1aWT_BF	a1aWT_BF	0.0653
A1	bio1	BF	1aWT	tech4	1	1aWT_BF	a1aWT_BF	0.039
A1	bio1	BF	1aWT	tech4	2	1aWT_BF	a1aWT_BF	0.071
A1	bio1	BF	1aWT	tech4	3	1aWT_BF	a1aWT_BF	0.0874
A1	bio1	BF	1aWT	tech4	4	1aWT_BF	a1aWT_BF	0.0506
A1	bio1	BF	1aWT	tech5	1	1aWT_BF	a1aWT_BF	0.0539
A1	bio1	BF	1aWT	tech5	2	1aWT_BF	a1aWT_BF	0.0657
A1	bio1	BF	1aWT	tech5	3	1aWT_BF	a1aWT_BF	0.0545
A1	bio1	BF	1aWT	tech5	4	1aWT_BF	a1aWT_BF	0.0717
A1	bio1	BF	1aWT	tech6	1	1aWT_BF	a1aWT_BF	0.035
A1	bio1	BF	1aWT	tech6	2	1aWT_BF	a1aWT_BF	0.0299
A1	bio1	BF	1aWT	tech6	3	1aWT_BF	a1aWT_BF	0.0251
A1	bio1	BF	1aWT	tech6	4	1aWT_BF	a1aWT_BF	0.03
A1	bio1	BF	kai2	tech1	1	kai2_BF	qkai2_BF	0.0207
A1	bio1	BF	kai2	tech1	2	kai2_BF	qkai2_BF	0.0382
A1	bio1	BF	kai2	tech1	3	kai2_BF	qkai2_BF	0.0291
A1	bio1	BF	kai2	tech1	4	kai2_BF	qkai2_BF	0.0183
A1	bio1	BF	kai2	tech2	1	kai2_BF	qkai2_BF	0.022
A1	bio1	BF	kai2	tech2	2	kai2_BF	qkai2_BF	0.0275
A1	bio1	BF	kai2	tech2	3	kai2_BF	qkai2_BF	0.0255
A1	bio1	BF	kai2	tech2	4	kai2_BF	qkai2_BF	0.0129
A1	bio1	BF	kai2	tech3	1	kai2_BF	qkai2_BF	0.0119
A1	bio1	BF	kai2	tech3	2	kai2_BF	qkai2_BF	0.038
A1	bio1	BF	kai2	tech3	3	kai2_BF	qkai2_BF	0.057
A1	bio1	BF	kai2	tech3	4	kai2_BF	qkai2_BF	0.0167
A1	bio1	BF	kai2	tech4	1	kai2_BF	qkai2_BF	0.045
A1	bio1	BF	kai2	tech4	2	kai2_BF	qkai2_BF	0.0153
A1	bio1	BF	kai2	tech4	3	kai2_BF	qkai2_BF	0.0315
A1	bio1	BF	kai2	tech4	4	kai2_BF	qkai2_BF	0.0225
A1	bio1	BF	kai2	tech5	1	kai2_BF	qkai2_BF	0.0156
A1	bio1	BF	kai2	tech5	2	kai2_BF	qkai2_BF	0.0333
A1	bio1	BF	kai2	tech5	3	kai2_BF	qkai2_BF	0.0162
A1	bio1	BF	kai2	tech5	4	kai2_BF	qkai2_BF	0.0519
A1	bio1	BF	kai2	tech6	1	kai2_BF	qkai2_BF	0.0099
A1	bio1	BF	kai2	tech6	2	kai2_BF	qkai2_BF	0.019
A1	bio1	BF	kai2	tech6	3	kai2_BF	qkai2_BF	0.0244
A1	bio1	BF	kai2	tech6	4	kai2_BF	qkai2_BF	0.0116
A1	bio1	BF	wrky3340	tech1	1	wrky3340_BF	hwrky3340_BF	0.0261
A1	bio1	BF	wrky3340	tech1	2	wrky3340_BF	hwrky3340_BF	0.0263
A1	bio1	BF	wrky3340	tech1	3	wrky3340_BF	hwrky3340_BF	0.0275
A1	bio1	BF	wrky3340	tech1	4	wrky3340_BF	hwrky3340_BF	0.0214
A1	bio1	BF	wrky3340	tech2	1	wrky3340_BF	hwrky3340_BF	0.0068
A1	bio1	BF	wrky3340	tech2	2	wrky3340_BF	hwrky3340_BF	
A1	bio1	BF	wrky3340	tech2	3	wrky3340_BF	hwrky3340_BF	0.0861
A1	bio1	BF	wrky3340	tech2	4	wrky3340_BF	hwrky3340_BF	0.186
A1	bio1	BF	wrky3340	tech3	1	wrky3340_BF	hwrky3340_BF	0.0091
A1	bio1	BF	wrky3340	tech3	2	wrky3340_BF	hwrky3340_BF	0.0181
A1	bio1	BF	wrky3340	tech3	3	wrky3340_BF	hwrky3340_BF	
A1	bio1	BF	wrky3340	tech3	4	wrky3340_BF	hwrky3340_BF	0.003
A1	bio1	BF	wrky3340	tech4	1	wrky3340_BF	hwrky3340_BF	0.0238
A1	bio1	BF	wrky3340	tech4	2	wrky3340_BF	hwrky3340_BF	0.0112
A1	bio1	BF	wrky3340	tech4	3	wrky3340_BF	hwrky3340_BF	0.0142
A1	bio1	BF	wrky3340	tech4	4	wrky3340_BF	hwrky3340_BF	0.0181
A1	bio1	BF	wrky3340	tech5	1	wrky3340_BF	hwrky3340_BF	0.0225
A1	bio1	BF	wrky3340	tech5	2	wrky3340_BF	hwrky3340_BF	0.0264
A1	bio1	BF	wrky3340	tech5	3	wrky3340_BF	hwrky3340_BF	0.0147
A1	bio1	BF	wrky3340	tech5	4	wrky3340_BF	hwrky3340_BF	0.008
A1	bio1	BF	wrky3340	tech6	1	wrky3340_BF	hwrky3340_BF	0.0121
