experiment	biological	genotype	treatment	flowpot	plant	genotype_treatment	FW_g
HK	bio1	WT	sterile	fp1	p1	WT_sterile	0.0154
HK	bio1	WT	sterile	fp1	p2	WT_sterile	0.0238
HK	bio1	WT	sterile	fp1	p3	WT_sterile	0.0168
HK	bio1	WT	sterile	fp1	p4	WT_sterile	0.0397
HK	bio1	WT	sterile	fp2	p1	WT_sterile	0.0181
HK	bio1	WT	sterile	fp2	p2	WT_sterile	0.0451
HK	bio1	WT	sterile	fp2	p3	WT_sterile	0.0482
HK	bio1	WT	sterile	fp2	p4	WT_sterile	0.0067
HK	bio1	WT	sterile	fp3	p1	WT_sterile	0.0551
HK	bio1	WT	sterile	fp3	p2	WT_sterile	0.0059
HK	bio1	WT	sterile	fp3	p3	WT_sterile	0.0162
HK	bio1	WT	sterile	fp3	p4	WT_sterile	0.0143
HK	bio1	WT	sterile	fp4	p1	WT_sterile	0.0109
HK	bio1	WT	sterile	fp4	p2	WT_sterile	0.0388
HK	bio1	WT	sterile	fp4	p3	WT_sterile	0.0357
HK	bio1	WT	sterile	fp4	p4	WT_sterile	0.0281
HK	bio1	WT	sterile	fp5	p1	WT_sterile	0.0464
HK	bio1	WT	sterile	fp5	p2	WT_sterile	0.0108
HK	bio1	WT	sterile	fp5	p3	WT_sterile	0.0141
HK	bio1	WT	sterile	fp5	p4	WT_sterile	
HK	bio1	WT	sterile	fp6	p1	WT_sterile	0.0425
HK	bio1	WT	sterile	fp6	p2	WT_sterile	0.0392
HK	bio1	WT	sterile	fp6	p3	WT_sterile	0.013
HK	bio1	WT	sterile	fp6	p4	WT_sterile	0.028
HK	bio1	WT	HK	fp1	p1	WT_HK	0.0109
HK	bio1	WT	HK	fp1	p2	WT_HK	0.0329
HK	bio1	WT	HK	fp1	p3	WT_HK	0.0235
HK	bio1	WT	HK	fp1	p4	WT_HK	0.0139
HK	bio1	WT	HK	fp2	p1	WT_HK	0.0441
HK	bio1	WT	HK	fp2	p2	WT_HK	0.0052
HK	bio1	WT	HK	fp2	p3	WT_HK	0.0068
HK	bio1	WT	HK	fp2	p4	WT_HK	0.011
HK	bio1	WT	HK	fp3	p1	WT_HK	0.0057
HK	bio1	WT	HK	fp3	p2	WT_HK	0.0053
HK	bio1	WT	HK	fp3	p3	WT_HK	0.0109
HK	bio1	WT	HK	fp3	p4	WT_HK	0.0218
HK	bio1	WT	HK	fp4	p1	WT_HK	0.0175
HK	bio1	WT	HK	fp4	p2	WT_HK	0.0427
HK	bio1	WT	HK	fp4	p3	WT_HK	0.0119
HK	bio1	WT	HK	fp4	p4	WT_HK	0.0294
HK	bio1	WT	HK	fp5	p1	WT_HK	0.0767
HK	bio1	WT	HK	fp5	p2	WT_HK	0.0345
HK	bio1	WT	HK	fp5	p3	WT_HK	0.0418
HK	bio1	WT	HK	fp5	p4	WT_HK	0.0252
HK	bio1	WT	HK	fp6	p1	WT_HK	0.1208
HK	bio1	WT	HK	fp6	p2	WT_HK	0.046
HK	bio1	WT	HK	fp6	p3	WT_HK	0.0298
HK	bio1	WT	HK	fp6	p4	WT_HK	0.0048
HK	bio1	WT	BFO	fp1	p1	WT_BFO	0.0469
HK	bio1	WT	BFO	fp1	p2	WT_BFO	0.0572
HK	bio1	WT	BFO	fp1	p3	WT_BFO	0.0434
HK	bio1	WT	BFO	fp1	p4	WT_BFO	0.0106
HK	bio1	WT	BFO	fp2	p1	WT_BFO	0.0205
HK	bio1	WT	BFO	fp2	p2	WT_BFO	0.0164
HK	bio1	WT	BFO	fp2	p3	WT_BFO	
HK	bio1	WT	BFO	fp2	p4	WT_BFO	
HK	bio1	WT	BFO	fp3	p1	WT_BFO	0.0659
HK	bio1	WT	BFO	fp3	p2	WT_BFO	0.0586
HK	bio1	WT	BFO	fp3	p3	WT_BFO	0.0703
HK	bio1	WT	BFO	fp3	p4	WT_BFO	0.0354
HK	bio1	WT	BFO	fp4	p1	WT_BFO	0.0447
HK	bio1	WT	BFO	fp4	p2	WT_BFO	0.0175
HK	bio1	WT	BFO	fp4	p3	WT_BFO	0.0092
HK	bio1	WT	BFO	fp4	p4	WT_BFO	
HK	bio1	WT	BFO	fp5	p1	WT_BFO	0.0339
HK	bio1	WT	BFO	fp5	p2	WT_BFO	0.0473
HK	bio1	WT	BFO	fp5	p3	WT_BFO	0.0467
HK	bio1	WT	BFO	fp5	p4	WT_BFO	0.0511
HK	bio1	WT	BFO	fp6	p1	WT_BFO	0.0422
HK	bio1	WT	BFO	fp6	p2	WT_BFO	0.0316
HK	bio1	WT	BFO	fp6	p3	WT_BFO	0.0258
HK	bio1	WT	BFO	fp6	p4	WT_BFO	0.0172
HK	bio2	WT	sterile	fp1	p1	WT_sterile	0.062
HK	bio2	WT	sterile	fp1	p2	WT_sterile	0.0406
HK	bio2	WT	sterile	fp1	p3	WT_sterile	0.0553
HK	bio2	WT	sterile	fp1	p4	WT_sterile	0.053
HK	bio2	WT	sterile	fp2	p1	WT_sterile	
HK	bio2	WT	sterile	fp2	p2	WT_sterile	
HK	bio2	WT	sterile	fp2	p3	WT_sterile	
HK	bio2	WT	sterile	fp2	p4	WT_sterile	
HK	bio2	WT	sterile	fp3	p1	WT_sterile	
HK	bio2	WT	sterile	fp3	p2	WT_sterile	
HK	bio2	WT	sterile	fp3	p3	WT_sterile	
HK	bio2	WT	sterile	fp3	p4	WT_sterile	
HK	bio2	WT	sterile	fp4	p1	WT_sterile	0.0633
HK	bio2	WT	sterile	fp4	p2	WT_sterile	0.024
HK	bio2	WT	sterile	fp4	p3	WT_sterile	0.0548
HK	bio2	WT	sterile	fp4	p4	WT_sterile	0.017
HK	bio2	WT	sterile	fp5	p1	WT_sterile	0.0859
HK	bio2	WT	sterile	fp5	p2	WT_sterile	0.0404
HK	bio2	WT	sterile	fp5	p3	WT_sterile	0.046
HK	bio2	WT	sterile	fp5	p4	WT_sterile	0.0131
HK	bio2	WT	sterile	fp6	p1	WT_sterile	0.0092
HK	bio2	WT	sterile	fp6	p2	WT_sterile	0.0249
HK	bio2	WT	sterile	fp6	p3	WT_sterile	0.0628
HK	bio2	WT	sterile	fp6	p4	WT_sterile	
HK	bio2	WT	HK	fp1	p1	WT_HK	0.0432
HK	bio2	WT	HK	fp1	p2	WT_HK	0.0201
HK	bio2	WT	HK	fp1	p3	WT_HK	0.0141
HK	bio2	WT	HK	fp1	p4	WT_HK	0.0259
HK	bio2	WT	HK	fp2	p1	WT_HK	0.0331
HK	bio2	WT	HK	fp2	p2	WT_HK	0.0533
HK	bio2	WT	HK	fp2	p3	WT_HK	0.0138
HK	bio2	WT	HK	fp2	p4	WT_HK	0.0101
HK	bio2	WT	HK	fp3	p1	WT_HK	0.0718
HK	bio2	WT	HK	fp3	p2	WT_HK	0.014
HK	bio2	WT	HK	fp3	p3	WT_HK	0.0261
HK	bio2	WT	HK	fp3	p4	WT_HK	0.012
HK	bio2	WT	HK	fp4	p1	WT_HK	0.0376
HK	bio2	WT	HK	fp4	p2	WT_HK	0.0453
HK	bio2	WT	HK	fp4	p3	WT_HK	0.0309
HK	bio2	WT	HK	fp4	p4	WT_HK	0.017
HK	bio2	WT	HK	fp5	p1	WT_HK	0.0279
HK	bio2	WT	HK	fp5	p2	WT_HK	0.0309
HK	bio2	WT	HK	fp5	p3	WT_HK	0.037
HK	bio2	WT	HK	fp5	p4	WT_HK	0.0104
HK	bio2	WT	HK	fp6	p1	WT_HK	0.0257
HK	bio2	WT	HK	fp6	p2	WT_HK	0.0127
HK	bio2	WT	HK	fp6	p3	WT_HK	0.0077
HK	bio2	WT	HK	fp6	p4	WT_HK	
HK	bio2	WT	BFO	fp1	p1	WT_BFO	0.0221
HK	bio2	WT	BFO	fp1	p2	WT_BFO	0.0426
HK	bio2	WT	BFO	fp1	p3	WT_BFO	0.0322
HK	bio2	WT	BFO	fp1	p4	WT_BFO	
HK	bio2	WT	BFO	fp2	p1	WT_BFO	0.1005
HK	bio2	WT	BFO	fp2	p2	WT_BFO	0.035
HK	bio2	WT	BFO	fp2	p3	WT_BFO	0.0115
HK	bio2	WT	BFO	fp2	p4	WT_BFO	
HK	bio2	WT	BFO	fp3	p1	WT_BFO	0.0065
HK	bio2	WT	BFO	fp3	p2	WT_BFO	0.0064
HK	bio2	WT	BFO	fp3	p3	WT_BFO	0.0276
HK	bio2	WT	BFO	fp3	p4	WT_BFO	
HK	bio2	WT	BFO	fp4	p1	WT_BFO	
HK	bio2	WT	BFO	fp4	p2	WT_BFO	
HK	bio2	WT	BFO	fp4	p3	WT_BFO	
HK	bio2	WT	BFO	fp4	p4	WT_BFO	
HK	bio2	WT	BFO	fp5	p1	WT_BFO	0.1431
HK	bio2	WT	BFO	fp5	p2	WT_BFO	0.0749
HK	bio2	WT	BFO	fp5	p3	WT_BFO	0.0228
HK	bio2	WT	BFO	fp5	p4	WT_BFO	
HK	bio2	WT	BFO	fp6	p1	WT_BFO	0.0633
HK	bio2	WT	BFO	fp6	p2	WT_BFO	0.1201
HK	bio2	WT	BFO	fp6	p3	WT_BFO	0.0176
HK	bio2	WT	BFO	fp6	p4	WT_BFO	0.0576
HK	bio3	WT	sterile	fp1	p1	WT_sterile	0.0391
HK	bio3	WT	sterile	fp1	p2	WT_sterile	0.0256
HK	bio3	WT	sterile	fp1	p3	WT_sterile	0.0131
HK	bio3	WT	sterile	fp1	p4	WT_sterile	0.0227
HK	bio3	WT	sterile	fp2	p1	WT_sterile	0.006
HK	bio3	WT	sterile	fp2	p2	WT_sterile	0.0132
HK	bio3	WT	sterile	fp2	p3	WT_sterile	0.0076
HK	bio3	WT	sterile	fp2	p4	WT_sterile	0.0073
HK	bio3	WT	sterile	fp3	p1	WT_sterile	0.0646
HK	bio3	WT	sterile	fp3	p2	WT_sterile	0.0227
HK	bio3	WT	sterile	fp3	p3	WT_sterile	0.0087
HK	bio3	WT	sterile	fp3	p4	WT_sterile	0.0382
HK	bio3	WT	sterile	fp4	p1	WT_sterile	0.0128
HK	bio3	WT	sterile	fp4	p2	WT_sterile	0.0356
HK	bio3	WT	sterile	fp4	p3	WT_sterile	0.0264
HK	bio3	WT	sterile	fp4	p4	WT_sterile	0.037
HK	bio3	WT	sterile	fp5	p1	WT_sterile	0.0086
HK	bio3	WT	sterile	fp5	p2	WT_sterile	0.0236
HK	bio3	WT	sterile	fp5	p3	WT_sterile	0.0167
HK	bio3	WT	sterile	fp5	p4	WT_sterile	0.0255
HK	bio3	WT	sterile	fp6	p1	WT_sterile	0.0495
HK	bio3	WT	sterile	fp6	p2	WT_sterile	0.0245
HK	bio3	WT	sterile	fp6	p3	WT_sterile	0.026
HK	bio3	WT	sterile	fp6	p4	WT_sterile	0.0625
HK	bio3	WT	HK	fp1	p1	WT_HK	0.014
HK	bio3	WT	HK	fp1	p2	WT_HK	0.0499
HK	bio3	WT	HK	fp1	p3	WT_HK	0.0493
HK	bio3	WT	HK	fp1	p4	WT_HK	0.0188
HK	bio3	WT	HK	fp2	p1	WT_HK	0.0318
HK	bio3	WT	HK	fp2	p2	WT_HK	0.0266
HK	bio3	WT	HK	fp2	p3	WT_HK	0.0141
HK	bio3	WT	HK	fp2	p4	WT_HK	
HK	bio3	WT	HK	fp3	p1	WT_HK	0.0195
