location	experiment	biological	time_point	genotype	technical	plant_nr	genotype_time	FW
greenhouse	B1	bio1	tp1	WT	tech1	1	WT_tp1a	
greenhouse	B1	bio1	tp1	WT	tech1	2	WT_tp1a	
greenhouse	B1	bio1	tp1	WT	tech1	3	WT_tp1a	
greenhouse	B1	bio1	tp1	WT	tech1	4	WT_tp1a	
greenhouse	B1	bio1	tp1	WT	tech1	5	WT_tp1a	
greenhouse	B1	bio1	tp1	WT	tech2	1	WT_tp1a	0.01
greenhouse	B1	bio1	tp1	WT	tech2	2	WT_tp1a	0.011
greenhouse	B1	bio1	tp1	WT	tech2	3	WT_tp1a	0.012
greenhouse	B1	bio1	tp1	WT	tech2	4	WT_tp1a	0.007
greenhouse	B1	bio1	tp1	WT	tech2	5	WT_tp1a	0.014
greenhouse	B1	bio1	tp1	WT	tech3	1	WT_tp1a	0.008
greenhouse	B1	bio1	tp1	WT	tech3	2	WT_tp1a	0.003
greenhouse	B1	bio1	tp1	WT	tech3	3	WT_tp1a	0.006
greenhouse	B1	bio1	tp1	WT	tech3	4	WT_tp1a	0.006
greenhouse	B1	bio1	tp1	WT	tech3	5	WT_tp1a	0.003
greenhouse	B1	bio1	tp1	WT	tech4	1	WT_tp1a	0.019
greenhouse	B1	bio1	tp1	WT	tech4	2	WT_tp1a	0.022
greenhouse	B1	bio1	tp1	WT	tech4	3	WT_tp1a	0.015
greenhouse	B1	bio1	tp1	WT	tech4	4	WT_tp1a	0.025
greenhouse	B1	bio1	tp1	WT	tech4	5	WT_tp1a	0.02
greenhouse	B1	bio1	tp1	wrky3340	tech1	1	wrky3340_tp1a	0.01
greenhouse	B1	bio1	tp1	wrky3340	tech1	2	wrky3340_tp1a	0.005
greenhouse	B1	bio1	tp1	wrky3340	tech1	3	wrky3340_tp1a	0.005
greenhouse	B1	bio1	tp1	wrky3340	tech1	4	wrky3340_tp1a	0.005
greenhouse	B1	bio1	tp1	wrky3340	tech1	5	wrky3340_tp1a	0.006
greenhouse	B1	bio1	tp1	wrky3340	tech2	1	wrky3340_tp1a	0.009
greenhouse	B1	bio1	tp1	wrky3340	tech2	2	wrky3340_tp1a	0.009
greenhouse	B1	bio1	tp1	wrky3340	tech2	3	wrky3340_tp1a	0.007
greenhouse	B1	bio1	tp1	wrky3340	tech2	4	wrky3340_tp1a	0.013
greenhouse	B1	bio1	tp1	wrky3340	tech2	5	wrky3340_tp1a	0.009
greenhouse	B1	bio1	tp1	wrky3340	tech3	1	wrky3340_tp1a	0.01
greenhouse	B1	bio1	tp1	wrky3340	tech3	2	wrky3340_tp1a	0.015
greenhouse	B1	bio1	tp1	wrky3340	tech3	3	wrky3340_tp1a	0.019
greenhouse	B1	bio1	tp1	wrky3340	tech3	4	wrky3340_tp1a	0.011
greenhouse	B1	bio1	tp1	wrky3340	tech3	5	wrky3340_tp1a	0.009
greenhouse	B1	bio1	tp1	wrky3340	tech4	1	wrky3340_tp1a	0.004
greenhouse	B1	bio1	tp1	wrky3340	tech4	2	wrky3340_tp1a	0.007
greenhouse	B1	bio1	tp1	wrky3340	tech4	3	wrky3340_tp1a	0.007
greenhouse	B1	bio1	tp1	wrky3340	tech4	4	wrky3340_tp1a	0.004
greenhouse	B1	bio1	tp1	wrky3340	tech4	5	wrky3340_tp1a	0.008
greenhouse	B1	bio1	tp1	efrfls2cerk1	tech1	1	efrfls2cerk1_tp1a	0.009
greenhouse	B1	bio1	tp1	efrfls2cerk1	tech1	2	efrfls2cerk1_tp1a	0.007
greenhouse	B1	bio1	tp1	efrfls2cerk1	tech1	3	efrfls2cerk1_tp1a	0.01
greenhouse	B1	bio1	tp1	efrfls2cerk1	tech1	4	efrfls2cerk1_tp1a	0.01
greenhouse	B1	bio1	tp1	efrfls2cerk1	tech1	5	efrfls2cerk1_tp1a	0.014
greenhouse	B1	bio1	tp1	efrfls2cerk1	tech2	1	efrfls2cerk1_tp1a	0.016
greenhouse	B1	bio1	tp1	efrfls2cerk1	tech2	2	efrfls2cerk1_tp1a	0.02
greenhouse	B1	bio1	tp1	efrfls2cerk1	tech2	3	efrfls2cerk1_tp1a	0.015
greenhouse	B1	bio1	tp1	efrfls2cerk1	tech2	4	efrfls2cerk1_tp1a	0.014
greenhouse	B1	bio1	tp1	efrfls2cerk1	tech2	5	efrfls2cerk1_tp1a	0.014
greenhouse	B1	bio1	tp1	efrfls2cerk1	tech3	1	efrfls2cerk1_tp1a	0.012
greenhouse	B1	bio1	tp1	efrfls2cerk1	tech3	2	efrfls2cerk1_tp1a	0.028
greenhouse	B1	bio1	tp1	efrfls2cerk1	tech3	3	efrfls2cerk1_tp1a	0.029
greenhouse	B1	bio1	tp1	efrfls2cerk1	tech3	4	efrfls2cerk1_tp1a	0.025
greenhouse	B1	bio1	tp1	efrfls2cerk1	tech3	5	efrfls2cerk1_tp1a	0.026
greenhouse	B1	bio1	tp1	efrfls2cerk1	tech4	1	efrfls2cerk1_tp1a	0.023
greenhouse	B1	bio1	tp1	efrfls2cerk1	tech4	2	efrfls2cerk1_tp1a	0.018
greenhouse	B1	bio1	tp1	efrfls2cerk1	tech4	3	efrfls2cerk1_tp1a	0.033
greenhouse	B1	bio1	tp1	efrfls2cerk1	tech4	4	efrfls2cerk1_tp1a	0.027
greenhouse	B1	bio1	tp1	efrfls2cerk1	tech4	5	efrfls2cerk1_tp1a	0.012
greenhouse	B1	bio1	tp1	bak1bkk1	tech1	1	bak1bkk1_tp1a	0.011
greenhouse	B1	bio1	tp1	bak1bkk1	tech1	2	bak1bkk1_tp1a	0.013
greenhouse	B1	bio1	tp1	bak1bkk1	tech1	3	bak1bkk1_tp1a	0.01
greenhouse	B1	bio1	tp1	bak1bkk1	tech1	4	bak1bkk1_tp1a	0.01
greenhouse	B1	bio1	tp1	bak1bkk1	tech1	5	bak1bkk1_tp1a	0.011
greenhouse	B1	bio1	tp1	bak1bkk1	tech2	1	bak1bkk1_tp1a	0.007
greenhouse	B1	bio1	tp1	bak1bkk1	tech2	2	bak1bkk1_tp1a	0.008
greenhouse	B1	bio1	tp1	bak1bkk1	tech2	3	bak1bkk1_tp1a	0.007
greenhouse	B1	bio1	tp1	bak1bkk1	tech2	4	bak1bkk1_tp1a	0.007
greenhouse	B1	bio1	tp1	bak1bkk1	tech2	5	bak1bkk1_tp1a	0.008
greenhouse	B1	bio1	tp1	bak1bkk1	tech3	1	bak1bkk1_tp1a	0.003
greenhouse	B1	bio1	tp1	bak1bkk1	tech3	2	bak1bkk1_tp1a	0.001
greenhouse	B1	bio1	tp1	bak1bkk1	tech3	3	bak1bkk1_tp1a	0.002
greenhouse	B1	bio1	tp1	bak1bkk1	tech3	4	bak1bkk1_tp1a	0.003
greenhouse	B1	bio1	tp1	bak1bkk1	tech3	5	bak1bkk1_tp1a	0.003
greenhouse	B1	bio1	tp1	bak1bkk1	tech4	1	bak1bkk1_tp1a	0.006
greenhouse	B1	bio1	tp1	bak1bkk1	tech4	2	bak1bkk1_tp1a	0.009
greenhouse	B1	bio1	tp1	bak1bkk1	tech4	3	bak1bkk1_tp1a	0.009
greenhouse	B1	bio1	tp1	bak1bkk1	tech4	4	bak1bkk1_tp1a	0.012
greenhouse	B1	bio1	tp1	bak1bkk1	tech4	5	bak1bkk1_tp1a	0.01
greenhouse	B1	bio1	tp1	cyp79b2b3	tech1	1	cyp79b2b3_tp1a	0.01
greenhouse	B1	bio1	tp1	cyp79b2b3	tech1	2	cyp79b2b3_tp1a	0.002
greenhouse	B1	bio1	tp1	cyp79b2b3	tech1	3	cyp79b2b3_tp1a	0.006
greenhouse	B1	bio1	tp1	cyp79b2b3	tech1	4	cyp79b2b3_tp1a	
greenhouse	B1	bio1	tp1	cyp79b2b3	tech1	5	cyp79b2b3_tp1a	
greenhouse	B1	bio1	tp1	cyp79b2b3	tech2	1	cyp79b2b3_tp1a	0.01
greenhouse	B1	bio1	tp1	cyp79b2b3	tech2	2	cyp79b2b3_tp1a	0.011
greenhouse	B1	bio1	tp1	cyp79b2b3	tech2	3	cyp79b2b3_tp1a	0.013
greenhouse	B1	bio1	tp1	cyp79b2b3	tech2	4	cyp79b2b3_tp1a	0.018
greenhouse	B1	bio1	tp1	cyp79b2b3	tech2	5	cyp79b2b3_tp1a	0.02
greenhouse	B1	bio1	tp1	cyp79b2b3	tech3	1	cyp79b2b3_tp1a	0.008
greenhouse	B1	bio1	tp1	cyp79b2b3	tech3	2	cyp79b2b3_tp1a	0.01
greenhouse	B1	bio1	tp1	cyp79b2b3	tech3	3	cyp79b2b3_tp1a	0.011
greenhouse	B1	bio1	tp1	cyp79b2b3	tech3	4	cyp79b2b3_tp1a	0.012
greenhouse	B1	bio1	tp1	cyp79b2b3	tech3	5	cyp79b2b3_tp1a	0.008
greenhouse	B1	bio1	tp1	cyp79b2b3	tech4	1	cyp79b2b3_tp1a	
greenhouse	B1	bio1	tp1	cyp79b2b3	tech4	2	cyp79b2b3_tp1a	
