barcode_name	location	library	experiment	biological	time_point	genotype	compartment	technical	library_type	genotype_compartment	genotype_time_point	compartment_time_point	genotype_compartment_time_point	experiment_biological	Description
Gr1B1bio1tp1WTendophytestech2	B5_1	greenhouse	Gr1	B1	bio1	tp1	WT	endophytes	tech2	bacteria	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio1	Gr1B1bio1t1WTendophytestech2
Gr1B1bio1tp1WTendophytestech3	B5_2	greenhouse	Gr1	B1	bio1	tp1	WT	endophytes	tech3	bacteria	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio1	Gr1B1bio1t1WTendophytestech3
Gr1B1bio1tp1WTendophytestech4	B5_3	greenhouse	Gr1	B1	bio1	tp1	WT	endophytes	tech4	bacteria	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio1	Gr1B1bio1t1WTendophytestech4
Gr1B1bio1tp1wrkyendophytestech1	B5_8	greenhouse	Gr1	B1	bio1	tp1	wrky3340	endophytes	tech1	bacteria	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio1	Gr1B1bio1t1wrkyendophytestech1
Gr1B1bio1tp1wrkyendophytestech2	B5_9	greenhouse	Gr1	B1	bio1	tp1	wrky3340	endophytes	tech2	bacteria	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio1	Gr1B1bio1t1wrkyendophytestech2
Gr1B1bio1tp1wrkyendophytestech3	B5_10	greenhouse	Gr1	B1	bio1	tp1	wrky3340	endophytes	tech3	bacteria	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio1	Gr1B1bio1t1wrkyendophytestech3
Gr1B1bio1tp1wrkyendophytestech4	B5_11	greenhouse	Gr1	B1	bio1	tp1	wrky3340	endophytes	tech4	bacteria	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio1	Gr1B1bio1t1wrkyendophytestech4
Gr1B1bio1tp1efcendophytestech1	B5_12	greenhouse	Gr1	B1	bio1	tp1	efc	endophytes	tech1	bacteria	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio1	Gr1B1bio1t1efcendophytestech1
Gr1B1bio1tp1efcendophytestech2	B5_13	greenhouse	Gr1	B1	bio1	tp1	efc	endophytes	tech2	bacteria	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio1	Gr1B1bio1t1efcendophytestech2
Gr1B1bio1tp1efcendophytestech3	B5_14	greenhouse	Gr1	B1	bio1	tp1	efc	endophytes	tech3	bacteria	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio1	Gr1B1bio1t1efcendophytestech3
Gr1B1bio1tp1efcendophytestech4	B5_15	greenhouse	Gr1	B1	bio1	tp1	efc	endophytes	tech4	bacteria	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio1	Gr1B1bio1t1efcendophytestech4
Gr1B1bio1tp1bbendophytestech1	B5_16	greenhouse	Gr1	B1	bio1	tp1	bb	endophytes	tech1	bacteria	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio1	Gr1B1bio1t1bbendophytestech1
Gr1B1bio1tp1bbendophytestech2	B5_17	greenhouse	Gr1	B1	bio1	tp1	bb	endophytes	tech2	bacteria	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio1	Gr1B1bio1t1bbendophytestech2
