barcode_name	library	experiment	biological	time_point	genotype	compartment	technical	library_type	genotype_compartment	genotype_time_point	compartment_time_point	genotype_compartment_time_point	experiment_biological	Description
Gr1B1bio1tp1WTendophytestech2	ITS1_1	GR1	B1	bio1	tp1	WT	endophytes	tech2	fungi	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio1	Gr1B1bio1tp1WTendophytestech2
Gr1B1bio1tp1WTendophytestech3	ITS1_2	GR1	B1	bio1	tp1	WT	endophytes	tech3	fungi	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio1	Gr1B1bio1tp1WTendophytestech3
Gr1B1bio1tp1WTendophytestech4	ITS1_3	GR1	B1	bio1	tp1	WT	endophytes	tech4	fungi	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio1	Gr1B1bio1tp1WTendophytestech4
Gr1B1bio1tp1wrkyendophytestech1	ITS1_8	GR1	B1	bio1	tp1	wrky3340	endophytes	tech1	fungi	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio1	Gr1B1bio1tp1wrkyendophytestech1
Gr1B1bio1tp1wrkyendophytestech2	ITS1_9	GR1	B1	bio1	tp1	wrky3340	endophytes	tech2	fungi	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio1	Gr1B1bio1tp1wrkyendophytestech2
Gr1B1bio1tp1wrkyendophytestech3	ITS1_10	GR1	B1	bio1	tp1	wrky3340	endophytes	tech3	fungi	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio1	Gr1B1bio1tp1wrkyendophytestech3
Gr1B1bio1tp1wrkyendophytestech4	ITS1_11	GR1	B1	bio1	tp1	wrky3340	endophytes	tech4	fungi	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio1	Gr1B1bio1tp1wrkyendophytestech4
Gr1B1bio1tp1efcendophytestech1	ITS1_12	GR1	B1	bio1	tp1	efc	endophytes	tech1	fungi	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio1	Gr1B1bio1tp1efcendophytestech1
Gr1B1bio1tp1efcendophytestech2	ITS1_13	GR1	B1	bio1	tp1	efc	endophytes	tech2	fungi	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio1	Gr1B1bio1tp1efcendophytestech2
Gr1B1bio1tp1efcendophytestech3	ITS1_14	GR1	B1	bio1	tp1	efc	endophytes	tech3	fungi	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio1	Gr1B1bio1tp1efcendophytestech3
Gr1B1bio1tp1efcendophytestech4	ITS1_15	GR1	B1	bio1	tp1	efc	endophytes	tech4	fungi	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio1	Gr1B1bio1tp1efcendophytestech4
Gr1B1bio1tp1bbendophytestech1	ITS1_16	GR1	B1	bio1	tp1	bb	endophytes	tech1	fungi	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio1	Gr1B1bio1tp1bbendophytestech1
Gr1B1bio1tp1bbendophytestech2	ITS1_17	GR1	B1	bio1	tp1	bb	endophytes	tech2	fungi	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio1	Gr1B1bio1tp1bbendophytestech2
Gr1B1bio1tp1bbendophytestech3	ITS1_18	GR1	B1	bio1	tp1	bb	endophytes	tech3	fungi	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio1	Gr1B1bio1tp1bbendophytestech3
Gr1B1bio1tp1bbendophytestech4	ITS1_19	GR1	B1	bio1	tp1	bb	endophytes	tech4	fungi	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio1	Gr1B1bio1tp1bbendophytestech4
Gr1B1bio1tp1cyp79endophytestech1	ITS1_20	GR1	B1	bio1	tp1	cyp79	endophytes	tech1	fungi	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio1	Gr1B1bio1tp1cyp79endophytestech1
Gr1B1bio1tp1cyp79endophytestech2	ITS1_21	GR1	B1	bio1	tp1	cyp79	endophytes	tech2	fungi	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio1	Gr1B1bio1tp1cyp79endophytestech2
Gr1B1bio1tp1cyp79endophytestech3	ITS1_22	GR1	B1	bio1	tp1	cyp79	endophytes	tech3	fungi	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio1	Gr1B1bio1tp1cyp79endophytestech3
Gr1B1bio1tp1depsendophytestech1	ITS1_23	GR1	B1	bio1	tp1	deps	endophytes	tech1	fungi	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio1	Gr1B1bio1tp1depsendophytestech1
Gr1B1bio1tp1depsendophytestech2	ITS1_24	GR1	B1	bio1	tp1	deps	endophytes	tech2	fungi	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio1	Gr1B1bio1tp1depsendophytestech2
Gr1B1bio1tp1depsendophytestech3	ITS1_25	GR1	B1	bio1	tp1	deps	endophytes	tech3	fungi	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio1	Gr1B1bio1tp1depsendophytestech3
Gr1B1bio1tp1depsendophytestech4	ITS1_26	GR1	B1	bio1	tp1	deps	endophytes	tech4	fungi	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio1	Gr1B1bio1tp1depsendophytestech4
Gr1B1bio1tp1pad4endophytestech1	ITS1_31	GR1	B1	bio1	tp1	pad4	endophytes	tech1	fungi	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio1	Gr1B1bio1tp1pad4endophytestech1
Gr1B1bio1tp1pad4endophytestech2	ITS1_32	GR1	B1	bio1	tp1	pad4	endophytes	tech2	fungi	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio1	Gr1B1bio1tp1pad4endophytestech2
