experiment,genotype,ITS_UBQ_ref,ITS_UBQ_ref_norm,experimentgenotype
B1,bb,10.04170685,61.2672779133618,B1bb
B1,bb,0.112898934,0.688828151311776,B1bb
B1,bb,0.637982979,3.89251359975595,B1bb
B1,bb,2.617497811,15.9700903660769,B1bb
B1,bb,0.025283537,0.15426197071385,B1bb
B1,bb,0.117708837,0.718174722391702,B1bb
B1,bb,0.169733155,1.03558971934106,B1bb
B1,bb,0.013073318,0.07976399023795,B1bb
B1,bb,0.02126478,0.12974240390482,B1bb
B1,bb,0.970020596,5.91836849298353,B1bb
B1,bb,0.098812856,0.602885027455766,B1bb
B1,bb,0.010526856,0.0642273093349603,B1bb
B1,cyp79,5.15395363,31.4457207443563,B1cyp79
B1,cyp79,0.059407189,0.362459969493594,B1cyp79
B1,cyp79,0.094353346,0.575676302623551,B1cyp79
B1,cyp79,0.021464418,0.130960451494814,B1cyp79
B1,cyp79,0.16853709,1.02829219035998,B1cyp79
B1,cyp79,0.243093862,1.48318402684564,B1cyp79
B1,cyp79,1.86700717,11.3911358755339,B1cyp79
B1,cyp79,0.623786781,3.80589860280659,B1cyp79
B1,cyp79,0.020724885,0.126448352654057,B1cyp79
B1,cyp79,0.005219341,0.0318446674801708,B1cyp79
B1,cyp79,0.199473828,1.21704593044539,B1cyp79
B1,deps,0.02719442,0.165920805369128,B1deps
B1,deps,0.017243931,0.105210073215375,B1deps
B1,deps,0.283577815,1.73018801098231,B1deps
B1,deps,0.320434008,1.95505801098231,B1deps
B1,deps,0.350030968,2.13563738865162,B1deps
B1,deps,0.03736875,0.227997254423429,B1deps
B1,deps,0.051671527,0.315262519829164,B1deps
B1,deps,0.770304969,4.69984727882855,B1deps
B1,deps,0.278256439,1.69772079926785,B1deps
B1,deps,0.010242504,0.0624923978035387,B1deps
B1,deps,0.005802976,0.0354055887736425,B1deps
B1,deps,0.004900664,0.0299003294691885,B1deps
B1,efc,0.718840085,4.38584554606467,B1efc
B1,efc,0.377753556,2.30478069554606,B1efc
B1,efc,0.01867426,0.113936912751678,B1efc
B1,efc,0.04637841,0.282967724222087,B1efc
B1,efc,2.113479582,12.8949333862111,B1efc
B1,efc,0.284360111,1.73496101891397,B1efc
B1,efc,0.260180745,1.58743590604027,B1efc
B1,efc,0.005306714,0.032377754728493,B1efc
B1,efc,0.002922677,0.0178320744356315,B1efc
B1,efc,0.00573388,0.0349840146430751,B1efc
B1,efc,0.002143545,0.0130783709579012,B1efc
B1,efc,0.32229858,1.96643428920073,B1efc
B1,pad4,0.067426338,0.411387053081147,B1pad4
B1,pad4,0.017150082,0.104637474069555,B1pad4
B1,pad4,0.022368401,0.136475906040268,B1pad4
B1,pad4,0.033177858,0.202427443563148,B1pad4
B1,pad4,0.048009744,0.292920951799878,B1pad4
B1,pad4,0.055900069,0.341062043929225,B1pad4
B1,pad4,0.032320356,0.197195582672361,B1pad4
B1,pad4,0.035553908,0.216924392922514,B1pad4
B1,pad4,0.062713452,0.382632410006101,B1pad4
B1,pad4,0.0098512,0.0601049420378279,B1pad4
B1,pad4,0.591178059,3.60694361805979,B1pad4
B1,pad4,0.270308095,1.64922571690055,B1pad4
B1,rar1,1.596839015,9.74276397193411,B1rar1
B1,rar1,0.049803194,0.303863294691885,B1rar1
B1,rar1,0.26774831,1.63360774862721,B1rar1
B1,rar1,0.048688784,0.297063965832825,B1rar1
B1,rar1,0.003472462,0.0211864673581452,B1rar1
B1,rar1,0.433348483,2.64398098230628,B1rar1
B1,rar1,0.023409964,0.142830774862721,B1rar1
B1,rar1,0.233847568,1.42676978645516,B1rar1
B1,rar1,0.458911095,2.7999456680903,B1rar1
B1,rar1,0.008208978,0.050085283709579,B1rar1
B1,rar1,0.402738248,2.45721932885906,B1rar1
B1,rar1,0.019340715,0.118003142159854,B1rar1
B1,wrky,0.761064913,4.64347109823063,B1wrky
B1,wrky,0.033443849,0.204050329469189,B1wrky
B1,wrky,0.288253459,1.75871543014033,B1wrky
B1,wrky,0.04147021,0.253021415497254,B1wrky
B1,wrky,0.11006724,0.671551189749848,B1wrky
B1,wrky,0.602412911,3.67549061012813,B1wrky
B1,wrky,0.229513317,1.40032530201342,B1wrky
