	barcode_name	library	experiment	biological	microbes	genotype	technical	compartment	library_type	genotype_compartment	genotype_microbes	compartment_microbes	genotype_compartment_microbes	growth_promotion	experiment_biological	genotype_experiment_biological	genotype_biological	exp_bio_gen_microbes_tech	Description
FP3A41BFO35SBRI1endophytesfungi	ITS1_37	FP3	A4	bio1	BFO	35SBRI	tech1	endophytes	fungi	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio1	35SBRI_A4_bio1	35SBRI_bio1	A4_bio1_35SBRI_BFO_tech1	FP3A41BFO35SBRI1endophytesfungi
FP3A41BFO35SBRI2endophytesfungi	ITS1_38	FP3	A4	bio1	BFO	35SBRI	tech2	endophytes	fungi	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio1	35SBRI_A4_bio1	35SBRI_bio1	A4_bio1_35SBRI_BFO_tech2	FP3A41BFO35SBRI2endophytesfungi
FP3A41BFO35SBRI3endophytesfungi	ITS1_39	FP3	A4	bio1	BFO	35SBRI	tech3	endophytes	fungi	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio1	35SBRI_A4_bio1	35SBRI_bio1	A4_bio1_35SBRI_BFO_tech3	FP3A41BFO35SBRI3endophytesfungi
FP3A41BFO35SBRI4endophytesfungi	ITS1_40	FP3	A4	bio1	BFO	35SBRI	tech4	endophytes	fungi	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio1	35SBRI_A4_bio1	35SBRI_bio1	A4_bio1_35SBRI_BFO_tech4	FP3A41BFO35SBRI4endophytesfungi
FP3A42BFO35SBRI1endophytesfungi	ITS1_83	FP3	A4	bio2	BFO	35SBRI	tech1	endophytes	fungi	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio2	35SBRI_A4_bio2	35SBRI_bio2	A4_bio2_35SBRI_BFO_tech1	FP3A42BFO35SBRI1endophytesfungi
FP3A42BFO35SBRI2endophytesfungi	ITS1_84	FP3	A4	bio2	BFO	35SBRI	tech2	endophytes	fungi	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio2	35SBRI_A4_bio2	35SBRI_bio2	A4_bio2_35SBRI_BFO_tech2	FP3A42BFO35SBRI2endophytesfungi
FP3A42BFO35SBRI3endophytesfungi	ITS1_85	FP3	A4	bio2	BFO	35SBRI	tech3	endophytes	fungi	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio2	35SBRI_A4_bio2	35SBRI_bio2	A4_bio2_35SBRI_BFO_tech3	FP3A42BFO35SBRI3endophytesfungi
FP3A42BFO35SBRI4endophytesfungi	ITS1_86	FP3	A4	bio2	BFO	35SBRI	tech4	endophytes	fungi	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio2	35SBRI_A4_bio2	35SBRI_bio2	A4_bio2_35SBRI_BFO_tech4	FP3A42BFO35SBRI4endophytesfungi
FP4A44BFO35SBRI1endophytesfungi	ITS1_33	FP4	A4	bio4	BFO	35SBRI	tech1	endophytes	fungi	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio4	35SBRI_A4_bio4	35SBRI_bio4	A4_bio4_35SBRI_BFO_tech1	FP4A44BFO35SBRI1endophytesfungi
FP4A44BFO35SBRI2endophytesfungi	ITS1_34	FP4	A4	bio4	BFO	35SBRI	tech2	endophytes	fungi	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio4	35SBRI_A4_bio4	35SBRI_bio4	A4_bio4_35SBRI_BFO_tech2	FP4A44BFO35SBRI2endophytesfungi
FP4A44BFO35SBRI3endophytesfungi	ITS1_35	FP4	A4	bio4	BFO	35SBRI	tech3	endophytes	fungi	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio4	35SBRI_A4_bio4	35SBRI_bio4	A4_bio4_35SBRI_BFO_tech3	FP4A44BFO35SBRI3endophytesfungi
FP4A44BFO35SBRI4endophytesfungi	ITS1_36	FP4	A4	bio4	BFO	35SBRI	tech4	endophytes	fungi	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio4	35SBRI_A4_bio4	35SBRI_bio4	A4_bio4_35SBRI_BFO_tech4	FP4A44BFO35SBRI4endophytesfungi
FP3A41BFOapex11endophytesfungi	ITS1_21	FP3	A4	bio1	BFO	apex1	tech1	endophytes	fungi	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio1	apex1_A4_bio1	apex1_bio1	A4_bio1_apex1_BFO_tech1	FP3A41BFOapex11endophytesfungi
FP3A41BFOapex12endophytesfungi	ITS1_22	FP3	A4	bio1	BFO	apex1	tech2	endophytes	fungi	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio1	apex1_A4_bio1	apex1_bio1	A4_bio1_apex1_BFO_tech2	FP3A41BFOapex12endophytesfungi
FP3A41BFOapex13endophytesfungi	ITS1_23	FP3	A4	bio1	BFO	apex1	tech3	endophytes	fungi	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio1	apex1_A4_bio1	apex1_bio1	A4_bio1_apex1_BFO_tech3	FP3A41BFOapex13endophytesfungi
FP3A41BFOapex14endophytesfungi	ITS1_24	FP3	A4	bio1	BFO	apex1	tech4	endophytes	fungi	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio1	apex1_A4_bio1	apex1_bio1	A4_bio1_apex1_BFO_tech4	FP3A41BFOapex14endophytesfungi
