FP1A1bio2BFOrar1tech3endophytesfungi	FP1A1bio2nowrky3340tech1endophytesfungi	FP1A1bio1BFOsoiltech3soilfungi	FP1A1bio2BFOdepstech3endophytesfungi	FP1A1bio2BFOwrky3340tech3endophytesfungi	FP1A1bio2BFOpad4tech2endophytesfungi	FP1A1bio2BFOWTtech2endophytesfungi	FP1A1bio2BFOdepstech1endophytesfungi	FP1A1bio1BFObak1bkk1tech2endophytesfungi	FP1A1bio2noWTtech1endophytesfungi	FP1A1bio1BFOpad4tech3endophytesfungi	FP1A1bio2BFObak1bkk1tech3endophytesfungi	FP1A1bio1BFObak1bkk1tech3endophytesfungi	FP1A1bio2BFOcyp79b2b3tech3endophytesfungi	FP1A1bio1BFOrar1tech4endophytesfungi	FP1A1bio2BFOpad4tech3endophytesfungi	FP1A1bio2BFOefrfls2cerk1tech3endophytesfungi	FP1A1bio1BFOwrky3340tech2endophytesfungi	FP1A1bio2BFOcyp79b2b3tech1endophytesfungi	FP1A1bio1BFOefrfls2cerk1tech3endophytesfungi	FP1A1bio2BFOcyp79b2b3tech4endophytesfungi	FP1A1bio1BFOwrky3340tech1endophytesfungi	FP1A1bio2BFOefrfls2cerk1tech4endophytesfungi	FP1A1bio1BFOWTtech2endophytesfungi	FP1A1bio2BFOefrfls2cerk1tech1endophytesfungi	FP1A1bio1BFOefrfls2cerk1tech2endophytesfungi	FP1A1bio2BFObak1bkk1tech4endophytesfungi	FP1A1bio1BFOdepstech3endophytesfungi	FP1A1bio2BFOrar1tech2endophytesfungi	FP1A1bio2BFOcyp79b2b3tech2endophytesfungi	FP1A1bio2BFOwrky3340tech4endophytesfungi	FP1A1bio2BFOwrky3340tech1endophytesfungi	FP1A1bio1BFOWTtech3endophytesfungi	FP1A1bio2BFOwrky3340tech2endophytesfungi	FP1A1bio1BFOrar1tech1endophytesfungi	FP1A1bio1BFOrar1tech2endophytesfungi	FP1A1bio1BFOsoiltech1soilfungi	FP1A1bio1BFOcyp79b2b3tech4endophytesfungi	FP1A1bio2BFOefrfls2cerk1tech2endophytesfungi	FP1A1bio2BFOWTtech3endophytesfungi	FP1A1bio1BFOWTtech4endophytesfungi	FP1A1bio1BFObak1bkk1tech4endophytesfungi	FP1A1bio1BFOdepstech4endophytesfungi	FP1A1bio2BFOWTtech4endophytesfungi	FP1A1bio1BFOsoiltech4soilfungi	FP1A1bio1BFOcyp79b2b3tech2endophytesfungi	FP1A1bio1BFOrar1tech3endophytesfungi	FP1A1bio1BFObak1bkk1tech1endophytesfungi	FP1A1bio1BFOpad4tech1endophytesfungi	FP1A1bio1BFOpad4tech2endophytesfungi	FP1A1bio1BFOwrky3340tech3endophytesfungi	FP1A1bio2BFOdepstech2endophytesfungi	FP1A1bio2BFOdepstech4endophytesfungi	FP1A1bio1BFOWTtech1endophytesfungi	FP1A1bio1BFOwrky3340tech4endophytesfungi	FP1A1bio2BFObak1bkk1tech1endophytesfungi	FP1A1bio1BFOpad4tech4endophytesfungi	FP1A1bio1BFOsoiltech2soilfungi	FP1A1bio2BFOpad4tech1endophytesfungi	FP1A1bio2BFOWTtech1endophytesfungi	FP1A1bio2noefrfls2cerk1tech1endophytesfungi	FP1A1bio2BFOpad4tech4endophytesfungi	FP1A1bio1BFOcyp79b2b3tech3endophytesfungi	FP1A1bio2BFObak1bkk1tech2endophytesfungi	FP1A1bio1BFOefrfls2cerk1tech4endophytesfungi	FP1A1bio1nowrky3340tech2endophytesfungi	FP1A1bio1BFOcyp79b2b3tech1endophytesfungi	FP1A1bio1BFOdepstech1endophytesfungi	FP1A1bio1BFOdepstech2endophytesfungi	FP1A1bio1noWTtech1endophytesfungi	FP1A1bio1norar1tech2endophytesfungi	FP1A1bio1nodepstech1endophytesfungi	FP1A1bio1noefrfls2cerk1tech1endophytesfungi	FP1A1bio1nocyp79b2b3tech2endophytesfungi	FP1A1bio1BFOefrfls2cerk1tech1endophytesfungi	FP1A1bio1nosoiltech1soilfungi	FP1A1bio1nobak1bkk1tech3endophytesfungi	FP2A1bio4BFOwrky3340tech1endophytesfungi	FP2A1bio4BFOwrky3340tech3endophytesfungi	FP2A1bio4BFOcyp79b2b3tech3endophytesfungi	FP2A1bio4BFObak1bkk1tech2endophytesfungi	FP2A1bio4BFOdepstech3endophytesfungi	FP2A1bio4BFOWTtech1endophytesfungi	FP2A1bio4BFOefrfls2cerk1tech3endophytesfungi	FP2A1bio2initialinitialtech3initialfungi	FP2A1bio4BFObak1bkk1tech1endophytesfungi	FP2A1bio4initialinitialtech2initialfungi	FP2A1bio4BFObak1bkk1tech3endophytesfungi	FP2A1bio4BFOwrky3340tech2endophytesfungi	FP2A1bio4BFOrar1tech1endophytesfungi	FP2A1bio4BFOWTtech3endophytesfungi	FP2A1bio4BFOwrky3340tech4endophytesfungi	FP2A1bio4BFOsoiltech2soilfungi	FP2A1bio4BFOdepstech4endophytesfungi	FP2A1bio4BFOsoiltech1soilfungi	FP2A1bio4BFObak1bkk1tech4endophytesfungi	FP2A1bio2BFOsoiltech3soilfungi	FP2A1bio4BFOpad4tech4endophytesfungi	FP2A1bio4BFOrar1tech2endophytesfungi	FP2A1bio4BFOefrfls2cerk1tech1endophytesfungi	FP2A1bio1initialinitialtech1initialfungi	FP2A1bio4BFOpad4tech3endophytesfungi	FP2A1bio4BFOcyp79b2b3tech2endophytesfungi	FP2A1bio2BFOsoiltech2soilfungi	FP2A1bio4BFOefrfls2cerk1tech2endophytesfungi	FP2A1bio4BFOpad4tech2endophytesfungi	FP2A1bio4initialinitialtech1initialfungi	FP2A1bio4BFOsoiltech3soilfungi	FP2A1bio4BFOcyp79b2b3tech1endophytesfungi	FP2A1bio2BFOsoiltech4soilfungi	FP2A1bio4BFOrar1tech3endophytesfungi	FP2A1bio4BFOsoiltech4soilfungi	FP2A1bio2BFOsoiltech1soilfungi	FP2A1bio2BFOrar1tech1endophytesfungi	FP2A1bio4BFOrar1tech4endophytesfungi	FP2A1bio1initialinitialtech2initialfungi	FP2A1bio4BFOpad4tech1endophytesfungi	FP2A1bio4BFOdepstech2endophytesfungi	FP2A1bio4initialinitialtech3initialfungi	FP2A1bio4BFOefrfls2cerk1tech4endophytesfungi	FP2A1bio4BFOdepstech1endophytesfungi	FP2A1bio4BFOWTtech2endophytesfungi	FP2A1bio2initialinitialtech1initialfungi	FP2A1bio1initialinitialtech3initialfungi	FP2A1bio2initialinitialtech2initialfungi	FP3A41BFObak1bkk1cerk13endophytesfungi	FP3A41BFOsoil3soilfungi	FP3A41BFOlyk51endophytesfungi	FP3A42BFOapex14endophytesfungi	FP3A41BFOlyk53endophytesfungi	FP3A43BFOWTnew1endophytesfungi	FP3A41BFOwrky331endophytesfungi	FP3A42BFOcyp79b2b3new3endophytesfungi	FP3A42BFOlyk52endophytesfungi	FP3A41BFOapex32endophytesfungi	FP3A42BFOapex11endophytesfungi	FP3A42BFOsoil3soilfungi	FP3A41BFObri3014endophytesfungi	FP3A41BFOwrky333endophytesfungi	FP3A42BFOapex24endophytesfungi	FP3A43BFOWTnew3endophytesfungi	FP3A41BFO35SBRI4endophytesfungi	FP3A41BFOapex24endophytesfungi	FP3A42BFOcyp79b2b3new2endophytesfungi	FP3A41BFOcyp79b2b3new4endophytesfungi	FP3A42BFOapex23endophytesfungi	FP3A41BFOapex14endophytesfungi	FP3A41BFOwrky334endophytesfungi	FP3A42BFOsoil5soilfungi	FP3A42BFOwrky331endophytesfungi	FP3A42BFOlyk53endophytesfungi	FP3A42BFO35SBRI3endophytesfungi	FP3A41BFObri3012endophytesfungi	FP3A42BFObri3014endophytesfungi	FP3A42BFObri3013endophytesfungi	FP3A42BFOcyp79b2b3new1endophytesfungi	FP3A41BFOcyp79b2b3new3endophytesfungi	FP3A41BFOlyk52endophytesfungi	FP3A41BFObak1bkk1cerk14endophytesfungi	FP3A42BFOwrky332endophytesfungi	FP3A41BFOcyp79b2b3new1endophytesfungi	FP3A41BFO35SBRI3endophytesfungi	FP3A42BFOapex31endophytesfungi	FP3A42BFOWTnew3endophytesfungi	FP3A42BFOlyk54endophytesfungi	FP3A41BFOapex12endophytesfungi	FP3A42BFOapex34endophytesfungi	FP3A42BFObri3011endophytesfungi	FP3A42BFOapex21endophytesfungi	FP3A41BFOapex23endophytesfungi	FP3A42BFOWTnew2endophytesfungi	FP3A42BFOapex22endophytesfungi	FP3A42BFOsoil4soilfungi	FP3A41BFOapex21endophytesfungi	FP3A42BFObak1bkk1cerk12endophytesfungi	FP3A42BFOapex32endophytesfungi	FP3A42BFO35SBRI2endophytesfungi	FP3A42BFOapex13endophytesfungi	FP3A42BFOapex33endophytesfungi	FP3A41BFOWTnew3endophytesfungi	FP3A41BFOapex22endophytesfungi	FP3A43BFOWTnew4endophytesfungi	FP3A42BFOWTnew4endophytesfungi	FP3A41BFO35SBRI1endophytesfungi	FP3A42BFOlyk51endophytesfungi	FP3A41BFOsoil6soilfungi	FP3A42BFOsoil2soilfungi	FP3A42BFO35SBRI4endophytesfungi	FP3A41BFObri3013endophytesfungi	FP3A41BFOWTnew4endophytesfungi	FP3A41BFOapex31endophytesfungi	FP3A42BFOsoil6soilfungi	FP3A41BFOwrky332endophytesfungi	FP3A41BFOWTnew1endophytesfungi	FP3A42BFOapex12endophytesfungi	FP3A41BFObak1bkk1cerk11endophytesfungi	FP3A41BFOsoil5soilfungi	FP3A42BFObak1bkk1cerk13endophytesfungi	FP3A41BFOapex13endophytesfungi	FP3A42BFO35SBRI1endophytesfungi	FP3A41BFOapex11endophytesfungi	FP3A41BFObri3011endophytesfungi	FP3A41BFOapex34endophytesfungi	FP3A42BFOwrky334endophytesfungi	FP3A41BFOapex33endophytesfungi	FP3A41BFOlyk54endophytesfungi	FP3A42BFOsoil1soilfungi	FP3A42BFOwrky333endophytesfungi	FP3A42BFObak1bkk1cerk11endophytesfungi	FP3A41BFO35SBRI2endophytesfungi	FP3A41BFObak1bkk1cerk12endophytesfungi	FP3A41BFOsoil4soilfungi	FP3A42BFObri3012endophytesfungi	FP3A43BFOWTnew2endophytesfungi	FP3A41BFOcyp79b2b3new2endophytesfungi	FP3A42BFObak1bkk1cerk14endophytesfungi	FP3A41BFOsoil1soilfungi	FP3A42BFOWTnew1endophytesfungi	FP3A42BFOcyp79b2b3new4endophytesfungi	FP3A41BFOsoil2soilfungi	FP3A41BFOWTnew2endophytesfungi	FP4A44BFO35SBRI3endophytesfungi	FP4A44BFOsoil2soilfungi	FP4A41initialinitial2initialfungi	FP4A41initialinitial1initialfungi	FP4A42initialinitial1initialfungi	FP4A44BFOapex21endophytesfungi	FP4A44BFOapex31endophytesfungi	FP4A41initialinitial3initialfungi	FP4A44BFOlyk52endophytesfungi	FP4A44BFOapex11endophytesfungi	FP4A44BFObri3014endophytesfungi	FP4A44BFOlyk51endophytesfungi	FP4A42initialinitial2initialfungi	FP4A44BFOwrky331endophytesfungi	FP4A44BFOsoil1soilfungi	FP4A44initialinitial3initialfungi	FP4A44BFObri3012endophytesfungi	FP4A44BFOcyp79b2b3new2endophytesfungi	FP4A44BFOapex14endophytesfungi	FP4A44BFOsoil4soilfungi	FP4A44BFObak1bkk1cerk13endophytesfungi	FP4A44initialinitial2initialfungi	FP4A44BFOapex12endophytesfungi	FP4A44BFOapex33endophytesfungi	FP4A44BFO35SBRI4endophytesfungi	FP4A44BFOwrky333endophytesfungi	FP4A44BFO35SBRI2endophytesfungi	FP4A42initialinitial3initialfungi	FP4A44BFOcyp79b2b3new1endophytesfungi	FP4A44initialinitial1initialfungi	FP4A44BFObri3013endophytesfungi	FP4A44BFOapex22endophytesfungi	FP4A44BFObri3011endophytesfungi	FP4A44BFOwrky332endophytesfungi	FP4A44BFOcyp79b2b3new4endophytesfungi	FP4A44BFOlyk53endophytesfungi	FP4A44BFObak1bkk1cerk14endophytesfungi	FP4A44BFOlyk54endophytesfungi	FP4A44BFOapex24endophytesfungi	FP4A66BFOsoil6soilfungi	FP4A44BFOapex23endophytesfungi	FP4A44BFO35SBRI1endophytesfungi	FP4A55BFOsoil5soilfungi	FP4A44BFOapex13endophytesfungi	FP4A44BFOapex34endophytesfungi	FP4A44BFOsoil3soilfungi	FP4A44BFOwrky334endophytesfungi	FP4A44BFObak1bkk1cerk12endophytesfungi	FP4A44BFObak1bkk1cerk11endophytesfungi	FP4A44BFOapex32endophytesfungi	FP4A44BFOcyp79b2b3new3endophytesfungi
010_mine	44684	6407	43014	35072	59297	50298	54078	53866	36457	17012	33682	39932	51729	14917	36979	35167	50769	33669	40788	21601	34416	53677	38308	19803	42323	29593	46617	36197	51646	52889	38200	44365	39845	62727	37939	43648	37101	21035	29794	52829	46382	21278	41971	47054	36736	19579	30749	41917	16702	27858	24489	49893	23749	24766	28153	39415	31004	29562	24502	42814	6791	50518	32325	27707	17535	894	27261	17093	38152	895	264	283	191	560	56	44	21	49292	61704	47619	36063	29938	22334	48501	137	39208	9720	26754	32632	41472	45865	27097	36208	54207	43163	34706	19974	47413	57598	40193	13459	26079	44371	33320	41572	21350	4459	38744	48017	20271	19556	29599	22351	22737	42849	11141	23311	44939	3184	47240	55136	32347	559	648	288	21719	14781	649663	17794	28342	194743	13482	23307	324368	37381	16233	20395	435477	23288	33996	37517	13215	17116	20745	15287	31781	13241	38204	29152	24830	41415	52607	12653	23482	24865	25463	18801	35145	14382	30020	28990	23542	33223	37053	27457	22835	22536	14552	33540	26540	17331	19805	29452	19134	34542	33201	18476	25639	21207	41016	19800	10688	31906	21134	42410	18006	31382	22534	19791	18916	21580	31608	16513	26981	27106	17525	16967	29062	24872	20903	12966	12831	15786	27921	17241	21881	19347	23917	25882	10757	30682	23054	20431	25716	21229	22403	10298	23771	25930	11417	16912	28718	555715	20882	20501	16148	29558	34374	20475	11907	40787	30634	21640	14301	44307	23035	12005	29926	39434	16907	24688	49459	13459	34859	275397	15371	31552	30823	13125	53519	18010	25034	32426	22988	30332	39734	34497	44933	25357	35990	21046	14960	27270	40275	9518	36003	21954	22748	21490	19643	24498	18466
21	399	570	1377	90	272	408	73	148	703	1206	1104	671	624	0	420	233	549	873	411	855	27	182	181	401	434	647	487	120	351	525	763	485	1538	364	890	380	746	463	553	2710	766	436	65	212	572	28	443	844	160	930	343	366	294	504	243	281	359	165	334	913	549	238	274	258	877	12	126	199	425	0	0	0	0	0	2	0	0	74	314	1056	213	381	1114	1338	33	469	1549	238	264	742	664	454	5	359	15	535	545	0	535	379	4164	426	585	122	85	94	595	8	19	36	680	379	363	378	1113	2813	1803	203	121	267	89	640	20	206	26	772	300	673	28	58	1895	47	433	2035	1719	27	19	337568	34	52	1307	35	67	89	23	53	217	148	109	147	585	10	352	81	104	86	833	398	991	297	422	14	250	252	148	592	169	23	371	246	40	30	263	696	471	10	135	99	65	101	260	755	282	122	494	314	15	14	1854	578	390	8	182	5050	145	774	1	156	304	58	141	253	484	183	7	741	81	152	37	11	773	3	56	1821	48	65	31	146	9	38	371	22	11413	3888	2828	4046	161	388	2735	19	56	859	291	2086	780	55	946	285	3123	1156	1958	98	2432	229	4718	448	129	74	3138	1272	2916	175	3394	1058	642	379	733	161	1214	440	1012	260	520	173	1359	576	728	875	600	180	141	37
1	2977	210	3921	10747	1901	5528	2032	1950	1701	576	3006	3541	2951	1068	4507	2727	4674	4660	1994	5122	3283	2366	1317	1108	2724	1713	3880	4830	2504	6673	1223	5046	1861	4503	2158	1892	3692	664	2690	4066	1380	608	881	4613	4536	721	1557	2371	762	868	2919	2469	14036	2365	1444	5270	1346	2887	2448	3375	251	2915	1914	2611	1551	7	1181	648	1035	60	3	0	0	2	4	0	0	1397	1910	2968	2499	5906	1486	2758	58	2561	5728	2364	1422	5994	2479	2124	4954	2650	3591	1443	2794	1711	3099	4946	12762	1555	3979	4532	2898	1418	4454	5506	5363	3131	1787	6217	3460	992	6778	11060	3093	2484	2622	2343	2060	2905	466	404	192	542	1770	24716	195	13960	1918	315	560	14968	803	454	1142	18606	460	1570	244	1417	1269	725	451	508	1403	785	1429	209	796	1237	571	400	351	1025	344	934	922	254	1728	912	402	459	1000	1486	175	276	581	933	262	918	2098	1815	620	377	2158	624	503	1098	852	199	899	1440	697	1465	500	274	1003	744	1062	478	520	1493	481	781	1546	823	575	2753	408	861	367	590	524	1373	1150	310	103	2370	749	2613	300	63	9566	474	1459	796	265	1072	899	224	39507	9922	10114	3374	224	1196	6536	100	334	3618	603	3484	1458	654	2054	2907	4423	600	3711	287	2218	168	2565	409	124	474	3222	1515	3580	578	284	422	924	870	493	652	685	896	455	157	230	1752	1119	105	1039	1359	411	366	1075	214
134	305	58	850	53	270	599	62	855	2353	120	1202	719	970	0	1040	558	393	2191	1654	3709	50	332	268	802	980	1217	689	1717	458	2271	286	710	1745	420	1431	593	875	1345	305	623	1442	365	202	280	1320	59	811	1613	154	434	1522	143	461	1097	781	767	624	476	253	1499	57	293	1066	249	646	9	566	993	713	0	11	0	0	0	4	0	0	80	224	3055	317	322	518	913	29	214	1777	394	421	718	328	547	21	383	27	221	717	9	560	236	5417	147	589	126	158	177	486	16	68	20	389	436	344	138	987	4817	1258	270	260	321	55	752	225	270	104	398	232	145	19	34	1069	59	217	2749	173	62	20	8963	67	52	523	57	19	91	3	96	436	175	87	55	350	53	819	61	87	296	667	228	519	60	1076	49	112	41	178	479	27	27	164	325	29	61	641	835	152	37	61	75	26	37	167	57	123	192	187	245	22	42	497	512	211	5	272	261	243	317	6	210	285	235	50	151	142	125	13	864	87	36	27	84	279	19	113	153	212	144	33	148	3	33	142	5	11655	5184	5666	3263	228	574	4566	44	124	348	452	2969	94	87	2218	204	1675	69	1369	2367	3459	210	3001	571	171	222	2820	258	4498	1524	587	260	281	113	415	316	442	237	362	87	240	135	619	73	690	279	223	116	106	187
102_mine	14445	6732	18485	8649	14590	24644	10991	10665	18095	13146	15746	13036	18136	2318	45541	19809	16146	18815	17878	18751	16136	21611	8117	16666	12968	20837	13733	20441	12631	13111	7211	12737	26355	20679	22586	22245	16919	9693	13822	13965	20275	9267	17506	12187	18300	15692	18336	31043	7901	11800	16664	13467	12554	18460	10619	16230	17007	12158	11381	14400	6278	17402	13717	10732	15155	1764	15194	8989	11162	3507	910	113	304	425	53	27	57	8865	10022	11485	4761	11908	4775	9037	66	6544	7178	5452	9178	7182	7968	6732	9404	12234	10599	3255	10895	4597	7526	8768	10777	9295	6493	21654	8903	8236	2952	12260	12556	8229	3543	8515	14217	11483	9119	9489	7866	15298	3040	9388	11827	7128	474	768	228	4315	6441	125692	1278	7068	7025	5344	2087	111969	13005	2109	5445	193054	8428	5330	3585	2781	8477	822	7859	13236	5102	7997	4687	673	7139	2272	3131	4355	3694	4555	3924	4279	3644	3866	6213	4563	7161	2185	4506	9482	4984	2727	2234	6494	2241	7315	5593	6878	5017	5305	1430	2078	2529	10987	4432	1307	2467	6265	5033	4706	2313	1508	7747	7744	7187	2324	4434	8593	1592	5746	4188	2923	7192	3496	7916	3018	9308	1776	17410	4416	3524	1781	2909	4892	5498	9732	3650	1805	2962	4820	4883	1762	1414	4165	7931	1855	218325	9772	9742	6638	5137	6038	8602	12663	4498	7524	8910	7238	3401	9066	6345	5854	5171	4068	9702	3732	7396	2385	154360	2851	3663	4356	5595	4966	10990	2518	3049	2840	5937	3468	6011	10935	8516	6452	4030	5208	8411	11717	4548	1692	5990	2404	6610	2810	3104	4789
26	143	414	132	110	61	244	88	55	94	1013	91	534	173	0	312	176	88	208	155	77	19	35	90	69	108	159	242	253	206	195	50	218	290	178	147	63	74	22	69	560	114	22	39	116	133	98	156	66	31	84	95	34	151	300	56	191	30	54	225	142	376	249	27	84	35	7	18	64	25	0	0	0	0	0	1	0	0	488	629	888	427	418	116	666	0	506	590	380	309	1357	411	270	1380	709	376	416	221	314	467	526	656	271	707	64	462	312	135	1014	593	167	331	787	257	31	223	597	572	980	277	534	410	450	53	23	0	108	320	4115	209	197	21	96	270	5057	144	305	3331	8858	52	338	14	59	134	145	83	549	149	254	956	130	838	247	78	268	483	547	149	100	146	187	84	88	306	204	874	223	141	287	598	521	297	320	1459	384	788	189	351	294	228	190	482	56	404	99	614	184	2543	264	263	260	129	542	83	188	295	110	242	408	44	261	42	87	123	216	29	168	620	205	85	3270	196	201	265	206	356	471	176	323	162	124	137	0	2117	788	953	2304	20	24	705	0	9	1	25	1977	25	87	279	57	10	37	106	292	396	8	222	49	123	103	1954	11	668	0	12	11	4	0	103	126	100	34	35	0	20	41	15	67	57	17	17	41	34	0
104	99	2	5	17	133	4	1	138	684	0	1	54	806	0	43	1	280	85	2	24	2	18	4	3	1367	1536	24	46	0	209	251	220	5	41	11	19	467	2	33	0	2	5645	104	2	15	33	39	6	7	34	34	5	32	181	3	1	2	3	1	566	1	32	11	34	173	66	23	1334	419	15	0	6	5	0	0	0	1	2	1	3	2	0	0	1	0	2	276	4	0	1	2	47	1	4	1	0	39	0	2	7	887	1	5	34	1	0	23	3	3	25	5	72	242	169	96	686	3	152	11	7	2	2	29	37	21	29	25	5	8	0	13500	14	1	135	1	22	2	3089	1	3	2196	0	23	2	0	2	1	30	7	315	31	1	4	5	22	12	28	0	60	15	0	0	3	1	311	0	0	1	18	472	1	0	41	1	2	0	79	10	2	51	261	508	6	275	387	0	1	3	0	126	1	5	3	1	442	0	3	106	39	5	0	7	43	110	0	2	10	19	5	0	1	5	2	1237	0	0	1	6	0	4	383	629	3383	1163	1280	3551	416	8790	1008	2295	235	960	11520	2769	12	1561	983	871	4621	4377	1324	1886	2455	1484	116728	1822	238	10551	3276	1025	2141	530	269	1616	1534	705	2221	3852	3982	1283	762	925	4960	16	5526	2212	2390	8546	2566	165	1886	684
214_mine	4979	1120	4565	2476	2373	5330	4502	2273	3000	2124	4397	3969	2821	2119	4889	3554	3496	3452	3232	2728	4656	2423	1528	2147	4239	2428	3865	1482	3555	3349	1866	3666	3682	4834	2249	2506	3731	1400	2512	4342	2442	840	1091	6266	3692	4069	2373	3987	938	1985	2996	2950	2793	2492	1390	5094	2437	2894	4227	4976	1041	4208	2692	2942	2613	182	1142	1545	1736	353	34	12	10	58	3	17	27	5639	4311	2058	3674	2675	2641	5126	52	3762	2861	3445	3295	4655	1663	3047	15932	3251	7507	2421	2617	1835	3926	2976	3054	1454	2988	8200	3803	1377	2956	12623	5463	5518	1881	7533	3965	1227	3669	2465	4215	2889	2146	3168	4256	1899	254	231	44	2150	4427	112374	1671	3974	8450	1093	2139	47764	2866	2726	7164	53219	1509	4173	6674	3630	3076	1520	1809	3405	4420	2401	8136	632	6503	3748	1468	2612	3305	2219	1728	2328	2475	1525	2211	3545	3503	2190	5841	3372	1514	736	2851	2940	1852	2118	8403	4060	3180	1722	1647	2427	2093	3203	3565	2463	2304	3345	4545	5259	4709	2887	2453	3651	2717	5294	1001	3319	2064	2793	4446	1906	1675	2600	1077	2028	1480	2472	2483	3043	7091	1836	1513	2071	1625	5632	2312	2060	2117	1413	4115	2399	545	3207	3397	5274	306748	5604	5160	4797	3881	6158	4864	4368	3679	4938	4308	4734	2255	13325	2827	2453	5855	2310	10299	6654	3645	2743	26742	9226	1707	6844	3906	1954	5008	3125	3762	2779	4040	1538	9485	12373	4426	4383	5313	3111	2667	10883	3528	2226	11414	4802	3666	3068	4480	2267
241	47	0	60	31	18	79	12	28	216	0	136	294	112	0	138	90	76	164	183	322	2	23	42	495	106	106	153	49	26	18	53	80	173	17	194	189	91	54	26	121	74	33	20	9	111	6	62	83	8	27	93	77	79	225	128	65	63	26	113	125	2	16	111	35	20	16	13	44	84	0	0	0	0	0	0	0	0	1	35	24	24	19	43	26	1	29	98	17	20	131	41	24	0	39	1	12	298	0	24	7	923	14	60	26	14	29	0	0	6	4	78	33	59	58	75	678	399	4	42	29	0	69	17	8	0	201	91	1	0	2	43	20	0	15	290	1	1	4410	120	0	27	0	23	8	3	0	316	84	10	0	22	0	85	1	24	1	197	295	183	0	108	10	51	0	22	205	7	0	19	158	3	123	23	388	32	1	14	5	1	55	153	60	0	326	0	105	1	19	241	113	35	0	80	84	22	107	0	68	115	10	19	31	139	21	1	331	5	2	1	0	257	0	7	0	37	0	0	37	0	24	70	0	602	1223	1186	174	0	35	923	0	1	11	0	153	0	8	177	6	51	0	96	0	186	18	45	22	20	0	151	17	265	24	116	114	21	14	395	1	308	60	9	1	6	10	14	76	25	2	20	0	0	0
201	242	43	3679	85	128	446	31	181	2440	138	2622	378	1203	1	1692	69	180	2779	158	2452	37	521	154	1332	287	2255	292	1620	1608	87	663	268	2298	98	2858	1164	3842	239	157	927	1349	686	138	201	5660	139	1518	2677	566	3722	2054	88	654	1599	1827	139	844	1828	99	532	58	72	1264	112	1128	3	284	945	892	8	0	0	0	1	2	0	1	840	841	2767	1188	1144	4734	600	0	658	10917	1920	1237	4360	1940	1910	311	1231	144	1069	802	118	1618	1172	2568	1272	2673	166	1333	1355	15645	312	1157	14	1992	2301	355	143	5149	2431	4164	1587	6474	873	230	2830	41	156	52	778	886	1559	93	24	2373	77	696	20406	513	664	395	8600	92	247	1890	25	9	479	18	570	1612	277	1081	298	1322	115	199	428	392	437	299	298	493	270	923	23	614	259	963	386	447	137	1106	529	231	146	3677	735	427	212	598	584	539	58	395	215	801	198	676	563	165	115	598	629	213	89	127	474	792	380	14	609	432	604	115	187	128	540	11	1282	1033	328	154	51	531	41	247	428	159	223	77	631	108	61	156	130	210395	2364	2827	4286	1302	2520	2376	54	2042	1441	952	3920	492	1202	3158	471	923	1267	10162	122	4080	1218	14116	1458	270	1248	3287	1221	5470	790	3149	1204	772	230	3085	710	1292	1540	3213	235	1868	1279	3324	554	4836	571	2410	954	1482	557
