microbes	genotype	compartment	experiment_biological	_compartment_genotype_tech	fw
FP1A1bio1BFOWTtech1endophytesfungi	BFO	WT	endophytes	A1_bio1	A1_bio1_WT_BFO_tech1	0.04055
FP1A1bio1BFOWTtech2endophytesfungi	BFO	WT	endophytes	A1_bio1	A1_bio1_WT_BFO_tech2	0.062
FP1A1bio1BFOWTtech3endophytesfungi	BFO	WT	endophytes	A1_bio1	A1_bio1_WT_BFO_tech3	0.06145
FP1A1bio1BFOWTtech4endophytesfungi	BFO	WT	endophytes	A1_bio1	A1_bio1_WT_BFO_tech4	0.03
FP1A1bio1BFOkai2tech1endophytesfungi	BFO	kai2	endophytes	A1_bio1	A1_bio1_kai2_BFO_tech1	0.0309
FP1A1bio1BFOkai2tech2endophytesfungi	BFO	kai2	endophytes	A1_bio1	A1_bio1_kai2_BFO_tech2	0.028575
FP1A1bio1BFOkai2tech3endophytesfungi	BFO	kai2	endophytes	A1_bio1	A1_bio1_kai2_BFO_tech3	0.02925
FP1A1bio1BFOkai2tech4endophytesfungi	BFO	kai2	endophytes	A1_bio1	A1_bio1_kai2_BFO_tech4	0.016225
FP1A1bio1BFOwrky3340tech1endophytesfungi	BFO	wrky3340	endophytes	A1_bio1	A1_bio1_wrky3340_BFO_tech1	0.0100666666666667
FP1A1bio1BFOwrky3340tech2endophytesfungi	BFO	wrky3340	endophytes	A1_bio1	A1_bio1_wrky3340_BFO_tech2	0.016825
FP1A1bio1BFOwrky3340tech3endophytesfungi	BFO	wrky3340	endophytes	A1_bio1	A1_bio1_wrky3340_BFO_tech3	0.0179
FP1A1bio1BFOwrky3340tech4endophytesfungi	BFO	wrky3340	endophytes	A1_bio1	A1_bio1_wrky3340_BFO_tech4	0.01725
FP1A1bio1BFOefrfls2cerk1tech1endophytesfungi	BFO	efrfls2cerk1	endophytes	A1_bio1	A1_bio1_efrfls2cerk1_BFO_tech1	0.02545
FP1A1bio1BFOefrfls2cerk1tech2endophytesfungi	BFO	efrfls2cerk1	endophytes	A1_bio1	A1_bio1_efrfls2cerk1_BFO_tech2	0.0364
FP1A1bio1BFOefrfls2cerk1tech3endophytesfungi	BFO	efrfls2cerk1	endophytes	A1_bio1	A1_bio1_efrfls2cerk1_BFO_tech3	0.01495
FP1A1bio1BFOefrfls2cerk1tech4endophytesfungi	BFO	efrfls2cerk1	endophytes	A1_bio1	A1_bio1_efrfls2cerk1_BFO_tech4	0.0316666666666667
FP1A1bio1BFObak1bkk1tech1endophytesfungi	BFO	bak1bkk1	endophytes	A1_bio1	A1_bio1_bak1bkk1_BFO_tech1	0.039
FP1A1bio1BFObak1bkk1tech2endophytesfungi	BFO	bak1bkk1	endophytes	A1_bio1	A1_bio1_bak1bkk1_BFO_tech2	0.0312
FP1A1bio1BFObak1bkk1tech3endophytesfungi	BFO	bak1bkk1	endophytes	A1_bio1	A1_bio1_bak1bkk1_BFO_tech3	0.0169
FP1A1bio1BFObak1bkk1tech4endophytesfungi	BFO	bak1bkk1	endophytes	A1_bio1	A1_bio1_bak1bkk1_BFO_tech4	0.012775
FP1A1bio1BFOcyp79b2b3tech1endophytesfungi	BFO	cyp79b2b3	endophytes	A1_bio1	A1_bio1_cyp79b2b3_BFO_tech1	0.0169666666666667
FP1A1bio1BFOcyp79b2b3tech2endophytesfungi	BFO	cyp79b2b3	endophytes	A1_bio1	A1_bio1_cyp79b2b3_BFO_tech2	0.0047
FP1A1bio1BFOcyp79b2b3tech3endophytesfungi	BFO	cyp79b2b3	endophytes	A1_bio1	A1_bio1_cyp79b2b3_BFO_tech3	0.0175
FP1A1bio1BFOcyp79b2b3tech4endophytesfungi	BFO	cyp79b2b3	endophytes	A1_bio1	A1_bio1_cyp79b2b3_BFO_tech4	0.008975
FP1A1bio1BFOdepstech1endophytesfungi	BFO	deps	endophytes	A1_bio1	A1_bio1_deps_BFO_tech1	0.033675
FP1A1bio1BFOdepstech2endophytesfungi	BFO	deps	endophytes	A1_bio1	A1_bio1_deps_BFO_tech2	0.0587
FP1A1bio1BFOdepstech3endophytesfungi	BFO	deps	endophytes	A1_bio1	A1_bio1_deps_BFO_tech3	0.0415
FP1A1bio1BFOdepstech4endophytesfungi	BFO	deps	endophytes	A1_bio1	A1_bio1_deps_BFO_tech4	0.032175
FP1A1bio1BFOquintech1endophytesfungi	BFO	quin	endophytes	A1_bio1	A1_bio1_quin_BFO_tech1	0.0423
FP1A1bio1BFOquintech2endophytesfungi	BFO	quin	endophytes	A1_bio1	A1_bio1_quin_BFO_tech2	0.0152
FP1A1bio1BFOquintech3endophytesfungi	BFO	quin	endophytes	A1_bio1	A1_bio1_quin_BFO_tech3	0.0209
FP1A1bio1BFOquintech4endophytesfungi	BFO	quin	endophytes	A1_bio1	A1_bio1_quin_BFO_tech4	0.018625
FP1A1bio1BFOpad4tech1endophytesfungi	BFO	pad4	endophytes	A1_bio1	A1_bio1_pad4_BFO_tech1	0.05875
FP1A1bio1BFOpad4tech2endophytesfungi	BFO	pad4	endophytes	A1_bio1	A1_bio1_pad4_BFO_tech2	0.0418666666666667
FP1A1bio1BFOpad4tech3endophytesfungi	BFO	pad4	endophytes	A1_bio1	A1_bio1_pad4_BFO_tech3	0.027625
FP1A1bio1BFOpad4tech4endophytesfungi	BFO	pad4	endophytes	A1_bio1	A1_bio1_pad4_BFO_tech4	0.070925
FP1A1bio1BFOrar1tech1endophytesfungi	BFO	rar1	endophytes	A1_bio1	A1_bio1_rar1_BFO_tech1	0.0493666666666667
FP1A1bio1BFOrar1tech2endophytesfungi	BFO	rar1	endophytes	A1_bio1	A1_bio1_rar1_BFO_tech2	0.032175
FP1A1bio1BFOrar1tech3endophytesfungi	BFO	rar1	endophytes	A1_bio1	A1_bio1_rar1_BFO_tech3	0.0668666666666667
FP1A1bio1BFOrar1tech4endophytesfungi	BFO	rar1	endophytes	A1_bio1	A1_bio1_rar1_BFO_tech4	0.0276
FP1A1bio1BFOsoiltech1soilfungi	BFO	soil	soil	A1_bio1	A1_bio1_soil_BFO_tech1	NA
FP1A1bio1BFOsoiltech2soilfungi	BFO	soil	soil	A1_bio1	A1_bio1_soil_BFO_tech2	NA
FP1A1bio1BFOsoiltech3soilfungi	BFO	soil	soil	A1_bio1	A1_bio1_soil_BFO_tech3	NA
FP1A1bio1BFOsoiltech4soilfungi	BFO	soil	soil	A1_bio1	A1_bio1_soil_BFO_tech4	NA
FP1A1bio1noWTtech1endophytesfungi	no	WT	endophytes	A1_bio1	A1_bio1_WT_no_tech1	NA
FP1A1bio1nokai2tech3endophytesfungi	no	kai2	endophytes	A1_bio1	A1_bio1_kai2_no_tech3	NA
FP1A1bio1nowrky3340tech2endophytesfungi	no	wrky3340	endophytes	A1_bio1	A1_bio1_wrky3340_no_tech2	NA
FP1A1bio1noefrfls2cerk1tech1endophytesfungi	no	efrfls2cerk1	endophytes	A1_bio1	A1_bio1_efrfls2cerk1_no_tech1	NA
FP1A1bio1nobak1bkk1tech3endophytesfungi	no	bak1bkk1	endophytes	A1_bio1	A1_bio1_bak1bkk1_no_tech3	NA
FP1A1bio1nocyp79b2b3tech2endophytesfungi	no	cyp79b2b3	endophytes	A1_bio1	A1_bio1_cyp79b2b3_no_tech2	NA
FP1A1bio1nodepstech1endophytesfungi	no	deps	endophytes	A1_bio1	A1_bio1_deps_no_tech1	NA
FP1A1bio1noquintech3endophytesfungi	no	quin	endophytes	A1_bio1	A1_bio1_quin_no_tech3	NA
FP1A1bio1norar1tech2endophytesfungi	no	rar1	endophytes	A1_bio1	A1_bio1_rar1_no_tech2	NA
FP1A1bio1nosoiltech1soilfungi	no	soil	soil	A1_bio1	A1_bio1_soil_no_tech1	NA
FP1A1bio2BFOWTtech1endophytesfungi	BFO	WT	endophytes	A1_bio2	A1_bio2_WT_BFO_tech1	0.0323666666666667
FP1A1bio2BFOWTtech2endophytesfungi	BFO	WT	endophytes	A1_bio2	A1_bio2_WT_BFO_tech2	0.037525
FP1A1bio2BFOWTtech3endophytesfungi	BFO	WT	endophytes	A1_bio2	A1_bio2_WT_BFO_tech3	0.03455
FP1A1bio2BFOWTtech4endophytesfungi	BFO	WT	endophytes	A1_bio2	A1_bio2_WT_BFO_tech4	0.05545
FP1A1bio2BFOkai2tech1endophytesfungi	BFO	kai2	endophytes	A1_bio2	A1_bio2_kai2_BFO_tech1	0.0414
FP1A1bio2BFOkai2tech2endophytesfungi	BFO	kai2	endophytes	A1_bio2	A1_bio2_kai2_BFO_tech2	0.0581
FP1A1bio2BFOkai2tech3endophytesfungi	BFO	kai2	endophytes	A1_bio2	A1_bio2_kai2_BFO_tech3	0.068525
FP1A1bio2BFOkai2tech4endophytesfungi	BFO	kai2	endophytes	A1_bio2	A1_bio2_kai2_BFO_tech4	0.01635
FP1A1bio2BFOwrky3340tech1endophytesfungi	BFO	wrky3340	endophytes	A1_bio2	A1_bio2_wrky3340_BFO_tech1	0.027
FP1A1bio2BFOwrky3340tech2endophytesfungi	BFO	wrky3340	endophytes	A1_bio2	A1_bio2_wrky3340_BFO_tech2	0.0294
FP1A1bio2BFOwrky3340tech3endophytesfungi	BFO	wrky3340	endophytes	A1_bio2	A1_bio2_wrky3340_BFO_tech3	0.0426
FP1A1bio2BFOwrky3340tech4endophytesfungi	BFO	wrky3340	endophytes	A1_bio2	A1_bio2_wrky3340_BFO_tech4	0.031475
FP1A1bio2BFOefrfls2cerk1tech1endophytesfungi	BFO	efrfls2cerk1	endophytes	A1_bio2	A1_bio2_efrfls2cerk1_BFO_tech1	0.043325
FP1A1bio2BFOefrfls2cerk1tech2endophytesfungi	BFO	efrfls2cerk1	endophytes	A1_bio2	A1_bio2_efrfls2cerk1_BFO_tech2	0.044825
FP1A1bio2BFOefrfls2cerk1tech3endophytesfungi	BFO	efrfls2cerk1	endophytes	A1_bio2	A1_bio2_efrfls2cerk1_BFO_tech3	0.0341
FP1A1bio2BFOefrfls2cerk1tech4endophytesfungi	BFO	efrfls2cerk1	endophytes	A1_bio2	A1_bio2_efrfls2cerk1_BFO_tech4	0.0394666666666667
FP1A1bio2BFObak1bkk1tech1endophytesfungi	BFO	bak1bkk1	endophytes	A1_bio2	A1_bio2_bak1bkk1_BFO_tech1	0.0431
FP1A1bio2BFObak1bkk1tech2endophytesfungi	BFO	bak1bkk1	endophytes	A1_bio2	A1_bio2_bak1bkk1_BFO_tech2	0.0216
FP1A1bio2BFObak1bkk1tech3endophytesfungi	BFO	bak1bkk1	endophytes	A1_bio2	A1_bio2_bak1bkk1_BFO_tech3	0.0555
FP1A1bio2BFObak1bkk1tech4endophytesfungi	BFO	bak1bkk1	endophytes	A1_bio2	A1_bio2_bak1bkk1_BFO_tech4	0.0638333333333333
FP1A1bio2BFOcyp79b2b3tech1endophytesfungi	BFO	cyp79b2b3	endophytes	A1_bio2	A1_bio2_cyp79b2b3_BFO_tech1	0.1076
FP1A1bio2BFOcyp79b2b3tech2endophytesfungi	BFO	cyp79b2b3	endophytes	A1_bio2	A1_bio2_cyp79b2b3_BFO_tech2	0.1202
FP1A1bio2BFOcyp79b2b3tech3endophytesfungi	BFO	cyp79b2b3	endophytes	A1_bio2	A1_bio2_cyp79b2b3_BFO_tech3	NA
FP1A1bio2BFOcyp79b2b3tech4endophytesfungi	BFO	cyp79b2b3	endophytes	A1_bio2	A1_bio2_cyp79b2b3_BFO_tech4	NA
FP1A1bio2BFOdepstech1endophytesfungi	BFO	deps	endophytes	A1_bio2	A1_bio2_deps_BFO_tech1	0.0675
FP1A1bio2BFOdepstech2endophytesfungi	BFO	deps	endophytes	A1_bio2	A1_bio2_deps_BFO_tech2	0.117225
FP1A1bio2BFOdepstech3endophytesfungi	BFO	deps	endophytes	A1_bio2	A1_bio2_deps_BFO_tech3	0.0259
FP1A1bio2BFOdepstech4endophytesfungi	BFO	deps	endophytes	A1_bio2	A1_bio2_deps_BFO_tech4	NA
FP1A1bio2BFOquintech1endophytesfungi	BFO	quin	endophytes	A1_bio2	A1_bio2_quin_BFO_tech1	0.1881
FP1A1bio2BFOquintech2endophytesfungi	BFO	quin	endophytes	A1_bio2	A1_bio2_quin_BFO_tech2	0.044
FP1A1bio2BFOquintech3endophytesfungi	BFO	quin	endophytes	A1_bio2	A1_bio2_quin_BFO_tech3	NA
FP1A1bio2BFOquintech4endophytesfungi	BFO	quin	endophytes	A1_bio2	A1_bio2_quin_BFO_tech4	NA
FP1A1bio2BFOpad4tech1endophytesfungi	BFO	pad4	endophytes	A1_bio2	A1_bio2_pad4_BFO_tech1	0.0489666666666667
