microbes	genotype	compartment	experiment_biological
FP1A1bio1BFOWTtech1endophytesoomycete	BFO	WT	endophytes	A1_FP1
FP1A1bio1BFOWTtech2endophytesoomycete	BFO	WT	endophytes	A1_FP1
FP1A1bio1BFOWTtech3endophytesoomycete	BFO	WT	endophytes	A1_FP1
FP1A1bio1BFOWTtech4endophytesoomycete	BFO	WT	endophytes	A1_FP1
FP1A1bio1BFOkai2tech1endophytesoomycete	BFO	kai2	endophytes	A1_FP1
FP1A1bio1BFOkai2tech2endophytesoomycete	BFO	kai2	endophytes	A1_FP1
FP1A1bio1BFOkai2tech3endophytesoomycete	BFO	kai2	endophytes	A1_FP1
FP1A1bio1BFOkai2tech4endophytesoomycete	BFO	kai2	endophytes	A1_FP1
FP1A1bio1BFOwrky3340tech1endophytesoomycete	BFO	wrky3340	endophytes	A1_FP1
FP1A1bio1BFOwrky3340tech2endophytesoomycete	BFO	wrky3340	endophytes	A1_FP1
FP1A1bio1BFOwrky3340tech3endophytesoomycete	BFO	wrky3340	endophytes	A1_FP1
FP1A1bio1BFOwrky3340tech4endophytesoomycete	BFO	wrky3340	endophytes	A1_FP1
FP1A1bio1BFOefrfls2cerk1tech1endophytesoomycete	BFO	efrfls2cerk1	endophytes	A1_FP1
FP1A1bio1BFOefrfls2cerk1tech2endophytesoomycete	BFO	efrfls2cerk1	endophytes	A1_FP1
FP1A1bio1BFOefrfls2cerk1tech3endophytesoomycete	BFO	efrfls2cerk1	endophytes	A1_FP1
FP1A1bio1BFOefrfls2cerk1tech4endophytesoomycete	BFO	efrfls2cerk1	endophytes	A1_FP1
FP1A1bio1BFObak1bkk1tech1endophytesoomycete	BFO	bak1bkk1	endophytes	A1_FP1
FP1A1bio1BFObak1bkk1tech2endophytesoomycete	BFO	bak1bkk1	endophytes	A1_FP1
FP1A1bio1BFObak1bkk1tech3endophytesoomycete	BFO	bak1bkk1	endophytes	A1_FP1
FP1A1bio1BFObak1bkk1tech4endophytesoomycete	BFO	bak1bkk1	endophytes	A1_FP1
FP1A1bio1BFOcyp79b2b3tech1endophytesoomycete	BFO	cyp79b2b3	endophytes	A1_FP1
FP1A1bio1BFOcyp79b2b3tech2endophytesoomycete	BFO	cyp79b2b3	endophytes	A1_FP1
FP1A1bio1BFOcyp79b2b3tech3endophytesoomycete	BFO	cyp79b2b3	endophytes	A1_FP1
FP1A1bio1BFOcyp79b2b3tech4endophytesoomycete	BFO	cyp79b2b3	endophytes	A1_FP1
FP1A1bio1BFOdepstech1endophytesoomycete	BFO	deps	endophytes	A1_FP1
FP1A1bio1BFOdepstech2endophytesoomycete	BFO	deps	endophytes	A1_FP1
FP1A1bio1BFOdepstech3endophytesoomycete	BFO	deps	endophytes	A1_FP1
FP1A1bio1BFOdepstech4endophytesoomycete	BFO	deps	endophytes	A1_FP1
FP1A1bio1BFOquintech1endophytesoomycete	BFO	quin	endophytes	A1_FP1
FP1A1bio1BFOquintech2endophytesoomycete	BFO	quin	endophytes	A1_FP1
FP1A1bio1BFOquintech3endophytesoomycete	BFO	quin	endophytes	A1_FP1
FP1A1bio1BFOquintech4endophytesoomycete	BFO	quin	endophytes	A1_FP1
FP1A1bio1BFOpad4tech1endophytesoomycete	BFO	pad4	endophytes	A1_FP1
FP1A1bio1BFOpad4tech2endophytesoomycete	BFO	pad4	endophytes	A1_FP1
FP1A1bio1BFOpad4tech3endophytesoomycete	BFO	pad4	endophytes	A1_FP1
FP1A1bio1BFOpad4tech4endophytesoomycete	BFO	pad4	endophytes	A1_FP1
FP1A1bio1BFOrar1tech1endophytesoomycete	BFO	rar1	endophytes	A1_FP1
FP1A1bio1BFOrar1tech2endophytesoomycete	BFO	rar1	endophytes	A1_FP1
FP1A1bio1BFOrar1tech3endophytesoomycete	BFO	rar1	endophytes	A1_FP1
FP1A1bio1BFOrar1tech4endophytesoomycete	BFO	rar1	endophytes	A1_FP1
FP1A1bio1BFOsoiltech1soiloomycete	BFO	soil	soil	A1_FP1
FP1A1bio1BFOsoiltech2soiloomycete	BFO	soil	soil	A1_FP1
FP1A1bio1BFOsoiltech3soiloomycete	BFO	soil	soil	A1_FP1
FP1A1bio1BFOsoiltech4soiloomycete	BFO	soil	soil	A1_FP1
FP1A1bio1noWTtech1endophytesoomycete	no	WT	endophytes	A1_FP1
FP1A1bio1nokai2tech3endophytesoomycete	no	kai2	endophytes	A1_FP1
FP1A1bio1nowrky3340tech2endophytesoomycete	no	wrky3340	endophytes	A1_FP1
FP1A1bio1noefrfls2cerk1tech1endophytesoomycete	no	efrfls2cerk1	endophytes	A1_FP1
FP1A1bio1nobak1bkk1tech3endophytesoomycete	no	bak1bkk1	endophytes	A1_FP1
FP1A1bio1nocyp79b2b3tech2endophytesoomycete	no	cyp79b2b3	endophytes	A1_FP1
FP1A1bio1nodepstech1endophytesoomycete	no	deps	endophytes	A1_FP1
FP1A1bio1noquintech3endophytesoomycete	no	quin	endophytes	A1_FP1
FP1A1bio1norar1tech2endophytesoomycete	no	rar1	endophytes	A1_FP1
FP1A1bio1nosoiltech1soiloomycete	no	soil	soil	A1_FP1
FP1A1bio2BFOWTtech1endophytesoomycete	BFO	WT	endophytes	A1_FP1
FP1A1bio2BFOWTtech2endophytesoomycete	BFO	WT	endophytes	A1_FP1
FP1A1bio2BFOWTtech3endophytesoomycete	BFO	WT	endophytes	A1_FP1
FP1A1bio2BFOWTtech4endophytesoomycete	BFO	WT	endophytes	A1_FP1
FP1A1bio2BFOkai2tech1endophytesoomycete	BFO	kai2	endophytes	A1_FP1
FP1A1bio2BFOkai2tech2endophytesoomycete	BFO	kai2	endophytes	A1_FP1
FP1A1bio2BFOkai2tech3endophytesoomycete	BFO	kai2	endophytes	A1_FP1
FP1A1bio2BFOkai2tech4endophytesoomycete	BFO	kai2	endophytes	A1_FP1
FP1A1bio2BFOwrky3340tech1endophytesoomycete	BFO	wrky3340	endophytes	A1_FP1
FP1A1bio2BFOwrky3340tech2endophytesoomycete	BFO	wrky3340	endophytes	A1_FP1
FP1A1bio2BFOwrky3340tech3endophytesoomycete	BFO	wrky3340	endophytes	A1_FP1
FP1A1bio2BFOwrky3340tech4endophytesoomycete	BFO	wrky3340	endophytes	A1_FP1
FP1A1bio2BFOefrfls2cerk1tech1endophytesoomycete	BFO	efrfls2cerk1	endophytes	A1_FP1
FP1A1bio2BFOefrfls2cerk1tech2endophytesoomycete	BFO	efrfls2cerk1	endophytes	A1_FP1
FP1A1bio2BFOefrfls2cerk1tech3endophytesoomycete	BFO	efrfls2cerk1	endophytes	A1_FP1
FP1A1bio2BFOefrfls2cerk1tech4endophytesoomycete	BFO	efrfls2cerk1	endophytes	A1_FP1
FP1A1bio2BFObak1bkk1tech1endophytesoomycete	BFO	bak1bkk1	endophytes	A1_FP1
FP1A1bio2BFObak1bkk1tech2endophytesoomycete	BFO	bak1bkk1	endophytes	A1_FP1
FP1A1bio2BFObak1bkk1tech3endophytesoomycete	BFO	bak1bkk1	endophytes	A1_FP1
FP1A1bio2BFObak1bkk1tech4endophytesoomycete	BFO	bak1bkk1	endophytes	A1_FP1
FP1A1bio2BFOcyp79b2b3tech1endophytesoomycete	BFO	cyp79b2b3	endophytes	A1_FP1
FP1A1bio2BFOcyp79b2b3tech2endophytesoomycete	BFO	cyp79b2b3	endophytes	A1_FP1
FP1A1bio2BFOcyp79b2b3tech3endophytesoomycete	BFO	cyp79b2b3	endophytes	A1_FP1
FP1A1bio2BFOcyp79b2b3tech4endophytesoomycete	BFO	cyp79b2b3	endophytes	A1_FP1
FP1A1bio2BFOdepstech1endophytesoomycete	BFO	deps	endophytes	A1_FP1
FP1A1bio2BFOdepstech2endophytesoomycete	BFO	deps	endophytes	A1_FP1
FP1A1bio2BFOdepstech3endophytesoomycete	BFO	deps	endophytes	A1_FP1
FP1A1bio2BFOdepstech4endophytesoomycete	BFO	deps	endophytes	A1_FP1
FP1A1bio2BFOquintech1endophytesoomycete	BFO	quin	endophytes	A1_FP1
FP1A1bio2BFOquintech2endophytesoomycete	BFO	quin	endophytes	A1_FP1
FP1A1bio2BFOquintech3endophytesoomycete	BFO	quin	endophytes	A1_FP1
FP1A1bio2BFOquintech4endophytesoomycete	BFO	quin	endophytes	A1_FP1
FP1A1bio2BFOpad4tech1endophytesoomycete	BFO	pad4	endophytes	A1_FP1
FP1A1bio2BFOpad4tech2endophytesoomycete	BFO	pad4	endophytes	A1_FP1
FP1A1bio2BFOpad4tech3endophytesoomycete	BFO	pad4	endophytes	A1_FP1
FP1A1bio2BFOpad4tech4endophytesoomycete	BFO	pad4	endophytes	A1_FP1
FP1A1bio2BFOrar1tech2endophytesoomycete	BFO	rar1	endophytes	A1_FP1
FP1A1bio2BFOrar1tech3endophytesoomycete	BFO	rar1	endophytes	A1_FP1
FP1A1bio2noWTtech1endophytesoomycete	no	WT	endophytes	A1_FP1
FP1A1bio2nokai2tech1endophytesoomycete	no	kai2	endophytes	A1_FP1
FP1A1bio2nowrky3340tech1endophytesoomycete	no	wrky3340	endophytes	A1_FP1
FP1A1bio2noefrfls2cerk1tech1endophytesoomycete	no	efrfls2cerk1	endophytes	A1_FP1
FP2A1bio2BFOrar1tech1endophytesoomycete	BFO	rar1	endophytes	A1_FP2
FP2A1bio2BFOsoiltech1soiloomycete	BFO	soil	soil	A1_FP2
FP2A1bio2BFOsoiltech2soiloomycete	BFO	soil	soil	A1_FP2
FP2A1bio2BFOsoiltech3soiloomycete	BFO	soil	soil	A1_FP2
FP2A1bio2BFOsoiltech4soiloomycete	BFO	soil	soil	A1_FP2
FP2A1bio4BFOWTtech1endophytesoomycete	BFO	WT	endophytes	A1_FP2
FP2A1bio4BFOWTtech2endophytesoomycete	BFO	WT	endophytes	A1_FP2
FP2A1bio4BFOWTtech3endophytesoomycete	BFO	WT	endophytes	A1_FP2
FP2A1bio4BFOkai2tech1endophytesoomycete	BFO	kai2	endophytes	A1_FP2
FP2A1bio4BFOkai2tech2endophytesoomycete	BFO	kai2	endophytes	A1_FP2
FP2A1bio4BFOkai2tech3endophytesoomycete	BFO	kai2	endophytes	A1_FP2
FP2A1bio4BFOkai2tech4endophytesoomycete	BFO	kai2	endophytes	A1_FP2
FP2A1bio4BFOwrky3340tech1endophytesoomycete	BFO	wrky3340	endophytes	A1_FP2
FP2A1bio4BFOwrky3340tech2endophytesoomycete	BFO	wrky3340	endophytes	A1_FP2
FP2A1bio4BFOwrky3340tech3endophytesoomycete	BFO	wrky3340	endophytes	A1_FP2
FP2A1bio4BFOwrky3340tech4endophytesoomycete	BFO	wrky3340	endophytes	A1_FP2
FP2A1bio4BFOefrfls2cerk1tech1endophytesoomycete	BFO	efrfls2cerk1	endophytes	A1_FP2
FP2A1bio4BFOefrfls2cerk1tech2endophytesoomycete	BFO	efrfls2cerk1	endophytes	A1_FP2
FP2A1bio4BFOefrfls2cerk1tech3endophytesoomycete	BFO	efrfls2cerk1	endophytes	A1_FP2
FP2A1bio4BFOefrfls2cerk1tech4endophytesoomycete	BFO	efrfls2cerk1	endophytes	A1_FP2
FP2A1bio4BFObak1bkk1tech1endophytesoomycete	BFO	bak1bkk1	endophytes	A1_FP2
FP2A1bio4BFObak1bkk1tech2endophytesoomycete	BFO	bak1bkk1	endophytes	A1_FP2
