experiment	biological	genotype	genotype_barplot	treatment	genotype_treatment	genotype_treatment_biological	flowpot_number	plant_no	FW_g
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp1	pl1	0.022
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp1	pl2	0.0152
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp1	pl3	0.0285
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp1	pl4	0.0258
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp2	pl1	0.0429
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp2	pl2	0.0029
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp2	pl3	0.0278
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp2	pl4	0.019
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp3	pl1	0.015
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp3	pl2	0.0098
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp3	pl3	0.0154
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp3	pl4	0.0091
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp4	pl1	0.0336
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp4	pl2	0.0239
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp4	pl3	0.0435
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp4	pl4	0.0276
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp5	pl1	0.0252
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp5	pl2	0.01
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp5	pl3	0.0355
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp5	pl4	0.021
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp6	pl1	0.0272
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp6	pl2	0.0172
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp6	pl3	0.0298
FP_gluco	bio1	WT	aWT	sterile	WT_sterile	WT_sterile_bio1	fp6	pl4	0.0283
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp1	pl1	0.0299
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp1	pl2	0.0126
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp1	pl3	0.0222
