genotype	treatment	gen_treat	Camalexin	Indole.3.carboxylic_acid	Indole.3.carboxylic_acidGlc	Indolylmethyl_glucosinolate	Indolylmethyl_glucosinolate_1MeO	Indolylmethyl_glucosinolate_4MeO	X3..Methylsulfinyl.propylglucosinolate	X8.Methylthiooctyl_glucosinolate	Kaempferol.3.O.robinoside.7.O.rhamnoside	X7.HYDROXY.4.METHYLCOUMARIN	Vanillic_acid	IAA
1-4	WT	S	WTS	939	977	1128	598	284815	410	562	46068	302	5034	1482	2532.6
1-5	WT	S	WTS	696	603	2505	8239	3509145	651	2742	393357	717	6068	2227	4709.5
1-6	WT	S	WTS	2397	2854	1996	1130	443869	398	298	9247	290	14125	1736	8288
1-7	WT	B	WTB	49	73	277	3579	1718825	195	762	75995	195	6078	133	551.42
1-8	WT	B	WTB	144	28	534	6202	2554037	645	117	132828	82	5494	263	2184.1
1-9	WT	B	WTB	196	184	1360	8763	3838304	1068	1112	183828	3992	9243	255	3677
1-13	WT	BF	WTBF	405	101	946	6624	3036182	313	724	101379	324	6120	351	680.41
1-14	WT	BF	WTBF	733	182	1062	3711	1653507	838	5524	58700	1702	3440	212	2571.2
1-15	WT	BF	WTBF	596	66	907	7499	3378836	512	630	74035	147	6874	164	2743.8
1-19	cyp79	S	cyp79S	23	408	55	359	128668	112	242	11228	7348	8608	1941	0
1-20	cyp79	S	cyp79S	23	199	64	54	2541	56	119	81261	7859	6285	2639	0
1-21	cyp79	S	cyp79S	0	356	63	82	107	31	493	14478	10596	7568	2395	1063.3
1-22	cyp79	B	cyp79B	27	31	32	16	31	18	268	46680	3820	4110	152	683.71
1-23	cyp79	B	cyp79B	28	38	43	0	496	0	319	22850	3440	3214	229	524.09
1-24	cyp79	B	cyp79B	88	65	25	22	1026	16	16	18786	1082	5984	136	523.35
1-28	cyp79	BF	cyp79BF	21	21	35	0	37	16	24	0	0	32	60	0
1-29	cyp79	BF	cyp79BF	61	78	38	33	1449	0	2131	318865	7435	11044	376	249.47
1-30	cyp79	BF	cyp79BF	20	78	40	27	135	0	1568	7524	2327	7726	246	1591.6
2-4	WT	S	WTS	1021	5302	812	5245	2360212	620	336	288010	1149	8114	299	9136.8
2-5	WT	S	WTS	1905	2910	1751	1215	513439	758	72	174332	2140	11625	2360	9807.9
2-6	WT	S	WTS	4196	3421	1501	2825	1283173	517	802	100546	1233	9120	3344	24187
2-7	WT	B	WTB	58	100	90	3937	1800899	282	192	17016	0	3199	172	2765.4
2-8	WT	B	WTB	99	87	665	7930	3611176	332	928	54462	96	20388	292	4165.6
2-9	WT	B	WTB	105	113	808	5560	2306849	465	3372	38246	643	14551	533	3640.4
2-14	WT	BF	WTBF	530	136	1613	7104	3247020	775	449	424149	1274	12039	397	6027.5
2-15	WT	BF	WTBF	460	154	379	3267	1449643	262	780	36746	370	4578	488	5272.6
2-19	cyp79	S	cyp79S	22	741	16	66	604	31	883	452430	5529	14056	5778	510.91
2-20	cyp79	S	cyp79S	5	102	52	35	117	66	2401	86326	8014	11350	2428	312.26
2-21	cyp79	S	cyp79S	37	1156	65	84	2205	0	2238	468812	9029	9866	4133	1257.87
2-22	cyp79	B	cyp79B	41	100	20	38	137	18	147	25366	1194	8834	299	530.91
2-23	cyp79	B	cyp79B	16	37	44	0	595	0	265	88252	6664	4124	156	461.34
2-24	cyp79	B	cyp79B	19	25	46	86	4770	43	535	98610	5513	4103	451	921.66
2-28	cyp79	BF	cyp79BF	50	49	34	38	257	49	228	41740	3512	2918	212	1695.7
2-29	cyp79	BF	cyp79BF	60	54	73	47	1596	42	2391	131196	2104	10454	348	948.85
2-30	cyp79	BF	cyp79BF	0	19	78	18	164	43	8620	53736	3066	9773	180	648
3-4	WT	S	WTS	818	1960	1274	6687	3033462	517	248	562574	3218	7495	2625	7476.8
3-5	WT	S	WTS	1376	862	1723	5411	2486382	393	354	157440	299	4983	4066	5803.8
3-6	WT	S	WTS	866	1506	507	4772	2299689	393	345	238353	1411	7422	3914	4753.9
3-7	WT	B	WTB	72	137	913	7478	3414084	632	1108	222217	565	10689	433	4545.9
3-8	WT	B	WTB	179	159	1628	10676	4575201	591	5322	191455	2407	10077	743	3179.3
3-9	WT	B	WTB	166	128	829	8436	3690959	309	1490	145890	776	7335	674	3291.5
3-13	WT	BF	WTBF	276	163	756	11832	4744178	366	1875	146692	1882	8485	540	2156.3
3-14	WT	BF	WTBF	366	160	1500	10148	4436244	600	1084	320600	4436	8506	564	7343.4
3-15	WT	BF	WTBF	317	212	1574	4169	1881303	379	275	139847	1229	9292	502	3377.3
3-19	cyp79	S	cyp79S	33	500	38	92	624	0	369	230364	3035	6364	3093	428.95
3-20	cyp79	S	cyp79S	22	425	44	64	43	33	31	146327	2189	3698	2828	700.11
3-21	cyp79	S	cyp79S	44	384	54	52	339	0	188	147957	5752	6281	3226	310.15
3-22	cyp79	B	cyp79B	24	17	67	41	676	0	115	31450	385	5601	284	862.68
3-23	cyp79	B	cyp79B	0	72	36	47	3546	42	158	76867	4909	8968	505	947.98
3-24	cyp79	B	cyp79B	59	72	28	36	2223	43	1811	243134	31297	3474	289	1528
3-28	cyp79	BF	cyp79BF	17	38	17	0	294	22	398	42337	8249	3544	222	870.93
3-29	cyp79	BF	cyp79BF	29	20	39	20	358	30	367	43208	8103	3745	312	191.39
3-30	cyp79	BF	cyp79BF	49	57	31	16	324	0	418	37550	7527	3093	227	649.48
